Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,15.49,15.45,15.45,15.49,0.0,0.0,11443
07/15/2019,15.5,15.55,15.5,15.55,0.0,0.0,2455
07/12/2019,15.49,15.44,15.44,15.5,0.0,0.0,33580
07/11/2019,15.49,15.49,15.4616,15.49,0.0,0.0,4912
07/10/2019,15.53,15.43,15.41,15.53,0.0,0.0,58772
07/09/2019,15.5,15.45,15.45,15.501,0.0,0.0,10202
07/08/2019,15.49,15.5,15.49,15.6144,0.0,0.0,1905
07/05/2019,15.49,15.57,15.41,15.67,0.0,0.0,12342
07/03/2019,15.37,15.47,15.37,15.515,0.0,0.0,6311
07/02/2019,15.45,15.6,15.39,15.6,0.0,0.0,15094
07/01/2019,15.45,15.55,15.36,15.721,0.0,0.0,78468
06/28/2019,15.361,15.46,15.36,15.46,0.0,0.0,88200
06/27/2019,15.36,15.39,15.35,15.4,0.0,0.0,76553
06/26/2019,15.4,15.4,15.37,15.4,0.0,0.0,10880
06/25/2019,15.35,15.37,15.35,15.4,0.0,0.0,34872
06/24/2019,15.35,15.35,15.3,15.37,0.0,0.0,17193
06/21/2019,15.35,15.4,15.35,15.5,0.0,0.0,173371
06/20/2019,15.41,15.375,15.35,15.41,0.0,0.0,143823
06/19/2019,15.37,15.45,15.37,15.45,0.0,0.0,41257
06/18/2019,15.375,15.4,15.375,15.4,0.0,0.0,8680
06/17/2019,15.37,15.39,15.37,15.39,0.0,0.0,25842
06/14/2019,15.37,15.39,15.37,15.4,0.0,0.0,44412
06/13/2019,15.37,15.4,15.36,15.4,0.0,0.0,43549
06/12/2019,15.36,15.4,15.36,15.4,0.0,0.0,52184
06/11/2019,15.3,15.36,15.3,15.3736,0.0,0.0,89967
06/10/2019,15.4,15.37,15.35,15.4,0.0,0.0,205345
06/07/2019,15.35,15.36,15.2,15.517,0.0,0.0,3567605
06/06/2019,8.89,8.9,8.89,8.9,0.0,0.0,2653
06/05/2019,8.8,9.0102,8.8,9.12,0.0,0.0,10149
06/04/2019,8.7,8.7,8.7,8.7,0.0,0.0,00
06/03/2019,8.7,8.7,8.7,8.7,0.0,0.0,00
05/31/2019,8.7,8.7,8.7,8.7,0.0,0.0,128
05/30/2019,8.8,8.9,8.79,8.9,0.0,0.0,6382
05/29/2019,8.9,8.9,8.9,8.9,0.0,0.0,00
05/28/2019,8.89,8.9,8.89,8.9,0.0,0.0,3219
05/24/2019,8.7518,8.83,8.7518,8.83,0.0,0.0,1720
05/23/2019,8.73,8.8,8.73,8.8,0.0,0.0,2548
05/22/2019,8.5723,8.7372,8.5723,8.7372,0.0,0.0,1366
05/21/2019,8.8,8.55,8.55,8.8,0.0,0.0,1369
05/20/2019,8.55,8.725,8.55,8.885,0.0,0.0,1712
05/17/2019,8.8,8.8,8.8,8.8,0.0,0.0,343
05/16/2019,8.8,8.8,8.8,8.8,0.0,0.0,328
05/15/2019,9.1,9.06,8.44,9.1,0.0,0.0,7936
05/14/2019,9.1,9.1,9.1,9.1,0.0,0.0,535
05/13/2019,9.09,9.0797,9.0797,9.09,0.0,0.0,275
05/10/2019,8.8888,9.0676,8.81,9.0676,0.0,0.0,2300
05/09/2019,8.8128,8.8128,8.8128,8.8128,0.0,0.0,00
05/08/2019,8.8128,8.8128,8.8128,8.8128,0.0,0.0,00
05/07/2019,8.92,8.8128,8.74,8.9201,0.0,0.0,2458
05/06/2019,9.15,8.92,8.92,9.15,0.0,0.0,1013
05/03/2019,8.95,9.1,8.9468,9.1,0.0,0.0,1272
05/02/2019,8.93,8.92,8.81,8.93,0.0,0.0,6073
05/01/2019,9.1,8.8787,8.8501,9.1,0.0,0.0,2147
04/30/2019,9.1,9.27,9.1,9.28,0.0,0.0,865
04/29/2019,9.1,9.1,9.1,9.1,0.0,0.0,610
04/26/2019,9,9.0407,9,9.0407,0.0,0.0,639
04/25/2019,9,9,9,9,0.0,0.0,00
04/24/2019,9,9,9,9,0.0,0.0,223
04/23/2019,9,9,9,9.0423,0.0,0.0,2220
04/22/2019,9,9,9,9,0.0,0.0,335
04/18/2019,9.25,9.25,9.25,9.25,0.0,0.0,990
04/17/2019,9.17,9,9,9.25,0.0,0.0,1396
04/16/2019,9,9,9,9,0.0,0.0,00
