Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.855,2.5023,2.5023,2.855,0.0,0.0,3935
07/15/2019,2.9664,2.71,2.71,2.9664,0.0,0.0,1830
07/12/2019,2.92,2.94,2.85,2.95,0.0,0.0,1595
07/11/2019,2.97,2.85,2.84,2.97,0.0,0.0,2995
07/10/2019,2.98,2.71,2.71,2.98,0.0,0.0,5507
07/09/2019,2.9918,2.9918,2.9918,2.9918,0.0,0.0,00
07/08/2019,3,2.9918,2.9918,3,0.0,0.0,3626
07/05/2019,3.25,3.03,3.03,3.25,0.0,0.0,1832
07/03/2019,2.87,3.226,2.87,3.24,0.0,0.0,6011
07/02/2019,3.24,2.79,2.7248,3.24,0.0,0.0,4118
07/01/2019,3.15,3.02,2.767,3.15,0.0,0.0,1653
06/28/2019,2.71,2.95,2.71,3.1,0.0,0.0,1744
06/27/2019,2.73,3.14,2.73,3.28,0.0,0.0,1658
06/26/2019,2.9,3.1154,2.65,3.19,0.0,0.0,27289
06/25/2019,2.38,2.79,2.37,2.79,0.0,0.0,146632
06/24/2019,2.48,2.46,2.35,2.48,0.0,0.0,43273
06/21/2019,2.35,2.39,2.31,2.39,0.0,0.0,2647
06/20/2019,2.25,2.4,2.25,2.4,0.0,0.0,420
06/19/2019,2.2772,2.3275,2.2772,2.3275,0.0,0.0,538
06/18/2019,2.3,2.3,2.3,2.36,0.0,0.0,6852
06/17/2019,2.21,2.2555,2.11,2.42,0.0,0.0,3880
06/14/2019,2.39,2.33,2.3,2.47,0.0,0.0,16756
06/13/2019,2.4,2.4581,2.26,2.4581,0.0,0.0,1779
06/12/2019,2.3,2.4345,2.3,2.4345,0.0,0.0,3343
06/11/2019,2.31,2.3,2.26,2.31,0.0,0.0,10950
06/10/2019,2.2613,2.2613,2.2613,2.2613,0.0,0.0,00
06/07/2019,2.25,2.2613,2.2,2.2843,0.0,0.0,8173
06/06/2019,2.41,2.349,2.24,2.41,0.0,0.0,11284
06/05/2019,2.4,2.4001,2.4,2.4999,0.0,0.0,8896
06/04/2019,2.4797,2.5,2.4678,2.5939,0.0,0.0,11168
06/03/2019,3.01,2.6566,2.36,3.0472,0.0,0.0,10795
05/31/2019,2.83,3.02,2.83,3.49,0.0,0.0,18832
05/30/2019,2.42,3.2349,2.42,3.35,0.0,0.0,160001
05/29/2019,2.35,2.41,2.35,2.52,0.0,0.0,8412
05/28/2019,2.41,2.42,2.41,2.52,0.0,0.0,9611
05/24/2019,2.51,2.51,2.51,2.51,0.0,0.0,00
05/23/2019,2.6374,2.51,2.43,2.6424,0.0,0.0,58208
05/22/2019,2.7511,2.6499,2.5125,2.7511,0.0,0.0,3444
05/21/2019,2.62,2.73,2.62,2.8862,0.0,0.0,167992
05/20/2019,2.64,2.51,2.38,2.74,0.0,0.0,25526
05/17/2019,2.63,2.431,2.37,2.65,0.0,0.0,63319
05/16/2019,2.54,2.5729,2.39,2.67,0.0,0.0,9113
05/15/2019,2.4,2.3874,2.3874,2.4045,0.0,0.0,1888
05/14/2019,2.5972,2.5,2.5,2.5972,0.0,0.0,9947
05/13/2019,2.6001,2.5201,2.51,2.68,0.0,0.0,16241
05/10/2019,2.7115,2.7115,2.7115,2.7115,0.0,0.0,00
05/09/2019,2.7115,2.7115,2.7115,2.7115,0.0,0.0,00
05/08/2019,2.7115,2.7115,2.7115,2.7115,0.0,0.0,330
05/07/2019,2.6,2.6,2.6,2.6,0.0,0.0,00
05/06/2019,2.6001,2.6,2.6,2.6001,0.0,0.0,623
05/03/2019,2.65,2.6,2.6,2.65,0.0,0.0,2862
05/02/2019,2.7394,2.7394,2.7394,2.7394,0.0,0.0,00
05/01/2019,2.7394,2.7394,2.7394,2.7394,0.0,0.0,00
04/30/2019,2.7394,2.7394,2.7394,2.7394,0.0,0.0,00
04/29/2019,2.85,2.7394,2.65,2.88,0.0,0.0,3788
04/26/2019,2.65,2.6,2.6,2.65,0.0,0.0,1323
04/25/2019,2.728,2.785,2.728,2.785,0.0,0.0,3101
04/24/2019,2.7,2.7,2.7,2.7,0.0,0.0,3290
04/23/2019,2.88,2.9,2.74,2.95,0.0,0.0,3538
04/22/2019,2.9,2.9,2.9,2.9,0.0,0.0,1288
04/18/2019,2.95,2.95,2.95,2.95,0.0,0.0,00
04/17/2019,2.98,2.95,2.95,2.98,0.0,0.0,337
04/16/2019,2.99,3,2.9855,3,0.0,0.0,1597
