Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,49.26,48.71,48.66,49.26,0.0,0.0,186439
07/15/2019,48.81,49.28,48.515,49.41,0.0,0.0,250814
07/12/2019,48.43,48.73,48.03,48.87,0.0,0.0,254427
07/11/2019,49.2,48.58,48.3,49.59,0.0,0.0,351017
07/10/2019,48.88,49,48.43,49.43,0.0,0.0,219420
07/09/2019,48.71,48.89,48.39,48.9,0.0,0.0,195105
07/08/2019,50.49,48.97,48.89,50.93,0.0,0.0,842381
07/05/2019,50.34,50.66,49.95,50.77,0.0,0.0,225850
07/03/2019,50.9,50.79,50.36,51.1,0.0,0.0,266915
07/02/2019,51.49,50.77,50.48,51.49,0.0,0.0,239191
07/01/2019,51.42,51.46,50.44,51.82,0.0,0.0,283740
06/28/2019,49.81,51.09,49.7622,51.19,0.0,0.0,776979
06/27/2019,48.96,49.63,48.96,49.74,0.0,0.0,678066
06/26/2019,49,48.89,48.29,49.28,0.0,0.0,781387
06/25/2019,49.84,48.96,48.58,49.84,0.0,0.0,383495
06/24/2019,49.54,49.59,48.835,49.65,0.0,0.0,361566
06/21/2019,48.44,49.54,48.09,49.59,0.0,0.0,948773
06/20/2019,49.18,48.83,48.47,49.18,0.0,0.0,431142
06/19/2019,48.69,48.71,47.78,48.97,0.0,0.0,456680
06/18/2019,48.39,48.41,47.66,49.38,0.0,0.0,395553
06/17/2019,47.32,48.13,46.81,48.25,0.0,0.0,392552
06/14/2019,47.1,47.24,46.93,47.65,0.0,0.0,413054
06/13/2019,47.59,47.09,46.68,47.59,0.0,0.0,330024
06/12/2019,47.28,47.36,46.45,47.42,0.0,0.0,385078
06/11/2019,47.21,47.12,46.325,47.67,0.0,0.0,486503
06/10/2019,46.15,46.75,45.92,47.03,0.0,0.0,517334
06/07/2019,45.73,45.94,45.26,46.56,0.0,0.0,429399
06/06/2019,45,45.29,44.66,45.9,0.0,0.0,839880
06/05/2019,43.65,45.08,43.4241,45.16,0.0,0.0,978736
06/04/2019,41.44,43.28,41.01,43.34,0.0,0.0,841895
06/03/2019,41.23,40.81,40.63,41.78,0.0,0.0,434479
05/31/2019,40.78,41.23,40.43,41.38,0.0,0.0,594515
05/30/2019,41.47,41.38,40.97,42.11,0.0,0.0,545342
05/29/2019,41.7,41.31,41.21,41.94,0.0,0.0,596486
05/28/2019,42.33,41.87,41.87,43.51,0.0,0.0,539974
05/24/2019,41.97,42.45,41.95,42.78,0.0,0.0,381051
05/23/2019,41.71,41.76,40.85,41.81,0.0,0.0,566805
05/22/2019,42.03,42.16,41.255,42.47,0.0,0.0,498952
05/21/2019,41.78,42.22,41.62,42.25,0.0,0.0,712910
05/20/2019,41.35,41.51,40.82,41.81,0.0,0.0,485795
05/17/2019,42,41.43,41.25,42.52,0.0,0.0,430194
05/16/2019,43.68,42.42,42.22,44.12,0.0,0.0,515876
05/15/2019,42.71,43.42,42.25,43.72,0.0,0.0,439844
05/14/2019,42.98,43.02,42.53,43.72,0.0,0.0,500396
05/13/2019,42.89,42.9,42.455,43.83,0.0,0.0,793788
05/10/2019,43.36,44.06,42.54,44.12,0.0,0.0,812987
05/09/2019,42.3,43.91,42.3,45.36,0.0,0.0,1089133
05/08/2019,44.87,45.97,43.79,46.3,0.0,0.0,838934
05/07/2019,46.42,44.91,44.4,47.255,0.0,0.0,1103659
05/06/2019,46.54,47.04,46.335,47.65,0.0,0.0,972266
05/03/2019,47,47.27,46.29,47.435,0.0,0.0,485213
05/02/2019,45.84,46.71,44.92,46.89,0.0,0.0,604296
05/01/2019,47.09,46.01,45.94,47.4,0.0,0.0,471958
04/30/2019,47.69,46.93,46.68,48,0.0,0.0,727694
04/29/2019,47.21,47.72,46.6,48.28,0.0,0.0,662391
04/26/2019,46.55,47.06,46.12,47.22,0.0,0.0,1054991
04/25/2019,46.25,46.45,45.9,47.06,0.0,0.0,830306
04/24/2019,46.93,46.52,46.21,47.06,0.0,0.0,325431
04/23/2019,45.76,46.93,45.31,47.45,0.0,0.0,767466
04/22/2019,45.51,45.96,45.3,46.53,0.0,0.0,599393
04/18/2019,45.91,45.71,45.12,46.53,0.0,0.0,706481
04/17/2019,48.58,45.91,45.74,48.58,0.0,0.0,771212
04/16/2019,50.37,48.48,47.94,50.43,0.0,0.0,534237
