Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,25.34,25.3895,25.3,25.39,0.0,0.0,7643
07/15/2019,25.39,25.3412,25.3412,25.43,0.0,0.0,2425
07/12/2019,25.225,25.3,25.225,25.367,0.0,0.0,2127
07/11/2019,25.39,25.25,25.2181,25.39,0.0,0.0,1693
07/10/2019,25.44,25.2,25.2,25.44,0.0,0.0,5980
07/09/2019,25.35,25.35,25.3296,25.47,0.0,0.0,5032
07/08/2019,25.34,25.39,25.3,25.4341,0.0,0.0,4646
07/05/2019,25.19,25.3715,25.19,25.3795,0.0,0.0,2760
07/03/2019,25.4,25.2843,25.2843,25.4,0.0,0.0,4346
07/02/2019,25.31,25.31,25.3,25.45,0.0,0.0,14790
07/01/2019,25.25,25.3,25.17,25.3741,0.0,0.0,27425
06/28/2019,26,25.06,25.06,26,0.0,0.0,60997
06/27/2019,25.9,25.8771,25.85,25.996,0.0,0.0,10455
06/26/2019,25.89,25.88,25.8375,26,0.0,0.0,7865
06/25/2019,25.82,25.82,25.82,25.82,0.0,0.0,00
06/24/2019,25.9301,25.82,25.8,25.9301,0.0,0.0,12611
06/21/2019,25.82,25.9064,25.82,25.9064,0.0,0.0,1832
06/20/2019,25.916,25.92,25.89,25.92,0.0,0.0,1804
06/19/2019,25.81,25.9,25.81,25.9,0.0,0.0,6593
06/18/2019,26.24,25.95,25.8,26.24,0.0,0.0,5370
06/17/2019,26.05,26.19,26,26.4,0.0,0.0,3499
06/14/2019,25.83,26.1205,25.83,26.1205,0.0,0.0,3304
06/13/2019,26.4479,25.75,25.6,26.4865,0.0,0.0,10154
06/12/2019,26.2,26.11,26.1,26.2,0.0,0.0,3042
06/11/2019,26.2626,26.3048,26.2023,26.3345,0.0,0.0,2169
06/10/2019,26.201,26.35,26.201,26.39,0.0,0.0,2341
06/07/2019,26.49,26.39,26.18,26.5,0.0,0.0,8070
06/06/2019,26.1708,26.4428,26.17,26.47,0.0,0.0,2552
06/05/2019,25.8,26.3,25.8,26.47,0.0,0.0,7598
06/04/2019,25.89,26.19,25.89,26.37,0.0,0.0,5953
06/03/2019,25.8426,25.86,25.6973,25.8989,0.0,0.0,2251
05/31/2019,25.54,25.99,25.5027,25.99,0.0,0.0,4650
05/30/2019,25.4,25.57,25.3841,25.6701,0.0,0.0,7068
05/29/2019,25.6,25.52,25.5,25.78,0.0,0.0,8257
05/28/2019,25.62,25.79,25.61,25.79,0.0,0.0,2539
05/24/2019,25.42,25.6842,25.42,25.6842,0.0,0.0,2486
05/23/2019,25.6666,25.6654,25.6,25.7,0.0,0.0,4411
05/22/2019,25.65,25.7,25.6,25.72,0.0,0.0,7375
05/21/2019,25.6607,25.6501,25.6501,25.7783,0.0,0.0,1940
05/20/2019,25.64,25.6211,25.48,25.715,0.0,0.0,1413
05/17/2019,25.564,25.86,25.38,25.86,0.0,0.0,10345
05/16/2019,25.5705,25.58,25.4,25.58,0.0,0.0,1857
05/15/2019,25.45,25.4285,25.4285,25.5493,0.0,0.0,1137
05/14/2019,25.4458,25.5034,25.4458,25.5034,0.0,0.0,502
05/13/2019,25.37,25.35,25.35,25.37,0.0,0.0,1145
05/10/2019,25.52,25.37,25.28,25.52,0.0,0.0,4034
05/09/2019,25.63,25.5366,25.3833,25.64,0.0,0.0,9556
05/08/2019,25.66,25.6738,25.65,25.996,0.0,0.0,4247
05/07/2019,25.65,25.9985,25.65,25.9985,0.0,0.0,1829
05/06/2019,25.7,25.815,25.66,25.9518,0.0,0.0,3227
05/03/2019,26,25.82,25.8001,26,0.0,0.0,1831
05/02/2019,25.8071,25.8435,25.8071,25.8435,0.0,0.0,549
05/01/2019,25.7,26.1,25.7,26.1,0.0,0.0,1541
04/30/2019,25.74,26,25.74,26.3607,0.0,0.0,6560
04/29/2019,25.76,25.8817,25.76,26.1851,0.0,0.0,3900
04/26/2019,25.8,25.65,25.65,25.8639,0.0,0.0,3156
04/25/2019,25.95,25.81,25.81,26.05,0.0,0.0,8380
04/24/2019,25.989,26,25.81,26,0.0,0.0,3383
04/23/2019,25.9976,25.8,25.6945,25.9976,0.0,0.0,6418
04/22/2019,25.78,25.75,25.65,26,0.0,0.0,1196
04/18/2019,25.9,25.65,25.65,26,0.0,0.0,9079
04/17/2019,26.0621,26.0621,26.0621,26.0621,0.0,0.0,799
04/16/2019,26.2,25.9372,25.9372,26.2,0.0,0.0,2574
