Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.81,1.81,1.81,1.81,0.0,0.0,00
07/15/2019,1.81,1.81,1.62,2.18,0.0,0.0,4721
07/12/2019,1.4,1.4933,1.4,1.4933,0.0,0.0,1181
07/11/2019,2.47,1.2563,0.96,2.47,0.0,0.0,8516
07/10/2019,2.64,2,2,2.64,0.0,0.0,1495
07/09/2019,2.25,2.25,2.25,2.25,0.0,0.0,195
07/08/2019,2.81,2.25,2.25,2.81,0.0,0.0,605
07/05/2019,2.73,2.39,2.3671,2.73,0.0,0.0,974
07/03/2019,2,2,2,2,0.0,0.0,149
07/02/2019,1.94,2,1.94,2,0.0,0.0,250
07/01/2019,2.0201,2.0201,2.0201,2.0201,0.0,0.0,1008
06/28/2019,2.004,2.13,2,2.13,0.0,0.0,852
06/27/2019,2.13,2.13,2.13,2.13,0.0,0.0,186
06/26/2019,2.48,2.1285,2.1285,2.48,0.0,0.0,1321
06/25/2019,1.7,2.04,1.7,2.04,0.0,0.0,569
06/24/2019,1.5075,1.5075,1.5075,1.5075,0.0,0.0,00
06/21/2019,1.5075,1.5075,1.5075,1.5075,0.0,0.0,500
06/20/2019,1.5,1.5,1.5,1.5,0.0,0.0,00
06/19/2019,1.5,1.5,1.5,1.5,0.0,0.0,408
06/18/2019,1.68,1.5,1.5,1.68,0.0,0.0,875
06/17/2019,2.03,1.5,1.5,2.03,0.0,0.0,2250
06/14/2019,2.5,2.4033,2,2.5,0.0,0.0,6518
06/13/2019,3,2.7,2.7,3,0.0,0.0,718
06/12/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
06/11/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
06/10/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
06/07/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
06/06/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
06/05/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
06/04/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
06/03/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
05/31/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
05/30/2019,4.07,4.07,4.07,4.07,0.0,0.0,00
05/29/2019,4.07,4.07,4.07,4.07,0.0,0.0,102
05/28/2019,3.81,4.05,3.81,4.05,0.0,0.0,6150
05/24/2019,4,4,4,4,0.0,0.0,1912
05/23/2019,4.19,4.19,4.19,4.19,0.0,0.0,00
05/22/2019,4.19,4.19,4.19,4.19,0.0,0.0,129
05/21/2019,4.22,4.3,4.22,4.3,0.0,0.0,2328
05/20/2019,4.5,4.5,4.5,4.5,0.0,0.0,00
05/17/2019,4.5,4.5,4.5,4.5,0.0,0.0,00
05/16/2019,4.5,4.5,4.5,4.5,0.0,0.0,00
05/15/2019,4.5,4.5,4.5,4.5,0.0,0.0,207
05/14/2019,5,5,5,5,0.0,0.0,00
05/13/2019,4.8,5,4.8,5,0.0,0.0,291
05/10/2019,5,5,5,5,0.0,0.0,00
05/09/2019,5,5,5,5,0.0,0.0,00
05/08/2019,5,5,5,5,0.0,0.0,00
05/07/2019,4.99,5,4.99,5,0.0,0.0,303
05/06/2019,4.04,4.6,4.04,4.6,0.0,0.0,1599
05/03/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
05/02/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
05/01/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/30/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/29/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/26/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/25/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/24/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/23/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/22/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/18/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/17/2019,5.1,5.1,5.1,5.1,0.0,0.0,00
04/16/2019,5.1,5.1,5.1,5.1007,0.0,0.0,770
