Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,37.57,37.17,37.06,37.6,0.0,0.0,51526
07/15/2019,38.39,37.54,37.35,38.39,0.0,0.0,65771
07/12/2019,37.89,38.39,37.89,38.68,0.0,0.0,53218
07/11/2019,37.75,38.1,37.48,38.11,0.0,0.0,59424
07/10/2019,37.94,37.71,37.6972,37.99,0.0,0.0,39182
07/09/2019,38.03,37.91,37.6375,38.21,0.0,0.0,78699
07/08/2019,38.89,38.46,38.29,38.97,0.0,0.0,40481
07/05/2019,38.59,39.06,38.59,39.06,0.0,0.0,29520
07/03/2019,38.6,38.59,38.475,38.82,0.0,0.0,27074
07/02/2019,38.47,38.43,37.89,38.82,0.0,0.0,58529
07/01/2019,38.13,38.47,37.96,38.49,0.0,0.0,121494
06/28/2019,37.97,37.8,37.65,38.11,0.0,0.0,389839
06/27/2019,37.35,37.82,37.15,37.82,0.0,0.0,64458
06/26/2019,37.46,37.32,37.2,37.81,0.0,0.0,38480
06/25/2019,37.52,37.41,37.17,37.57,0.0,0.0,48582
06/24/2019,37.62,37.44,37.32,38,0.0,0.0,70023
06/21/2019,38.19,37.78,37.73,38.42,0.0,0.0,142382
06/20/2019,38.94,38.39,38.22,38.94,0.0,0.0,55772
06/19/2019,38.8,38.67,38.53,39,0.0,0.0,81864
06/18/2019,37.94,38.65,37.86,38.86,0.0,0.0,98381
06/17/2019,38.42,37.98,37.75,38.66,0.0,0.0,56953
06/14/2019,38.57,38.6,38.07,38.75,0.0,0.0,44366
06/13/2019,38.13,38.56,38.13,38.59,0.0,0.0,50511
06/12/2019,38.13,38.17,37.9,38.36,0.0,0.0,39662
06/11/2019,38.285,38.15,38.06,38.42,0.0,0.0,50347
06/10/2019,37.66,38.13,37.56,38.7,0.0,0.0,44987
06/07/2019,38.07,37.7,37.62,38.09,0.0,0.0,33052
06/06/2019,37.98,38.01,37.43,38.29,0.0,0.0,51571
06/05/2019,38.04,37.98,37.43,38.29,0.0,0.0,45258
06/04/2019,37.335,38.11,37.335,38.21,0.0,0.0,71816
06/03/2019,37.32,37.48,36.75,37.54,0.0,0.0,110602
05/31/2019,37.43,37.3,37.04,37.58,0.0,0.0,33714
05/30/2019,38.57,37.91,37.49,38.77,0.0,0.0,45041
05/29/2019,38.34,38.42,38.11,38.54,0.0,0.0,75117
05/28/2019,38.66,38.66,38.27,38.85,0.0,0.0,69272
05/24/2019,38.44,38.77,38.34,38.86,0.0,0.0,23832
05/23/2019,39.17,38.22,37.96,39.17,0.0,0.0,36161
05/22/2019,39.58,39.45,39.18,39.77,0.0,0.0,34016
05/21/2019,39.64,39.7,39.49,40.03,0.0,0.0,34441
05/20/2019,39.23,39.49,38.93,39.83,0.0,0.0,27161
05/17/2019,39.35,39.26,39.21,39.83,0.0,0.0,37117
05/16/2019,39.41,39.65,39.41,39.95,0.0,0.0,25356
05/15/2019,39.34,39.38,38.79,39.58,0.0,0.0,26973
05/14/2019,39.37,39.63,38.93,39.82,0.0,0.0,46238
05/13/2019,39.81,39.25,39.15,39.94,0.0,0.0,52717
05/10/2019,40.07,40.34,39.56,40.38,0.0,0.0,48140
05/09/2019,39.8,40.11,39.548,40.24,0.0,0.0,38267
05/08/2019,40.6,40.14,40.07,40.86,0.0,0.0,48377
05/07/2019,40.88,40.63,40.43,41.085,0.0,0.0,35846
05/06/2019,40.77,41.23,40.7,41.31,0.0,0.0,33043
05/03/2019,40.35,41.08,40.35,41.15,0.0,0.0,80912
05/02/2019,40.16,40.38,40.03,40.45,0.0,0.0,24834
05/01/2019,39.98,40.09,39.5,40.31,0.0,0.0,52901
04/30/2019,40.13,39.91,39.76,40.36,0.0,0.0,64167
04/29/2019,40,40.03,39.79,40.58,0.0,0.0,64351
04/26/2019,40.84,39.89,39.16,40.84,0.0,0.0,45525
04/25/2019,39.87,39.53,39.13,40.04,0.0,0.0,25368
04/24/2019,39.42,39.99,39.3402,40.05,0.0,0.0,55980
04/23/2019,38.47,39.54,37.33,39.54,0.0,0.0,53626
04/22/2019,39.16,38.45,38.2,39.16,0.0,0.0,31583
04/18/2019,39.61,39.17,39.035,39.73,0.0,0.0,44893
04/17/2019,39.86,39.72,39.33,39.86,0.0,0.0,27935
04/16/2019,39.26,39.86,39.23,39.88,0.0,0.0,33193
