Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.5802,0.565,0.5501,0.5898,0.0,0.0,46546
07/15/2019,0.6015,0.585,0.58,0.6186,0.0,0.0,112320
07/12/2019,0.6,0.588,0.58,0.628,0.0,0.0,236048
07/11/2019,0.5807,0.589,0.565,0.5915,0.0,0.0,103938
07/10/2019,0.545,0.58,0.5402,0.593,0.0,0.0,108869
07/09/2019,0.6031,0.5573,0.522,0.6031,0.0,0.0,279181
07/08/2019,0.62,0.601,0.59,0.62,0.0,0.0,184349
07/05/2019,0.6199,0.6194,0.6,0.64,0.0,0.0,137311
07/03/2019,0.61,0.6199,0.59,0.63,0.0,0.0,754458
07/02/2019,0.71,0.64,0.6039,0.71,0.0,0.0,721477
07/01/2019,0.68,0.67,0.652,0.6853,0.0,0.0,419614
06/28/2019,0.8,0.68,0.6738,0.8,0.0,0.0,610789
06/27/2019,0.83,0.79,0.761,0.8513,0.0,0.0,970984
06/26/2019,0.82,0.8,0.7627,0.89,0.0,0.0,1842942
06/25/2019,0.72,0.76,0.67,0.7643,0.0,0.0,699529
06/24/2019,0.6701,0.7,0.65,0.74,0.0,0.0,125291
06/21/2019,0.64,0.6403,0.64,0.674,0.0,0.0,122410
06/20/2019,0.63,0.652,0.63,0.672,0.0,0.0,104823
06/19/2019,0.6289,0.63,0.6255,0.67,0.0,0.0,24594
06/18/2019,0.653,0.64,0.62,0.667,0.0,0.0,67344
06/17/2019,0.615,0.6251,0.615,0.654,0.0,0.0,61857
06/14/2019,0.64,0.6309,0.615,0.64,0.0,0.0,37431
06/13/2019,0.64,0.635,0.615,0.68,0.0,0.0,101443
06/12/2019,0.6,0.62,0.6,0.67,0.0,0.0,35171
06/11/2019,0.63,0.6,0.59,0.67,0.0,0.0,33798
06/10/2019,0.59,0.6221,0.5801,0.637,0.0,0.0,17931
06/07/2019,0.6011,0.6,0.59,0.6199,0.0,0.0,72686
06/06/2019,0.61,0.6,0.5829,0.658,0.0,0.0,108325
06/05/2019,0.634,0.638,0.61,0.646,0.0,0.0,84646
06/04/2019,0.67,0.646,0.6259,0.691,0.0,0.0,64917
06/03/2019,0.643,0.67,0.643,0.67,0.0,0.0,76268
05/31/2019,0.66,0.6467,0.643,0.6853,0.0,0.0,40858
05/30/2019,0.6603,0.66,0.66,0.7194,0.0,0.0,66884
05/29/2019,0.6621,0.6677,0.6547,0.7,0.0,0.0,81408
05/28/2019,0.72,0.675,0.6502,0.728,0.0,0.0,209051
05/24/2019,0.73,0.7299,0.705,0.78,0.0,0.0,71789
05/23/2019,0.78,0.725,0.692,0.78,0.0,0.0,239081
05/22/2019,0.761,0.7789,0.74,0.7991,0.0,0.0,162187
05/21/2019,0.7575,0.77,0.7,0.81,0.0,0.0,289064
05/20/2019,0.8,0.7575,0.7575,0.88,0.0,0.0,1071613
05/17/2019,0.6501,0.795,0.6501,0.85,0.0,0.0,1011735
05/16/2019,0.67,0.68,0.6529,0.6922,0.0,0.0,55601
05/15/2019,0.65,0.68,0.65,0.69,0.0,0.0,80029
05/14/2019,0.66,0.6825,0.66,0.7,0.0,0.0,109962
05/13/2019,0.68,0.6699,0.6551,0.69,0.0,0.0,63843
05/10/2019,0.6845,0.685,0.6701,0.72,0.0,0.0,32063
05/09/2019,0.71,0.697,0.652,0.72,0.0,0.0,90315
05/08/2019,0.687,0.71,0.63,0.71,0.0,0.0,65098
05/07/2019,0.703,0.6898,0.681,0.703,0.0,0.0,140433
05/06/2019,0.6546,0.695,0.65,0.71,0.0,0.0,472517
05/03/2019,0.6314,0.6509,0.63,0.68,0.0,0.0,111726
05/02/2019,0.65,0.6401,0.63,0.67,0.0,0.0,100232
05/01/2019,0.6658,0.633,0.632,0.668,0.0,0.0,132843
04/30/2019,0.688,0.662,0.65,0.693,0.0,0.0,92711
04/29/2019,0.7,0.7,0.6602,0.72,0.0,0.0,205075
04/26/2019,0.69,0.6533,0.6318,0.69,0.0,0.0,193134
04/25/2019,0.65,0.66,0.64,0.66,0.0,0.0,121603
04/24/2019,0.6635,0.6561,0.64,0.6741,0.0,0.0,164078
04/23/2019,0.68,0.674,0.65,0.6947,0.0,0.0,281885
04/22/2019,0.71,0.6812,0.68,0.73,0.0,0.0,184838
04/18/2019,0.74,0.71,0.7,0.745,0.0,0.0,335630
04/17/2019,0.71,0.73,0.7,0.73,0.0,0.0,268695
04/16/2019,0.69,0.72,0.67,0.72,0.0,0.0,349491
