Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.1458,0.23,0.1458,0.23,0.0,0.0,17100
07/15/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
07/12/2019,0.16,0.16,0.16,0.16,0.0,0.0,9801
07/11/2019,0.16,0.16,0.16,0.16,0.0,0.0,4900
07/10/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
07/09/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
07/08/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
07/05/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
07/03/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
07/02/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
07/01/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
06/28/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
06/27/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
06/26/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
06/25/2019,0.15,0.15,0.15,0.15,0.0,0.0,300
06/24/2019,0.14,0.15,0.14,0.15,0.0,0.0,14000
06/21/2019,0.16,0.16,0.16,0.16,0.0,0.0,100
06/20/2019,0.16,0.16,0.16,0.16,0.0,0.0,200
06/19/2019,0.17,0.17,0.15,0.17,0.0,0.0,2000
06/18/2019,0.18,0.18,0.1601,0.18,0.0,0.0,2100
06/17/2019,0.19,0.19,0.19,0.19,0.0,0.0,100
06/14/2019,0.21,0.21,0.21,0.21,0.0,0.0,200
06/13/2019,0.27,0.21,0.21,0.27,0.0,0.0,600
06/12/2019,0.2694,0.2,0.16,0.2694,0.0,0.0,6800
06/11/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
06/10/2019,0.15,0.15,0.15,0.15,0.0,0.0,00
06/07/2019,0.1501,0.15,0.14,0.1501,0.0,0.0,21500
06/06/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
06/05/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
06/04/2019,0.15,0.17,0.14,0.17,0.0,0.0,31000
06/03/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/31/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/30/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/29/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/28/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/24/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/23/2019,0.16,0.16,0.16,0.16,0.0,0.0,5000
05/22/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
05/21/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
05/20/2019,0.15,0.17,0.15,0.17,0.0,0.0,20010
05/17/2019,0.15,0.16,0.15,0.16,0.0,0.0,6000
05/16/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/15/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/14/2019,0.15,0.16,0.15,0.16,0.0,0.0,7000
05/13/2019,0.15,0.17,0.13,0.17,0.0,0.0,16200
05/10/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/09/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/08/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/07/2019,0.16,0.16,0.16,0.16,0.0,0.0,900
05/06/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/03/2019,0.16,0.16,0.16,0.16,0.0,0.0,17000
05/02/2019,0.16,0.16,0.16,0.16,0.0,0.0,00
05/01/2019,0.17,0.16,0.15,0.17,0.0,0.0,94000
04/30/2019,0.19,0.19,0.19,0.19,0.0,0.0,25000
04/29/2019,0.19,0.19,0.19,0.19,0.0,0.0,3000
04/26/2019,0.18,0.18,0.18,0.18,0.0,0.0,500
04/25/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
04/24/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
04/23/2019,0.24,0.17,0.17,0.24,0.0,0.0,1200
04/22/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
04/18/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
04/17/2019,0.17,0.17,0.17,0.17,0.0,0.0,00
04/16/2019,0.16,0.17,0.1589,0.17,0.0,0.0,11100
