Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,40.4,40.08,40.0306,40.4,0.0,0.0,41552
07/15/2019,40.36,40.408,40.28,40.42,0.0,0.0,38727
07/12/2019,39.83,40.22,39.83,40.2399,0.0,0.0,76849
07/11/2019,39.83,39.81,39.67,39.9252,0.0,0.0,76677
07/10/2019,39.69,39.7254,39.679,39.999,0.0,0.0,73626
07/09/2019,39.32,39.484,39.32,39.495,0.0,0.0,44860
07/08/2019,39.48,39.49,39.4,39.51,0.0,0.0,40057
07/05/2019,39.52,39.76,39.43,39.83,0.0,0.0,56937
07/03/2019,39.73,39.77,39.62,39.79,0.0,0.0,38897
07/02/2019,39.55,39.66,39.48,39.6766,0.0,0.0,135797
07/01/2019,39.89,39.55,39.4174,39.99,0.0,0.0,217029
06/28/2019,39.14,39.02,38.9527,39.25,0.0,0.0,366087
06/27/2019,39,39.05,39,39.15,0.0,0.0,74265
06/26/2019,38.71,38.88,38.71,39.04,0.0,0.0,213527
06/25/2019,38.91,38.393,38.39,38.91,0.0,0.0,69875
06/24/2019,38.91,38.93,38.91,39.0072,0.0,0.0,32217
06/21/2019,38.91,38.89,38.88,39.11,0.0,0.0,55988
06/20/2019,39.06,39.03,38.75,39.13,0.0,0.0,84672
06/19/2019,38.47,38.49,38.3225,38.59,0.0,0.0,65500
06/18/2019,37.89,38.39,37.89,38.595,0.0,0.0,79839
06/17/2019,37.49,37.55,37.49,37.675,0.0,0.0,132204
06/14/2019,37.66,37.47,37.3751,37.66,0.0,0.0,53852
06/13/2019,38.23,38.2,38.134,38.367,0.0,0.0,42830
06/12/2019,38.27,38.08,38.08,38.29,0.0,0.0,81295
06/11/2019,38.65,38.45,38.3548,38.72,0.0,0.0,247647
06/10/2019,38.16,38.27,38,38.585,0.0,0.0,83537
06/07/2019,37.59,37.8958,37.59,38.06,0.0,0.0,34081
06/06/2019,37.13,37.42,37.06,37.51,0.0,0.0,42308
06/05/2019,37.25,37.09,36.7669,37.37,0.0,0.0,79827
06/04/2019,36.29,36.93,36.2,36.94,0.0,0.0,156139
06/03/2019,36.05,35.87,35.73,36.3167,0.0,0.0,81965
05/31/2019,36.21,35.93,35.91,36.2668,0.0,0.0,64335
05/30/2019,36.44,36.57,36.3701,36.66,0.0,0.0,50638
05/29/2019,36.21,36.38,36.14,36.5038,0.0,0.0,104155
05/28/2019,36.89,36.38,36.38,36.9635,0.0,0.0,45161
05/24/2019,37.04,36.77,36.77,37.125,0.0,0.0,68536
05/23/2019,36.89,36.82,36.54,36.99,0.0,0.0,202189
05/22/2019,37.47,37.37,37.3301,37.57,0.0,0.0,97408
05/21/2019,37.71,37.86,37.7,37.96,0.0,0.0,141527
05/20/2019,37.48,37.35,37.2,37.7,0.0,0.0,166880
05/17/2019,38.01,38.05,37.974,38.48,0.0,0.0,70949
05/16/2019,38.11,38.35,38.11,38.5938,0.0,0.0,118399
05/15/2019,37.59,38.18,37.59,38.29,0.0,0.0,94487
05/14/2019,37.54,37.87,37.53,38.0501,0.0,0.0,87486
05/13/2019,37.64,37.31,37.1996,37.75,0.0,0.0,334554
05/10/2019,38.33,38.61,37.81,38.7751,0.0,0.0,194081
05/09/2019,38.46,38.56,37.96,38.6399,0.0,0.0,168023
05/08/2019,38.97,38.94,38.9395,39.3063,0.0,0.0,88473
05/07/2019,39.39,39.09,38.78,39.52,0.0,0.0,164194
05/06/2019,39.3,39.7999,39.19,39.852,0.0,0.0,80173
05/03/2019,39.9,40.15,39.8524,40.17,0.0,0.0,120865
05/02/2019,39.93,39.77,39.64,40.24,0.0,0.0,86577
05/01/2019,40.27,39.91,39.91,40.4,0.0,0.0,69493
04/30/2019,39.95,39.99,39.6932,40.015,0.0,0.0,56165
04/29/2019,40.02,39.9699,39.95,40.09,0.0,0.0,65490
04/26/2019,39.93,40.02,39.73,40.05,0.0,0.0,61169
04/25/2019,40.69,40.265,40.146,40.69,0.0,0.0,109372
04/24/2019,40.82,40.71,40.6907,40.9825,0.0,0.0,173742
04/23/2019,40.54,40.82,40.54,40.8211,0.0,0.0,48384
04/22/2019,40.47,40.49,40.44,40.5598,0.0,0.0,50163
04/18/2019,40.48,40.6,40.37,40.61,0.0,0.0,113164
04/17/2019,40.62,40.532,40.42,40.69,0.0,0.0,80143
04/16/2019,39.91,40.31,39.8534,40.31,0.0,0.0,80729
