Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,99.95,101.01,98.15,101.4,0.0,0.0,333817
07/15/2019,100.53,100.43,99.0716,100.75,0.0,0.0,159785
07/12/2019,97.96,100.04,97.67,101.11,0.0,0.0,311770
07/11/2019,100,97.49,97.33,100,0.0,0.0,218949
07/10/2019,99.96,99.63,99.085,100.53,0.0,0.0,177731
07/09/2019,99.01,98.86,97.95,99.72,0.0,0.0,317918
07/08/2019,103.03,99.43,99.23,103.61,0.0,0.0,239994
07/05/2019,102.91,104.21,102.05,104.28,0.0,0.0,136201
07/03/2019,102.47,103.78,102.07,104.15,0.0,0.0,127940
07/02/2019,103.77,101.83,100.86,103.77,0.0,0.0,268036
07/01/2019,106.42,104.18,103.53,107.805,0.0,0.0,239072
06/28/2019,102.5,104.6,102.08,104.81,0.0,0.0,595085
06/27/2019,100.86,102.53,100.86,102.58,0.0,0.0,206649
06/26/2019,98.87,100.27,98.87,100.76,0.0,0.0,373287
06/25/2019,99.86,97.89,97.59,101.02,0.0,0.0,365599
06/24/2019,101,99.72,99.69,102.16,0.0,0.0,254586
06/21/2019,101.45,100.6,99.93,102.45,0.0,0.0,494348
06/20/2019,101.63,101.4,100.92,102.56,0.0,0.0,301145
06/19/2019,100.37,100.81,99.65,101.34,0.0,0.0,267839
06/18/2019,99.34,100.36,98.44,101.82,0.0,0.0,347347
06/17/2019,98.26,98.09,96.83,99.14,0.0,0.0,283095
06/14/2019,98.98,97.82,97.23,98.98,0.0,0.0,269865
06/13/2019,98.7,99.13,98.06,99.46,0.0,0.0,320173
06/12/2019,97.9,97.91,97.185,98.5,0.0,0.0,232822
06/11/2019,98.46,98.24,97.63,99.34,0.0,0.0,346311
06/10/2019,96.16,97.48,95.95,99.2,0.0,0.0,274561
06/07/2019,95.13,95.25,94.635,96.18,0.0,0.0,214071
06/06/2019,92.77,94.48,92.16,94.815,0.0,0.0,372719
06/05/2019,96.31,92.86,91.44,97.26,0.0,0.0,414066
06/04/2019,92.61,95.69,92.61,95.88,0.0,0.0,506413
06/03/2019,91.07,91.58,91.07,94.03,0.0,0.0,458220
05/31/2019,94.88,90.65,90.4,96.41,0.0,0.0,632055
05/30/2019,93.81,97.13,92.112,98.21,0.0,0.0,783276
05/29/2019,92.16,91.64,91.141,92.96,0.0,0.0,343121
05/28/2019,93.81,92.73,92.63,94.54,0.0,0.0,336392
05/24/2019,92.61,93.43,92.385,94.14,0.0,0.0,235967
05/23/2019,95.4,91.99,91.64,95.4,0.0,0.0,422876
05/22/2019,98.65,96.92,96.87,99.61,0.0,0.0,204754
05/21/2019,98.16,99.31,98.16,99.66,0.0,0.0,242795
05/20/2019,97.73,97.39,97.05,98.55,0.0,0.0,279180
05/17/2019,99.09,98.71,98.21,100.63,0.0,0.0,206200
05/16/2019,99.9,100.52,99.57,101.64,0.0,0.0,199197
05/15/2019,98.1,99.74,98.1,99.885,0.0,0.0,246084
05/14/2019,97.54,98.89,97.37,99.74,0.0,0.0,192685
05/13/2019,100.24,97.11,96.9276,100.25,0.0,0.0,236273
05/10/2019,102.33,102.71,100.26,103,0.0,0.0,315219
05/09/2019,102.39,103.1,100.7939,103.71,0.0,0.0,221634
05/08/2019,104.12,103.64,103.54,104.95,0.0,0.0,139188
05/07/2019,105.43,104.71,103.56,105.87,0.0,0.0,233092
05/06/2019,104.42,106.65,104.132,107.505,0.0,0.0,190427
05/03/2019,106.29,107.31,105.75,107.57,0.0,0.0,181140
05/02/2019,105.6,105.6,104.99,106.67,0.0,0.0,277566
05/01/2019,107.28,105.77,105.66,107.64,0.0,0.0,191554
04/30/2019,106.92,106.61,105.12,106.96,0.0,0.0,208190
04/29/2019,106.66,107.03,106.66,107.97,0.0,0.0,131088
04/26/2019,105.79,106.62,105.2,106.98,0.0,0.0,156256
04/25/2019,108.02,105.94,105.15,108.16,0.0,0.0,207304
04/24/2019,107.08,108.15,106.56,108.97,0.0,0.0,147814
04/23/2019,104.5,107.37,104.4,107.465,0.0,0.0,263890
04/22/2019,104.98,104.3,104,105.09,0.0,0.0,239836
04/18/2019,105.5,105.36,103.96,106.265,0.0,0.0,227931
04/17/2019,109.13,105.56,104.73,109.395,0.0,0.0,377150
04/16/2019,109.7,109.31,109.06,110.2,0.0,0.0,167342
