Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,26.7,26.85,26.69,27.08,0.0,0.0,103496
07/15/2019,27.25,26.86,26.77,27.25,0.0,0.0,92699
07/12/2019,27.37,27.29,27.22,27.41,0.0,0.0,137163
07/11/2019,27.27,27.26,27.02,27.42,0.0,0.0,111466
07/10/2019,27.33,27.15,27.06,27.41,0.0,0.0,116770
07/09/2019,26.87,27.23,26.78,27.255,0.0,0.0,76049
07/08/2019,27.38,27.06,26.95,27.39,0.0,0.0,57552
07/05/2019,27.12,27.53,27.12,27.54,0.0,0.0,113039
07/03/2019,27.24,27.13,27.08,27.37,0.0,0.0,65203
07/02/2019,27.35,27.15,26.69,27.47,0.0,0.0,127934
07/01/2019,27.5,27.33,27.15,27.71,0.0,0.0,127902
06/28/2019,27.3,27.28,27.22,27.55,0.0,0.0,470167
06/27/2019,27.02,27.19,26.85,27.26,0.0,0.0,143667
06/26/2019,27.42,27.08,27.07,27.5,0.0,0.0,131187
06/25/2019,27.23,27.26,26.92,27.49,0.0,0.0,157902
06/24/2019,27.37,27.23,27.21,27.53,0.0,0.0,262568
06/21/2019,27.28,27.45,27.25,27.675,0.0,0.0,358600
06/20/2019,27.72,27.57,27.25,27.72,0.0,0.0,116955
06/19/2019,27.64,27.49,27.44,27.78,0.0,0.0,148775
06/18/2019,26.94,27.66,26.94,27.71,0.0,0.0,177680
06/17/2019,26.74,26.93,26.73,26.98,0.0,0.0,129227
06/14/2019,26.86,26.83,26.59,26.93,0.0,0.0,88412
06/13/2019,26.7,26.88,26.67,26.96,0.0,0.0,71716
06/12/2019,26.49,26.6,26.235,26.67,0.0,0.0,59238
06/11/2019,26.68,26.54,26.37,26.78,0.0,0.0,82104
06/10/2019,26.27,26.51,26.015,26.91,0.0,0.0,107589
06/07/2019,26.06,26.17,25.9101,26.23,0.0,0.0,99921
06/06/2019,26.15,26.1,25.78,26.21,0.0,0.0,62709
06/05/2019,26.24,26.15,25.8,26.31,0.0,0.0,84945
06/04/2019,25.74,26.26,25.67,26.27,0.0,0.0,115192
06/03/2019,25.37,25.37,25.08,25.58,0.0,0.0,123958
05/31/2019,25.51,25.36,25.29,25.6,0.0,0.0,127979
05/30/2019,26.01,25.82,25.53,26.145,0.0,0.0,110446
05/29/2019,26.07,26,25.8,26.21,0.0,0.0,156805
05/28/2019,26.26,26.32,26.15,26.42,0.0,0.0,209020
05/24/2019,25.87,26.29,25.87,26.31,0.0,0.0,66079
05/23/2019,25.9,25.75,25.445,25.9,0.0,0.0,132905
05/22/2019,26.35,26.04,26.01,26.35,0.0,0.0,74054
05/21/2019,26.28,26.36,26.21,26.38,0.0,0.0,61648
05/20/2019,25.8,26.21,25.8,26.35,0.0,0.0,64697
05/17/2019,25.94,25.96,25.87,26.37,0.0,0.0,100235
05/16/2019,25.99,26.13,25.99,26.31,0.0,0.0,62043
05/15/2019,25.79,25.9,25.46,25.98,0.0,0.0,56321
05/14/2019,25.37,26.06,25.35,26.11,0.0,0.0,89513
05/13/2019,25.95,25.39,25.31,25.99,0.0,0.0,68157
05/10/2019,26.3,26.41,25.95,26.42,0.0,0.0,72547
05/09/2019,26.12,26.41,25.99,26.46,0.0,0.0,74427
05/08/2019,26.49,26.34,26.31,26.84,0.0,0.0,75093
05/07/2019,26.75,26.55,26.39,26.99,0.0,0.0,60498
05/06/2019,26.49,27.01,26.43,27.13,0.0,0.0,77769
05/03/2019,26.42,26.87,26.4,27,0.0,0.0,130634
05/02/2019,26.22,26.38,26.09,26.5607,0.0,0.0,77966
05/01/2019,26.11,26.17,25.98,26.46,0.0,0.0,111899
04/30/2019,26.46,26.08,26.08,26.64,0.0,0.0,192346
04/29/2019,26.08,26.53,26.04,26.7,0.0,0.0,145697
04/26/2019,25.73,26.05,25.539,26.13,0.0,0.0,104400
04/25/2019,26.82,25.94,25.9,26.82,0.0,0.0,121965
04/24/2019,26.76,26.87,26.53,26.91,0.0,0.0,77177
04/23/2019,26.18,26.91,26.18,26.92,0.0,0.0,146808
04/22/2019,26.6,26.25,26.06,26.67,0.0,0.0,79549
04/18/2019,26.8,26.7,26.67,27.08,0.0,0.0,104938
04/17/2019,27,26.94,26.66,27,0.0,0.0,92057
04/16/2019,26.47,26.94,26.24,26.95,0.0,0.0,73440
