Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,8.32,8.2,8.08,8.38,0.0,0.0,71026
07/15/2019,8.29,8.35,8.1,8.35,0.0,0.0,66602
07/12/2019,8.23,8.27,8.23,8.39,0.0,0.0,67759
07/11/2019,8.1,8.14,8.04,8.24,0.0,0.0,100031
07/10/2019,8.31,8.2,8.14,8.38,0.0,0.0,37808
07/09/2019,8.35,8.3,8.14,8.37,0.0,0.0,64524
07/08/2019,8.27,8.35,8.13,8.38,0.0,0.0,109072
07/05/2019,8.28,8.29,8.22,8.38,0.0,0.0,47650
07/03/2019,8.22,8.39,8.22,8.49,0.0,0.0,41137
07/02/2019,8.23,8.27,8.04,8.27,0.0,0.0,87817
07/01/2019,8.11,8.21,8.06,8.29,0.0,0.0,178502
06/28/2019,8.17,7.97,7.96,8.37,0.0,0.0,838643
06/27/2019,8.29,8.18,8.17,8.39,0.0,0.0,127707
06/26/2019,8.28,8.28,8.2,8.355,0.0,0.0,63111
06/25/2019,8.26,8.26,8.19,8.31,0.0,0.0,53243
06/24/2019,8.53,8.26,8.2,8.54,0.0,0.0,81622
06/21/2019,8.43,8.48,8.1194,8.515,0.0,0.0,143356
06/20/2019,8.53,8.48,8.47,8.65,0.0,0.0,97967
06/19/2019,8.39,8.42,8.375,8.61,0.0,0.0,106051
06/18/2019,8.372,8.37,8.31,8.675,0.0,0.0,92207
06/17/2019,8.33,8.31,8.13,8.485,0.0,0.0,112415
06/14/2019,8.26,8.33,8.0976,8.4,0.0,0.0,100876
06/13/2019,8.42,8.28,8.16,8.46,0.0,0.0,185777
06/12/2019,8.26,8.4,8.2006,8.45,0.0,0.0,77184
06/11/2019,8.83,8.33,8.29,8.83,0.0,0.0,159085
06/10/2019,9.79,10.18,9.63,10.29,0.0,0.0,356193
06/07/2019,9.7,9.65,9.6,9.83,0.0,0.0,90880
06/06/2019,9.51,9.65,9.16,9.69,0.0,0.0,94378
06/05/2019,9.88,9.51,9.41,10.04,0.0,0.0,140826
06/04/2019,9.84,9.87,9.68,10.04,0.0,0.0,64980
06/03/2019,9.97,9.72,9.58,10.0076,0.0,0.0,107736
05/31/2019,10.1,9.82,9.73,10.2399,0.0,0.0,110295
05/30/2019,9.81,10.19,9.75,10.385,0.0,0.0,128673
05/29/2019,10.32,9.56,9.52,10.32,0.0,0.0,91375
05/28/2019,10.32,10.37,10.05,10.39,0.0,0.0,90286
05/24/2019,10.19,10.31,10.08,10.375,0.0,0.0,70706
05/23/2019,10.29,10.23,10.2,10.485,0.0,0.0,74802
05/22/2019,10.52,10.49,10.125,10.72,0.0,0.0,77027
05/21/2019,10.69,10.58,10.45,10.865,0.0,0.0,45225
05/20/2019,10.38,10.63,10.27,10.71,0.0,0.0,148789
05/17/2019,10.55,10.49,10.47,10.82,0.0,0.0,65633
05/16/2019,10.92,10.65,10.6,11.115,0.0,0.0,92219
05/15/2019,11.05,10.91,10.7,11.39,0.0,0.0,130289
05/14/2019,10.81,11.21,10.76,11.29,0.0,0.0,68372
05/13/2019,10.67,10.8,10.58,10.91,0.0,0.0,86137
05/10/2019,10.78,10.8,10.67,10.94,0.0,0.0,191043
05/09/2019,10.4,10.86,10.4,11.35,0.0,0.0,146619
05/08/2019,10.5,10.5,10.38,10.93,0.0,0.0,121756
05/07/2019,10.98,10.49,10.37,11.14,0.0,0.0,81351
05/06/2019,10.9,11.1,10.73,11.15,0.0,0.0,77537
05/03/2019,10.8,10.95,10.77,11,0.0,0.0,69666
05/02/2019,10.65,10.82,10.5615,10.92,0.0,0.0,76309
05/01/2019,10.84,10.66,10.5298,10.85,0.0,0.0,99992
04/30/2019,10.76,10.76,10.69,10.85,0.0,0.0,75270
04/29/2019,10.65,10.76,10.53,10.8712,0.0,0.0,54393
04/26/2019,10.72,10.62,10.58,10.79,0.0,0.0,55772
04/25/2019,11.41,10.6,10.5,11.41,0.0,0.0,64763
04/24/2019,11.45,11.4,11.3,11.66,0.0,0.0,54552
04/23/2019,11.85,11.54,11.44,11.9,0.0,0.0,60837
04/22/2019,11.79,11.8,11.52,12,0.0,0.0,101689
04/18/2019,11.7,11.75,11.63,11.96,0.0,0.0,132764
04/17/2019,11.92,11.73,11.65,11.92,0.0,0.0,163383
04/16/2019,11.88,11.82,11.81,12.01,0.0,0.0,212474
