Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,429.78,419.22,417.9125,429.78,0.0,0.0,81701
07/15/2019,434.36,429.79,425.7505,434.36,0.0,0.0,74957
07/12/2019,433.35,432.68,423.035,434.0875,0.0,0.0,124527
07/11/2019,419.43,433.34,416.0122,434.94,0.0,0.0,161052
07/10/2019,419.77,418.14,413.1,423.15,0.0,0.0,109585
07/09/2019,415.2,416.74,410.49,427.32,0.0,0.0,175905
07/08/2019,412.57,418.36,412.57,422.23,0.0,0.0,91751
07/05/2019,413.51,415.3,405.5275,419.28,0.0,0.0,156458
07/03/2019,407.33,415.71,406.9408,417.83,0.0,0.0,112940
07/02/2019,409.16,405.34,393.23,410.065,0.0,0.0,259031
07/01/2019,429.46,415.69,412.965,429.46,0.0,0.0,265366
06/28/2019,424,420.03,419.65,426.73,0.0,0.0,1002228
06/27/2019,405.72,420.57,405.72,420.8891,0.0,0.0,220859
06/26/2019,407.39,403.53,401.245,413.02,0.0,0.0,118912
06/25/2019,409.92,405.57,402.11,415.76,0.0,0.0,111206
06/24/2019,417.93,410.11,407.68,421.93,0.0,0.0,220616
06/21/2019,413.61,417.7,413.61,424.84,0.0,0.0,163896
06/20/2019,418.37,415.48,413.99,424.36,0.0,0.0,156272
06/19/2019,415.6,413.99,411.61,418.35,0.0,0.0,144827
06/18/2019,399.17,413.18,399.17,418.145,0.0,0.0,250223
06/17/2019,384.59,394.47,383.3,395.46,0.0,0.0,116420
06/14/2019,386.19,385.77,375.92,389.8,0.0,0.0,148788
06/13/2019,389.87,388.47,386.17,392.5,0.0,0.0,137752
06/12/2019,387.84,387.12,381.81,388.85,0.0,0.0,129364
06/11/2019,400.22,388.3,381.59,400.22,0.0,0.0,174952
06/10/2019,402.37,396.44,395.72,411.31,0.0,0.0,174223
06/07/2019,398.98,399.11,395.76,403.0316,0.0,0.0,147261
06/06/2019,389.96,397,385.24,401.76,0.0,0.0,209048
06/05/2019,381.42,388.32,380.55,388.9,0.0,0.0,127400
06/04/2019,372.18,380.7,371.29,381.37,0.0,0.0,147458
06/03/2019,376.79,367.24,359.24,376.79,0.0,0.0,185337
05/31/2019,369.95,375.74,369.1912,383.35,0.0,0.0,108179
05/30/2019,372.14,376.1,368.31,376.485,0.0,0.0,176733
05/29/2019,375.37,370.42,368.5,377.73,0.0,0.0,112463
05/28/2019,375.82,377.28,374.05,380.49,0.0,0.0,130620
05/24/2019,376.98,375.47,373.805,379.12,0.0,0.0,76876
05/23/2019,372.76,373.45,370.87,381.64,0.0,0.0,124074
05/22/2019,376.82,379.01,374,379.885,0.0,0.0,129466
05/21/2019,389.45,378.16,375.1,393.5,0.0,0.0,157869
05/20/2019,380.1,386.68,380.1,391.8,0.0,0.0,216367
05/17/2019,384.48,383.76,381.51,392.83,0.0,0.0,127753
05/16/2019,382.08,386.44,382.08,393,0.0,0.0,188043
05/15/2019,365.17,379.55,365.17,381.55,0.0,0.0,132322
05/14/2019,370.74,369.47,366,375.21,0.0,0.0,220352
05/13/2019,378.43,365.58,363.18,382.72,0.0,0.0,299077
05/10/2019,389.26,389.62,381.55,394.46,0.0,0.0,122436
05/09/2019,378.38,392.59,376.17,393.81,0.0,0.0,193487
05/08/2019,387.79,387.03,386.75,393.99,0.0,0.0,260308
05/07/2019,394.12,389.86,384.18,396.621,0.0,0.0,192788
05/06/2019,380.24,398.72,380.24,400.95,0.0,0.0,217347
05/03/2019,380.4,391.03,379.3,391.205,0.0,0.0,171042
05/02/2019,382.99,382.02,371.89,390.1873,0.0,0.0,230832
05/01/2019,386.08,384.94,384.19,389.49,0.0,0.0,124518
04/30/2019,376.8,384.82,375.55,385.99,0.0,0.0,227849
04/29/2019,387.02,376.35,366.9,388.91,0.0,0.0,347308
04/26/2019,389,390.97,371.22,398.1087,0.0,0.0,353512
04/25/2019,368.15,369.59,359.15,371.11,0.0,0.0,147175
04/24/2019,371.92,370.37,360.42,376.79,0.0,0.0,98952
04/23/2019,371.39,371.03,370.47,384.97,0.0,0.0,173513
04/22/2019,366.28,372.56,364.7,372.6,0.0,0.0,72926
04/18/2019,367.25,367.13,360.19,369.52,0.0,0.0,104722
04/17/2019,371.38,367.71,362.62,371.38,0.0,0.0,73815
04/16/2019,366.22,369.73,363.1175,372.91,0.0,0.0,142973
