Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.1354,2.1727,2.13,2.24,0.0,0.0,148120
07/15/2019,2.21,2.12,2.1,2.21,0.0,0.0,62205
07/12/2019,2.29,2.15,2.14,2.29,0.0,0.0,65173
07/11/2019,2.4,2.25,2.22,2.43,0.0,0.0,86323
07/10/2019,2.48,2.39,2.35,2.48,0.0,0.0,52643
07/09/2019,2.44,2.4,2.36,2.48,0.0,0.0,86291
07/08/2019,2.36,2.33,2.24,2.4,0.0,0.0,22781
07/05/2019,2.38,2.4,2.38,2.4262,0.0,0.0,64048
07/03/2019,2.4,2.43,2.4,2.51,0.0,0.0,24837
07/02/2019,2.5,2.4,2.4,2.55,0.0,0.0,64673
07/01/2019,2.55,2.52,2.5,2.5814,0.0,0.0,41089
06/28/2019,2.64,2.5,2.5,2.64,0.0,0.0,55080
06/27/2019,2.53,2.57,2.45,2.58,0.0,0.0,23147
06/26/2019,2.529,2.5201,2.45,2.5548,0.0,0.0,24134
06/25/2019,2.5,2.48,2.47,2.56,0.0,0.0,49609
06/24/2019,2.54,2.53,2.49,2.61,0.0,0.0,38153
06/21/2019,2.63,2.55,2.47,2.63,0.0,0.0,85558
06/20/2019,2.68,2.48,2.43,2.7102,0.0,0.0,127474
06/19/2019,2.65,2.71,2.65,2.7799,0.0,0.0,21123
06/18/2019,2.62,2.65,2.5522,2.71,0.0,0.0,83488
06/17/2019,2.59,2.62,2.59,2.727,0.0,0.0,50223
06/14/2019,2.72,2.62,2.59,2.72,0.0,0.0,40530
06/13/2019,2.76,2.74,2.52,2.78,0.0,0.0,106488
06/12/2019,2.73,2.75,2.73,2.8133,0.0,0.0,27148
06/11/2019,2.83,2.72,2.715,2.9053,0.0,0.0,116304
06/10/2019,2.81,2.83,2.75,2.94,0.0,0.0,82169
06/07/2019,3.3,2.95,2.85,3.46,0.0,0.0,646672
06/06/2019,2.91,3.16,2.91,3.28,0.0,0.0,296195
06/05/2019,2.95,3.03,2.87,3.15,0.0,0.0,153378
06/04/2019,2.95,2.97,2.81,2.99,0.0,0.0,52899
06/03/2019,2.9,2.89,2.86,3.0206,0.0,0.0,70099
05/31/2019,2.8,2.88,2.771,2.9999,0.0,0.0,53288
05/30/2019,2.98,2.83,2.8,3,0.0,0.0,92655
05/29/2019,3.06,3.02,2.9149,3.14,0.0,0.0,86680
05/28/2019,3.09,3.085,3.0401,3.15,0.0,0.0,71877
05/24/2019,3.12,3.1,3.035,3.1355,0.0,0.0,79309
05/23/2019,3.2,3.12,3.02,3.2,0.0,0.0,362883
05/22/2019,3.13,3.1,3.06,3.16,0.0,0.0,46613
05/21/2019,3.07,3.11,3.06,3.14,0.0,0.0,60880
05/20/2019,3.12,3.07,3.06,3.14,0.0,0.0,68823
05/17/2019,3.1,3.08,3.07,3.18,0.0,0.0,77813
05/16/2019,3.085,3.16,3.0712,3.17,0.0,0.0,50754
05/15/2019,3.11,3.1,3.0448,3.16,0.0,0.0,93059
05/14/2019,3.13,3.16,3.07,3.2,0.0,0.0,99680
05/13/2019,3.14,3.16,3.08,3.32,0.0,0.0,120091
05/10/2019,3.12,3.16,3.04,3.2342,0.0,0.0,86442
05/09/2019,3.24,3.15,3.04,3.2432,0.0,0.0,118452
05/08/2019,3.4,3.27,3.15,3.44,0.0,0.0,214673
05/07/2019,3.51,3.39,3.3,3.57,0.0,0.0,174051
05/06/2019,3.51,3.56,3.41,3.56,0.0,0.0,237615
05/03/2019,3.65,3.62,3.5001,3.7,0.0,0.0,313368
05/02/2019,3.45,3.59,3.31,3.64,0.0,0.0,416931
05/01/2019,3.46,3.45,3.31,3.53,0.0,0.0,167864
04/30/2019,3.51,3.49,3.36,3.53,0.0,0.0,221526
04/29/2019,3.39,3.52,3.33,3.53,0.0,0.0,203824
04/26/2019,3.38,3.4,3.25,3.45,0.0,0.0,191966
04/25/2019,3.51,3.43,3.4,3.522,0.0,0.0,223234
04/24/2019,3.7,3.56,3.41,3.73,0.0,0.0,418537
04/23/2019,4.16,3.85,3.61,4.2,0.0,0.0,7778851
04/22/2019,3.43,3.27,3.22,3.4431,0.0,0.0,75314
04/18/2019,3.34,3.37,3.3,3.45,0.0,0.0,101352
04/17/2019,3.49,3.37,3.3233,3.533,0.0,0.0,130753
04/16/2019,3.58,3.51,3.47,3.6,0.0,0.0,173913
