Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,248.01,243.54,241.4826,249.3326,0.0,0.0,687128
07/15/2019,244.58,248.16,242.16,249.68,0.0,0.0,839440
07/12/2019,241.44,244.05,237.25,245.42,0.0,0.0,847597
07/11/2019,241.5,240.79,238.39,243.03,0.0,0.0,530336
07/10/2019,243.43,239.43,239.11,247.5542,0.0,0.0,1075805
07/09/2019,238.79,241.17,235.4214,241.69,0.0,0.0,1196724
07/08/2019,235.7,239.68,234.6,242.14,0.0,0.0,1045258
07/05/2019,231.67,237.77,228.8304,239.235,0.0,0.0,927606
07/03/2019,234.31,233.83,229.74,235.1751,0.0,0.0,530403
07/02/2019,229.09,234.21,225.8,234.38,0.0,0.0,1307153
07/01/2019,236,233.77,229.6904,239.4,0.0,0.0,1217485
06/28/2019,234.5,227.78,226.715,234.5,0.0,0.0,4773292
06/27/2019,226.11,231.45,225.66,232.93,0.0,0.0,773280
06/26/2019,232.24,225.95,223.77,234.74,0.0,0.0,1212570
06/25/2019,234.5,226.88,225.08,236.92,0.0,0.0,1115129
06/24/2019,242,234.29,231.4789,242.9,0.0,0.0,1232483
06/21/2019,249.05,241.34,237.72,250.2078,0.0,0.0,1636292
06/20/2019,255,251.09,247.3,257.995,0.0,0.0,1131181
06/19/2019,247.54,251.3,243.9,251.71,0.0,0.0,814887
06/18/2019,252.57,245.18,244.5,255.5,0.0,0.0,1062164
06/17/2019,246.53,248.11,246.17,253.93,0.0,0.0,985321
06/14/2019,243.64,244.94,240.76,246.88,0.0,0.0,1123210
06/13/2019,242.85,246.88,242.21,248.99,0.0,0.0,1080879
06/12/2019,237.4,242.2,231.65,245.79,0.0,0.0,2527072
06/11/2019,253.62,249.36,245.87,255.49,0.0,0.0,1523495
06/10/2019,249.36,249.88,247.4804,257.1299,0.0,0.0,1822411
06/07/2019,239,245.04,238.01,250,0.0,0.0,1943741
06/06/2019,233,237.26,224.36,238.0275,0.0,0.0,1979161
06/05/2019,224.58,232.3,224.58,234,0.0,0.0,2709933
06/04/2019,200.84,222.91,200.5,223.37,0.0,0.0,3084173
06/03/2019,199.87,197.42,196,202.7,0.0,0.0,1704634
05/31/2019,198,198.81,196.01,201.61,0.0,0.0,988370
05/30/2019,203.02,201.89,200.18,204.44,0.0,0.0,1155421
05/29/2019,202,201.45,199,204.72,0.0,0.0,1519227
05/28/2019,196.95,202.09,196.23,203.62,0.0,0.0,1689867
05/24/2019,197.5,195.9,193.78,199.7399,0.0,0.0,1220201
05/23/2019,196,195.29,192.25,198,0.0,0.0,1484660
05/22/2019,197.13,198.9,197.0004,205.99,0.0,0.0,1266955
05/21/2019,200.05,199.03,198.1,207.76,0.0,0.0,1782182
05/20/2019,193.17,198.17,190.55,201.52,0.0,0.0,1389981
05/17/2019,198.62,198.02,196.0449,202.61,0.0,0.0,1497381
05/16/2019,200.64,202.04,197.4443,209.39,0.0,0.0,3275164
05/15/2019,185.39,199.88,184.76,201.39,0.0,0.0,3502851
05/14/2019,179.52,185.26,177.85,187.17,0.0,0.0,2228148
05/13/2019,175.77,176.76,173.6,181.52,0.0,0.0,2094526
05/10/2019,191.01,183.51,181.815,192.67,0.0,0.0,3720332
05/09/2019,218,189.92,180.5,218,0.0,0.0,8963552
05/08/2019,216.24,222.11,215.5,225.78,0.0,0.0,1642792
05/07/2019,222.37,217.65,214.24,225.67,0.0,0.0,1690068
05/06/2019,225,225.59,220.6103,229.63,0.0,0.0,1746455
05/03/2019,227.01,231.96,222.6435,232.6959,0.0,0.0,1316982
05/02/2019,220,225.16,220,227.33,0.0,0.0,1100647
05/01/2019,222.89,221.22,219,225.64,0.0,0.0,1033194
04/30/2019,219.59,221.48,216.67,224.78,0.0,0.0,1716656
04/29/2019,217.3,225.89,216.5,226.38,0.0,0.0,1551949
04/26/2019,214.24,215.24,211.6,217.3,0.0,0.0,847942
04/25/2019,210.03,214.75,208.18,216.88,0.0,0.0,1025566
04/24/2019,212.24,207.79,206.7,213.82,0.0,0.0,725005
04/23/2019,212.4,210.73,205.6261,215,0.0,0.0,985742
04/22/2019,198.25,211.03,197,211.9997,0.0,0.0,1497544
04/18/2019,198.18,198.74,194.33,199.91,0.0,0.0,725278
04/17/2019,204.7,198.79,197,205.5688,0.0,0.0,780192
04/16/2019,203.74,203.26,201.24,208.14,0.0,0.0,1012415
