Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.67,1.67,1.66,1.69,0.0,0.0,77204
07/15/2019,1.67,1.675,1.64,1.69,0.0,0.0,35510
07/12/2019,1.68,1.67,1.6482,1.69,0.0,0.0,133409
07/11/2019,1.68,1.68,1.66,1.69,0.0,0.0,102382
07/10/2019,1.71,1.68,1.631,1.74,0.0,0.0,211398
07/09/2019,1.84,1.7,1.69,1.89,0.0,0.0,355880
07/08/2019,1.693,1.84,1.66,1.86,0.0,0.0,240582
07/05/2019,1.67,1.68,1.67,1.71,0.0,0.0,64549
07/03/2019,1.68,1.67,1.64,1.72,0.0,0.0,89688
07/02/2019,1.66,1.68,1.61,1.7,0.0,0.0,152340
07/01/2019,1.69,1.67,1.66,1.74,0.0,0.0,130658
06/28/2019,1.65,1.69,1.65,1.73,0.0,0.0,114462
06/27/2019,1.65,1.64,1.625,1.65,0.0,0.0,102637
06/26/2019,1.64,1.65,1.62,1.69,0.0,0.0,162708
06/25/2019,1.63,1.65,1.61,1.69,0.0,0.0,311385
06/24/2019,1.65,1.64,1.61,1.67,0.0,0.0,94043
06/21/2019,1.63,1.64,1.61,1.65,0.0,0.0,110424
06/20/2019,1.68,1.63,1.625,1.69,0.0,0.0,67574
06/19/2019,1.62,1.67,1.5675,1.67,0.0,0.0,235487
06/18/2019,1.6,1.6,1.57,1.61,0.0,0.0,54401
06/17/2019,1.54,1.58,1.52,1.6332,0.0,0.0,149415
06/14/2019,1.535,1.52,1.51,1.56,0.0,0.0,53147
06/13/2019,1.53,1.51,1.5,1.57,0.0,0.0,218951
06/12/2019,1.58,1.53,1.5,1.61,0.0,0.0,132405
06/11/2019,1.57,1.58,1.53,1.63,0.0,0.0,201815
06/10/2019,1.56,1.55,1.55,1.63,0.0,0.0,77265
06/07/2019,1.57,1.54,1.49,1.6,0.0,0.0,212987
06/06/2019,1.56,1.5,1.46,1.6,0.0,0.0,166904
06/05/2019,1.52,1.56,1.48,1.56,0.0,0.0,216747
06/04/2019,1.5,1.5,1.48,1.545,0.0,0.0,107720
06/03/2019,1.54,1.52,1.51,1.55,0.0,0.0,119572
05/31/2019,1.5,1.52,1.475,1.52,0.0,0.0,262036
05/30/2019,1.5,1.5,1.47,1.55,0.0,0.0,253734
05/29/2019,1.53,1.51,1.5,1.58,0.0,0.0,411770
05/28/2019,1.6,1.53,1.53,1.67,0.0,0.0,278323
05/24/2019,1.61,1.597,1.59,1.67,0.0,0.0,306498
05/23/2019,1.69,1.63,1.61,1.69,0.0,0.0,159739
05/22/2019,1.71,1.7,1.69,1.75,0.0,0.0,223345
05/21/2019,1.66,1.71,1.64,1.75,0.0,0.0,102017
05/20/2019,1.67,1.67,1.6,1.69,0.0,0.0,639953
05/17/2019,1.71,1.69,1.64,1.8,0.0,0.0,99898
05/16/2019,1.77,1.73,1.72,1.78,0.0,0.0,139576
05/15/2019,1.8,1.77,1.7,1.8,0.0,0.0,193304
05/14/2019,1.78,1.78,1.65,1.81,0.0,0.0,277156
05/13/2019,1.67,1.7,1.6,1.72,0.0,0.0,284667
05/10/2019,1.71,1.68,1.65,1.76,0.0,0.0,401203
05/09/2019,1.79,1.74,1.68,1.84,0.0,0.0,1105815
05/08/2019,1.84,1.8,1.78,1.87,0.0,0.0,457050
05/07/2019,1.94,1.8,1.78,1.965,0.0,0.0,1098448
05/06/2019,2.21,2.13,2.12,2.21,0.0,0.0,219854
05/03/2019,2.25,2.23,2.21,2.28,0.0,0.0,92173
05/02/2019,2.22,2.26,2.18,2.26,0.0,0.0,256768
05/01/2019,2.26,2.23,2.205,2.27,0.0,0.0,328620
04/30/2019,2.25,2.25,2.19,2.28,0.0,0.0,275232
04/29/2019,2.25,2.24,2.2,2.27,0.0,0.0,302660
04/26/2019,2.23,2.26,2.18,2.29,0.0,0.0,228212
04/25/2019,2.2,2.22,2.15,2.23,0.0,0.0,275658
04/24/2019,2.15,2.2,2.12,2.22,0.0,0.0,268619
04/23/2019,2.04,2.14,2.01,2.155,0.0,0.0,297235
04/22/2019,1.98,2.02,1.98,2.04,0.0,0.0,225134
04/18/2019,1.96,1.97,1.91,1.97,0.0,0.0,297501
04/17/2019,1.94,1.94,1.91,2,0.0,0.0,264499
04/16/2019,1.91,1.93,1.91,1.97,0.0,0.0,316626
