Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,34.4486,34.4486,34.4486,34.4486,0.0,0.0,286
07/15/2019,34.45,34.45,34.45,34.45,0.0,0.0,00
07/12/2019,34.45,34.45,34.45,34.45,0.0,0.0,432
07/11/2019,34.2534,34.2534,34.2534,34.2534,0.0,0.0,395
07/10/2019,34.46,34.4311,34.36,34.4715,0.0,0.0,822
07/09/2019,34.0819,34.0819,34.0819,34.0819,0.0,0.0,414
07/08/2019,34.61,34.225,34.225,34.61,0.0,0.0,782
07/05/2019,34.2559,34.48,34.1147,34.48,0.0,0.0,2799
07/03/2019,33.9761,33.9761,33.9761,33.9761,0.0,0.0,00
07/02/2019,34.0568,33.9761,33.9761,34.0568,0.0,0.0,1003
07/01/2019,34.0042,34.0042,34.0042,34.0042,0.0,0.0,00
06/28/2019,33.79,34.0042,33.73,34.0042,0.0,0.0,2197
06/27/2019,33.47,33.53,33.47,33.5381,0.0,0.0,433
06/26/2019,33.335,33.2839,33.24,33.3998,0.0,0.0,4393
06/25/2019,33.3785,33.3,33.3,33.4,0.0,0.0,2202
06/24/2019,33.5577,33.5577,33.5577,33.5577,0.0,0.0,141
06/21/2019,33.714,33.84,33.714,33.84,0.0,0.0,602
06/20/2019,34.21,34.21,34.21,34.21,0.0,0.0,914
06/19/2019,33.6372,33.6372,33.6372,33.6372,0.0,0.0,100
06/18/2019,33.4193,33.54,33.4193,33.54,0.0,0.0,528
06/17/2019,33.31,33.31,33.31,33.31,0.0,0.0,239
06/14/2019,33.3071,33.3071,33.3071,33.3071,0.0,0.0,00
06/13/2019,33.3071,33.3071,33.3071,33.3071,0.0,0.0,143
06/12/2019,33.44,33.083,33.083,33.44,0.0,0.0,614
06/11/2019,33.19,33.19,33.19,33.19,0.0,0.0,00
06/10/2019,33.4044,33.19,33.19,33.4789,0.0,0.0,4474
06/07/2019,32.9328,33.0626,32.9328,33.1194,0.0,0.0,3836
06/06/2019,32.6509,32.6509,32.6509,32.6509,0.0,0.0,00
06/05/2019,32.6509,32.6509,32.6509,32.6509,0.0,0.0,241
06/04/2019,32.1838,32.35,32.1612,32.49,0.0,0.0,61062
06/03/2019,32.0497,32.0497,32.0497,32.0497,0.0,0.0,00
05/31/2019,32.0497,32.0497,32.0497,32.0497,0.0,0.0,00
05/30/2019,32.195,32.0497,32.0001,32.195,0.0,0.0,1755
05/29/2019,32.0158,32.0158,32.0158,32.0158,0.0,0.0,105
05/28/2019,32.35,32.35,32.35,32.35,0.0,0.0,00
05/24/2019,32.35,32.35,32.35,32.35,0.0,0.0,00
05/23/2019,33.07,32.35,32.35,33.07,0.0,0.0,1657
05/22/2019,32.99,33.13,32.99,33.13,0.0,0.0,342
05/21/2019,33.2442,33.2442,33.2442,33.2442,0.0,0.0,299
05/20/2019,33.39,33.39,33.39,33.39,0.0,0.0,00
05/17/2019,33.18,33.39,33.18,33.5227,0.0,0.0,5441
05/16/2019,33.587,33.58,33.58,33.68,0.0,0.0,856
05/15/2019,33.23,33.25,33.23,33.305,0.0,0.0,930
05/14/2019,33.135,33.1738,33.135,33.244,0.0,0.0,3946
05/13/2019,33.02,32.8019,32.56,33.02,0.0,0.0,1840
05/10/2019,33.4071,33.51,33.4071,33.51,0.0,0.0,931
05/09/2019,33.24,33.68,33.24,33.68,0.0,0.0,350
05/08/2019,33.6,33.94,33.6,33.97,0.0,0.0,7932
05/07/2019,33.94,33.78,33.78,34,0.0,0.0,1172
05/06/2019,33.95,34.19,33.95,34.19,0.0,0.0,1332
05/03/2019,34.5918,34.5918,34.5918,34.5918,0.0,0.0,243
05/02/2019,34.0908,34.11,34.0908,34.11,0.0,0.0,885
05/01/2019,34.54,34.54,34.54,34.54,0.0,0.0,257
04/30/2019,34.39,34.39,34.39,34.39,0.0,0.0,126
04/29/2019,34.57,34.665,34.5439,34.675,0.0,0.0,3078
04/26/2019,34.1,34.45,34.1,34.45,0.0,0.0,2466
04/25/2019,34.28,34.3994,34.2,34.3994,0.0,0.0,2450
04/24/2019,34.62,34.53,34.53,34.6769,0.0,0.0,1479
04/23/2019,34.437,34.585,34.437,34.585,0.0,0.0,1173
04/22/2019,34.1776,34.19,34.1512,34.2295,0.0,0.0,1404
04/18/2019,34.1323,34.2643,34.1323,34.3156,0.0,0.0,1518
04/17/2019,34.5471,34.5471,34.5471,34.5471,0.0,0.0,00
04/16/2019,34.5471,34.5471,34.5471,34.5471,0.0,0.0,310
