Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,38.86,38.59,38.17,38.92,0.0,0.0,520911
07/15/2019,39.2,38.96,38.7,39.4,0.0,0.0,312477
07/12/2019,39.47,39.12,38.51,39.498,0.0,0.0,348184
07/11/2019,39.46,39.29,38.72,39.61,0.0,0.0,396502
07/10/2019,39.2,39.19,39.04,39.98,0.0,0.0,462678
07/09/2019,37.78,38.93,37.62,38.95,0.0,0.0,342480
07/08/2019,38.23,38.03,37.74,38.58,0.0,0.0,449494
07/05/2019,38.74,38.51,37.68,38.75,0.0,0.0,365990
07/03/2019,39,38.98,38.23,39.35,0.0,0.0,359383
07/02/2019,38.6,39.01,38.48,39.65,0.0,0.0,886861
07/01/2019,38.52,38.64,37.19,38.67,0.0,0.0,803648
06/28/2019,37.27,37.64,36.91,37.73,0.0,0.0,2119450
06/27/2019,35.98,36.99,35.98,37.42,0.0,0.0,721661
06/26/2019,36.14,35.95,35.58,36.81,0.0,0.0,714306
06/25/2019,36.3,35.87,35.68,36.76,0.0,0.0,751827
06/24/2019,37.64,36.41,36.14,38.09,0.0,0.0,964567
06/21/2019,38.3,37.64,37.5,38.68,0.0,0.0,1993604
06/20/2019,38.59,38.15,37.17,38.97,0.0,0.0,935261
06/19/2019,38.04,37.97,37.3138,38.58,0.0,0.0,642462
06/18/2019,36.27,37.97,36.165,38.1605,0.0,0.0,864455
06/17/2019,36,35.89,35.83,38.53,0.0,0.0,1012039
06/14/2019,35.57,36.12,35.005,36.28,0.0,0.0,691281
06/13/2019,35.67,35.63,35.36,36.19,0.0,0.0,589063
06/12/2019,34.49,35.58,34.31,35.76,0.0,0.0,613477
06/11/2019,35.82,34.44,34.26,35.91,0.0,0.0,1314003
06/10/2019,35.92,35.5,35.33,37.59,0.0,0.0,945846
06/07/2019,36.65,35.37,35.07,36.6953,0.0,0.0,1232518
06/06/2019,37.98,36.59,36.42,37.98,0.0,0.0,782803
06/05/2019,38.36,37.94,36.635,38.81,0.0,0.0,733992
06/04/2019,37.6,38.06,37.23,38.6481,0.0,0.0,757054
06/03/2019,37.91,36.89,36.365,37.95,0.0,0.0,1034180
05/31/2019,37.95,37.99,37.54,38.52,0.0,0.0,681868
05/30/2019,38.38,38.28,37.87,38.78,0.0,0.0,591699
05/29/2019,38.57,38.27,37.73,38.9,0.0,0.0,912799
05/28/2019,39.62,38.79,38.71,40.2,0.0,0.0,721096
05/24/2019,39.36,39.52,38.915,39.77,0.0,0.0,861276
05/23/2019,40.55,39.03,38.62,40.86,0.0,0.0,1005942
05/22/2019,40.06,40.67,40.06,41.34,0.0,0.0,886049
05/21/2019,40.55,40.39,40.33,41.18,0.0,0.0,715592
05/20/2019,40.55,40.14,40.04,41.02,0.0,0.0,607136
05/17/2019,41.1,40.97,40.68,41.88,0.0,0.0,1130047
05/16/2019,40.61,41.57,40.61,42.13,0.0,0.0,1002018
05/15/2019,39.47,40.65,39.18,41.12,0.0,0.0,1910651
05/14/2019,39.45,39.41,38.68,40.39,0.0,0.0,1721703
05/13/2019,40.49,38.89,38.65,41.37,0.0,0.0,1287723
05/10/2019,43.05,41.63,40.64,43.5,0.0,0.0,2106879
05/09/2019,44.95,42.99,42.07,45.06,0.0,0.0,2753601
05/08/2019,46.22,44.77,43.755,48.12,0.0,0.0,7357985
05/07/2019,61.34,59.93,58.88,62.2099,0.0,0.0,609956
05/06/2019,61.19,62.39,60.935,63.07,0.0,0.0,518592
05/03/2019,60.85,62.47,59.97,62.61,0.0,0.0,605991
05/02/2019,59.24,60.53,58.7,60.64,0.0,0.0,440429
05/01/2019,60.78,59.47,59.34,60.78,0.0,0.0,437785
04/30/2019,61.38,60.5,60.42,62.105,0.0,0.0,472761
04/29/2019,62.08,61.61,61.35,62.78,0.0,0.0,425170
04/26/2019,60.97,61.84,59.93,62.35,0.0,0.0,444378
04/25/2019,61.88,61.01,60.88,62.99,0.0,0.0,283044
04/24/2019,62.06,61.85,61.69,63.06,0.0,0.0,464260
04/23/2019,61.88,61.98,61.2,62.42,0.0,0.0,473041
04/22/2019,60.35,61.63,59.47,62,0.0,0.0,701403
04/18/2019,62.15,60.45,60.41,62.52,0.0,0.0,815633
04/17/2019,65.36,62.19,62.14,65.38,0.0,0.0,557602
04/16/2019,64.71,64.9,64.51,65.9,0.0,0.0,558844
