Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.65,0.6566,0.65,0.6789,0.0,0.0,107092
07/15/2019,0.67,0.6542,0.65,0.6825,0.0,0.0,59446
07/12/2019,0.6825,0.65,0.65,0.6825,0.0,0.0,46551
07/11/2019,0.6985,0.65,0.6334,0.6985,0.0,0.0,92100
07/10/2019,0.71,0.6795,0.6685,0.71,0.0,0.0,58881
07/09/2019,0.655,0.6701,0.65,0.69,0.0,0.0,35241
07/08/2019,0.69,0.682,0.68,0.7284,0.0,0.0,107947
07/05/2019,0.68,0.69,0.6505,0.6926,0.0,0.0,23152
07/03/2019,0.6845,0.6601,0.65,0.69,0.0,0.0,36006
07/02/2019,0.67,0.685,0.67,0.697,0.0,0.0,33926
07/01/2019,0.7,0.67,0.66,0.701,0.0,0.0,67456
06/28/2019,0.675,0.6755,0.67,0.699,0.0,0.0,36490
06/27/2019,0.64,0.6801,0.64,0.71,0.0,0.0,110989
06/26/2019,0.6715,0.66,0.63,0.6799,0.0,0.0,91068
06/25/2019,0.71,0.6795,0.67,0.73,0.0,0.0,68287
06/24/2019,0.69,0.7059,0.6714,0.73,0.0,0.0,157767
06/21/2019,0.6602,0.6624,0.64,0.68,0.0,0.0,24945
06/20/2019,0.685,0.6603,0.6501,0.685,0.0,0.0,99384
06/19/2019,0.6115,0.68,0.61,0.7,0.0,0.0,354048
06/18/2019,0.621,0.6105,0.607,0.68,0.0,0.0,196700
06/17/2019,0.6201,0.622,0.6201,0.65,0.0,0.0,22156
06/14/2019,0.6208,0.6278,0.6208,0.65,0.0,0.0,48280
06/13/2019,0.65,0.635,0.63,0.6509,0.0,0.0,13274
06/12/2019,0.6567,0.6201,0.6201,0.66,0.0,0.0,111706
06/11/2019,0.6338,0.646,0.625,0.65,0.0,0.0,82850
06/10/2019,0.6611,0.6267,0.6137,0.6898,0.0,0.0,160598
06/07/2019,0.658,0.665,0.658,0.7,0.0,0.0,19330
06/06/2019,0.67,0.659,0.6399,0.67,0.0,0.0,55599
06/05/2019,0.7,0.642,0.642,0.7,0.0,0.0,106477
06/04/2019,0.6596,0.6701,0.6596,0.7131,0.0,0.0,147432
06/03/2019,0.652,0.6651,0.65,0.688,0.0,0.0,42618
05/31/2019,0.654,0.6663,0.65,0.74,0.0,0.0,41919
05/30/2019,0.65,0.664,0.64,0.69,0.0,0.0,85956
05/29/2019,0.7001,0.659,0.6506,0.71,0.0,0.0,127265
05/28/2019,0.72,0.71,0.705,0.78,0.0,0.0,39397
05/24/2019,0.7381,0.705,0.7022,0.7605,0.0,0.0,76887
05/23/2019,0.69,0.7101,0.69,0.73,0.0,0.0,115751
05/22/2019,0.75,0.73,0.707,0.7789,0.0,0.0,84858
05/21/2019,0.76,0.7499,0.6808,0.76,0.0,0.0,126555
05/20/2019,0.815,0.7,0.682,0.848,0.0,0.0,493885
05/17/2019,0.84,0.8098,0.7721,0.88,0.0,0.0,155889
05/16/2019,0.94,0.848,0.8011,0.94,0.0,0.0,435001
05/15/2019,0.98,0.9364,0.9101,0.98,0.0,0.0,162392
05/14/2019,1.05,0.9738,0.96,1.05,0.0,0.0,112325
05/13/2019,1.09,0.96,0.9,1.09,0.0,0.0,507385
05/10/2019,1.1,1.1,1.0801,1.15,0.0,0.0,88813
05/09/2019,1.1,1.11,1.08,1.13,0.0,0.0,124945
05/08/2019,1.1,1.15,1.09,1.15,0.0,0.0,124861
05/07/2019,1.14,1.13,1.08,1.14,0.0,0.0,156736
05/06/2019,1.1,1.15,1.08,1.15,0.0,0.0,128055
05/03/2019,1.12,1.12,1.11,1.18,0.0,0.0,100956
05/02/2019,1.15,1.11,1.08,1.15,0.0,0.0,213125
05/01/2019,1.22,1.15,1.15,1.2438,0.0,0.0,225922
04/30/2019,1.25,1.21,1.17,1.38,0.0,0.0,728386
04/29/2019,1.25,1.2569,1.2,1.285,0.0,0.0,140810
04/26/2019,1.25,1.25,1.25,1.3052,0.0,0.0,202650
04/25/2019,1.3,1.26,1.22,1.32,0.0,0.0,228536
04/24/2019,1.18,1.32,1.16,1.36,0.0,0.0,335893
04/23/2019,1.25,1.19,1.18,1.25,0.0,0.0,261972
04/22/2019,1.32,1.22,1.15,1.3234,0.0,0.0,788526
04/18/2019,1.24,1.27,1.235,1.29,0.0,0.0,235197
04/17/2019,1.23,1.21,1.2,1.25,0.0,0.0,162117
04/16/2019,1.25,1.23,1.203,1.29,0.0,0.0,209298
