Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,11.3719,11.34,11.34,11.3719,0.0,0.0,643
07/15/2019,11.34,11.5,11.34,11.5,0.0,0.0,4335
07/12/2019,11.44,11.26,11.26,11.44,0.0,0.0,9490
07/11/2019,11.4453,11.5,11.4453,11.5,0.0,0.0,860
07/10/2019,11.5,11.41,11.41,11.5,0.0,0.0,470
07/09/2019,11.41,11.41,11.41,11.41,0.0,0.0,00
07/08/2019,11.5,11.41,11.41,11.5,0.0,0.0,3691
07/05/2019,11.43,11.5,11.43,11.5,0.0,0.0,5236
07/03/2019,11.435,11.4309,11.4,11.4381,0.0,0.0,1057
07/02/2019,11.36,11.4188,11.35,11.442,0.0,0.0,2339
07/01/2019,11.402,11.4178,11.36,11.4178,0.0,0.0,971
06/28/2019,11.4276,11.27,11.27,11.5,0.0,0.0,3316
06/27/2019,11.49,11.4157,11.4157,11.49,0.0,0.0,1174
06/26/2019,11.44,11.47,11.44,11.4701,0.0,0.0,4094
06/25/2019,11.3806,11.41,11.38,11.4142,0.0,0.0,6539
06/24/2019,11.32,11.37,11.32,11.37,0.0,0.0,1033
06/21/2019,11.5,11.27,11.27,11.5,0.0,0.0,10646
06/20/2019,11.74,11.6665,11.3044,11.75,0.0,0.0,10194
06/19/2019,11.28,11.27,11.27,11.28,0.0,0.0,1660
06/18/2019,11.51,11.3,11.3,11.51,0.0,0.0,4701
06/17/2019,11.525,11.525,11.525,11.525,0.0,0.0,00
06/14/2019,11.28,11.525,11.27,11.525,0.0,0.0,2992
06/13/2019,11.4989,11.4989,11.4989,11.4989,0.0,0.0,1442
06/12/2019,11.63,11.63,11.63,11.63,0.0,0.0,199
06/11/2019,11.63,11.523,11.2698,11.6361,0.0,0.0,1249
06/10/2019,11.505,11.6313,11.505,11.6313,0.0,0.0,1708
06/07/2019,11.46,11.4184,11.4184,11.836,0.0,0.0,7852
06/06/2019,11.475,11.55,11.475,11.75,0.0,0.0,1419
06/05/2019,11.4291,11.47,11.33,11.47,0.0,0.0,1291
06/04/2019,11.74,11.5214,11.4649,11.74,0.0,0.0,3818
06/03/2019,11.55,11.55,11.55,11.55,0.0,0.0,241
05/31/2019,11.32,11.3,11.3,11.32,0.0,0.0,1365
05/30/2019,11.5,11.26,11.16,11.55,0.0,0.0,6133
05/29/2019,11.256,11.4648,11.256,11.5105,0.0,0.0,6285
05/28/2019,11.1242,11.15,11.1242,11.15,0.0,0.0,728
05/24/2019,11.1403,11.1461,11.07,11.1461,0.0,0.0,5274
05/23/2019,11.15,11.0608,11.05,11.15,0.0,0.0,2445
05/22/2019,11.08,11,11,11.1052,0.0,0.0,2178
05/21/2019,11.3413,11.13,11.13,11.3478,0.0,0.0,18779
05/20/2019,11.3298,11.3298,11.3298,11.3298,0.0,0.0,443
05/17/2019,11.404,11.3,11.3,11.404,0.0,0.0,2249
05/16/2019,11.4113,11.4113,11.4113,11.4113,0.0,0.0,1278
05/15/2019,11.4724,11.3285,11.3285,11.4724,0.0,0.0,1087
05/14/2019,11.5481,11.4934,11.47,11.5499,0.0,0.0,2552
05/13/2019,11.75,11.4854,11.4854,11.75,0.0,0.0,1599
05/10/2019,11.31,11.7607,11.31,11.85,0.0,0.0,2972
05/09/2019,11.455,11.455,11.455,11.455,0.0,0.0,00
05/08/2019,11.5999,11.455,11.455,11.5999,0.0,0.0,699
05/07/2019,11.34,11.32,11.32,11.7507,0.0,0.0,6934
05/06/2019,11.77,11.75,11.75,11.85,0.0,0.0,2755
05/03/2019,11.7076,11.84,11.6696,11.84,0.0,0.0,916
05/02/2019,11.49,11.3873,11.3873,11.85,0.0,0.0,593
05/01/2019,11.421,11.4161,11.3474,11.49,0.0,0.0,3361
04/30/2019,11.42,11.3,11.3,11.42,0.0,0.0,7697
04/29/2019,11.37,11.37,11.37,11.37,0.0,0.0,00
04/26/2019,11.3765,11.37,11.37,11.3765,0.0,0.0,562
04/25/2019,11.25,11.385,11.25,11.385,0.0,0.0,9031
04/24/2019,11.184,11.25,11.17,11.38,0.0,0.0,4577
04/23/2019,11.26,11.15,11.1291,11.49,0.0,0.0,1956
04/22/2019,11.05,11.0985,11,11.2288,0.0,0.0,2934
04/18/2019,10.9,10.9892,10.76,11.05,0.0,0.0,7526
04/17/2019,11.0835,10.95,10.95,11.0835,0.0,0.0,1852
04/16/2019,11.0004,11.049,11.0004,11.049,0.0,0.0,1385
