Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,36.08,36.19,35.82,36.37,0.0,0.0,311322
07/15/2019,37.08,36.06,35.96,37.08,0.0,0.0,286261
07/12/2019,36.76,36.99,36.49,37.06,0.0,0.0,290411
07/11/2019,36.27,36.59,36.05,36.62,0.0,0.0,461096
07/10/2019,36.74,36.16,36.04,36.88,0.0,0.0,451417
07/09/2019,36.59,36.7,36.33,36.9,0.0,0.0,498766
07/08/2019,37.17,36.72,36.68,37.24,0.0,0.0,258845
07/05/2019,37.01,37.4,36.92,37.42,0.0,0.0,242478
07/03/2019,36.75,36.79,36.6,36.81,0.0,0.0,262132
07/02/2019,37.09,36.66,36.39,37.13,0.0,0.0,326927
07/01/2019,37.66,37.14,36.89,37.66,0.0,0.0,409521
06/28/2019,36.95,37.09,36.71,37.59,0.0,0.0,760315
06/27/2019,36.43,36.8,36.38,36.81,0.0,0.0,318226
06/26/2019,36.37,36.27,36.12,36.585,0.0,0.0,274479
06/25/2019,36.3,36.22,35.81,36.4,0.0,0.0,658400
06/24/2019,36.35,36.19,36.16,36.7,0.0,0.0,447572
06/21/2019,36.45,36.4,36.2,36.77,0.0,0.0,824455
06/20/2019,37.07,36.67,36.29,37.07,0.0,0.0,390763
06/19/2019,37.06,36.74,36.68,37.52,0.0,0.0,312677
06/18/2019,36.08,37.08,35.96,37.12,0.0,0.0,279999
06/17/2019,36.67,36.03,35.85,36.86,0.0,0.0,456806
06/14/2019,36.85,36.74,36.37,36.98,0.0,0.0,294676
06/13/2019,36.94,36.74,36.6,37.17,0.0,0.0,243853
06/12/2019,37.24,37.06,36.94,37.54,0.0,0.0,313339
06/11/2019,37.58,37.25,37.16,37.67,0.0,0.0,234266
06/10/2019,37.3,37.22,37.08,37.87,0.0,0.0,273879
06/07/2019,37.11,37.24,36.9025,37.42,0.0,0.0,250040
06/06/2019,37.55,37.17,36.76,37.67,0.0,0.0,253573
06/05/2019,37.52,37.66,36.75,37.82,0.0,0.0,658588
06/04/2019,36.48,37.69,36.17,37.81,0.0,0.0,624886
06/03/2019,35.68,35.86,35.68,36.31,0.0,0.0,516560
05/31/2019,35.7,35.78,35.42,36.01,0.0,0.0,439461
05/30/2019,37.11,36.19,35.81,37.25,0.0,0.0,302618
05/29/2019,36.39,37.05,36.39,37.13,0.0,0.0,442820
05/28/2019,37.14,36.7,36.65,37.21,0.0,0.0,355275
05/24/2019,36.59,37.19,36.59,37.35,0.0,0.0,323242
05/23/2019,36.7,36.33,35.99,36.825,0.0,0.0,380387
05/22/2019,37.42,37.06,36.99,37.42,0.0,0.0,244270
05/21/2019,37.01,37.5,36.84,37.57,0.0,0.0,279047
05/20/2019,36.83,36.98,36.83,37.51,0.0,0.0,337155
05/17/2019,36.52,36.93,36.52,37.36,0.0,0.0,1273356
05/16/2019,36.91,36.81,36.64,37.18,0.0,0.0,540341
05/15/2019,37.04,36.71,36.515,37.34,0.0,0.0,575681
05/14/2019,37.18,37.51,36.96,37.75,0.0,0.0,515732
05/13/2019,38.33,37.03,36.81,38.4,0.0,0.0,571323
05/10/2019,38.59,38.92,38.19,38.95,0.0,0.0,367287
05/09/2019,38.4,38.78,38.21,38.87,0.0,0.0,326901
05/08/2019,38.9,38.73,38.72,39.17,0.0,0.0,324674
05/07/2019,39.26,38.95,38.79,39.55,0.0,0.0,391961
05/06/2019,38.98,39.71,38.43,39.88,0.0,0.0,510178
05/03/2019,38.85,39.6,38.81,39.62,0.0,0.0,496252
05/02/2019,38.77,38.75,38.155,38.95,0.0,0.0,631924
05/01/2019,39.34,38.64,38.44,39.53,0.0,0.0,560164
04/30/2019,39.4,39.24,39.05,39.59,0.0,0.0,1098269
04/29/2019,39.46,39.35,39.09,39.72,0.0,0.0,611350
04/26/2019,38.8,39.32,38.51,39.34,0.0,0.0,590227
04/25/2019,38.61,38.96,37.98,38.99,0.0,0.0,556134
04/24/2019,38.6,38.8,38.19,38.95,0.0,0.0,603148
04/23/2019,37.95,38.79,37.73,38.93,0.0,0.0,421953
04/22/2019,38.24,37.93,37.672,38.3,0.0,0.0,227901
04/18/2019,38.59,38.25,38.14,38.86,0.0,0.0,333533
04/17/2019,38.85,38.79,38.32,38.89,0.0,0.0,250752
04/16/2019,38.23,38.79,37.9954,38.79,0.0,0.0,291418
