Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,9.38,9.38,9.35,9.41,0.0,0.0,63779
07/15/2019,9.47,9.39,9.34,9.47,0.0,0.0,43551
07/12/2019,9.38,9.45,9.38,9.5,0.0,0.0,101959
07/11/2019,9.44,9.42,9.38,9.44,0.0,0.0,71497
07/10/2019,9.47,9.43,9.41,9.47,0.0,0.0,61931
07/09/2019,9.38,9.45,9.33,9.45,0.0,0.0,62394
07/08/2019,9.52,9.42,9.42,9.56,0.0,0.0,37551
07/05/2019,9.44,9.59,9.43,9.6,0.0,0.0,46142
07/03/2019,9.52,9.44,9.42,9.52,0.0,0.0,25640
07/02/2019,9.57,9.43,9.38,9.5877,0.0,0.0,73296
07/01/2019,9.68,9.58,9.54,9.68,0.0,0.0,78792
06/28/2019,9.44,9.57,9.44,9.61,0.0,0.0,563055
06/27/2019,9.3,9.43,9.3,9.45,0.0,0.0,109901
06/26/2019,9.4,9.32,9.3,9.48,0.0,0.0,79508
06/25/2019,9.37,9.36,9.285,9.43,0.0,0.0,197367
06/24/2019,9.35,9.36,9.32,9.44,0.0,0.0,79626
06/21/2019,9.31,9.37,9.31,9.47,0.0,0.0,201212
06/20/2019,9.5,9.42,9.38,9.5,0.0,0.0,47714
06/19/2019,9.47,9.43,9.4,9.52,0.0,0.0,55010
06/18/2019,9.37,9.51,9.37,9.52,0.0,0.0,73224
06/17/2019,9.45,9.34,9.29,9.49,0.0,0.0,85497
06/14/2019,9.44,9.43,9.41,9.49,0.0,0.0,53896
06/13/2019,9.4,9.46,9.4,9.495,0.0,0.0,68991
06/12/2019,9.38,9.39,9.35,9.46,0.0,0.0,57313
06/11/2019,9.38,9.41,9.31,9.42,0.0,0.0,64656
06/10/2019,9.3,9.33,9.235,9.36,0.0,0.0,73760
06/07/2019,9.29,9.27,9.27,9.36,0.0,0.0,47189
06/06/2019,9.27,9.31,9.23,9.35,0.0,0.0,59912
06/05/2019,9.35,9.29,9.23,9.35,0.0,0.0,73733
06/04/2019,9.29,9.38,9.2,9.38,0.0,0.0,66975
06/03/2019,9.17,9.24,9.05,9.24,0.0,0.0,99161
05/31/2019,9.08,9.16,9.07,9.22,0.0,0.0,121683
05/30/2019,9.28,9.18,9.0704,9.3,0.0,0.0,90014
05/29/2019,9.19,9.25,9.13,9.31,0.0,0.0,91624
05/28/2019,9.24,9.25,9.21,9.33,0.0,0.0,93002
05/24/2019,9.15,9.27,9.12,9.3,0.0,0.0,113448
05/23/2019,9.14,9.07,9.01,9.19,0.0,0.0,71471
05/22/2019,9.35,9.25,9.19,9.39,0.0,0.0,90784
05/21/2019,9.34,9.34,9.29,9.41,0.0,0.0,140908
05/20/2019,9.22,9.29,9.22,9.32,0.0,0.0,75479
05/17/2019,9.27,9.27,9.25,9.4,0.0,0.0,66418
05/16/2019,9.21,9.32,9.21,9.34,0.0,0.0,79522
05/15/2019,9.12,9.18,9.09,9.2,0.0,0.0,77315
05/14/2019,9.11,9.21,9.06,9.25,0.0,0.0,89884
05/13/2019,9.26,9.1,9.08,9.3,0.0,0.0,86878
05/10/2019,9.29,9.34,9.25,9.35,0.0,0.0,73839
05/09/2019,9.14,9.27,9.14,9.31,0.0,0.0,67700
05/08/2019,9.25,9.22,9.22,9.32,0.0,0.0,75709
05/07/2019,9.32,9.23,9.185,9.32,0.0,0.0,109658
05/06/2019,9.26,9.38,9.16,9.41,0.0,0.0,142261
05/03/2019,9.33,9.35,9.3,9.36,0.0,0.0,126652
05/02/2019,9.2,9.27,9.2,9.2966,0.0,0.0,87797
05/01/2019,9.228,9.2,9.17,9.29,0.0,0.0,115413
04/30/2019,9.35,9.21,9.16,9.35,0.0,0.0,164066
04/29/2019,9.3,9.32,9.2975,9.4,0.0,0.0,114419
04/26/2019,9.1,9.31,9.1,9.33,0.0,0.0,88283
04/25/2019,9.32,9.12,9.1,9.36,0.0,0.0,129007
04/24/2019,9.44,9.3,9.2601,9.45,0.0,0.0,137412
04/23/2019,9.28,9.45,9.24,9.48,0.0,0.0,104448
04/22/2019,9.33,9.23,9.185,9.33,0.0,0.0,96141
04/18/2019,9.16,9.33,9.16,9.4,0.0,0.0,78177
04/17/2019,9.4,9.28,8.8038,9.4,0.0,0.0,107907
04/16/2019,9.44,9.4,9.33,9.45,0.0,0.0,51058
