Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,42.3,42.04,41.76,42.7075,0.0,0.0,78878
07/15/2019,43.39,42.34,41.76,44.75,0.0,0.0,82863
07/12/2019,42.28,43.19,42.28,43.66,0.0,0.0,73018
07/11/2019,41.91,42.16,41.455,42.49,0.0,0.0,82782
07/10/2019,41.2,41.96,40.82,42.05,0.0,0.0,78025
07/09/2019,39.6,40.94,39.54,40.99,0.0,0.0,58425
07/08/2019,40.63,39.88,39.81,40.86,0.0,0.0,66664
07/05/2019,40.22,40.87,39.71,41.17,0.0,0.0,56607
07/03/2019,41.29,40.36,40.06,41.29,0.0,0.0,32610
07/02/2019,40.62,40.92,39.95,41.115,0.0,0.0,65782
07/01/2019,41.32,40.65,39.95,42.55,0.0,0.0,93482
06/28/2019,39.21,41.02,39.19,41.29,0.0,0.0,495023
06/27/2019,38.93,39.29,38.815,39.35,0.0,0.0,100425
06/26/2019,38.67,38.53,37.86,38.73,0.0,0.0,78014
06/25/2019,39.81,38.4,38.22,39.81,0.0,0.0,86924
06/24/2019,41.19,39.58,39.44,41.69,0.0,0.0,77507
06/21/2019,41.5,41.35,40.44,42.07,0.0,0.0,202800
06/20/2019,43.5,41.53,41.5,43.5,0.0,0.0,136448
06/19/2019,42.69,42.78,41.73,42.835,0.0,0.0,208541
06/18/2019,41.84,42.55,41.43,42.65,0.0,0.0,59866
06/17/2019,41.29,41.38,40.905,41.68,0.0,0.0,88243
06/14/2019,41.05,41.11,40.41,41.4,0.0,0.0,52799
06/13/2019,41.48,41.05,40.34,41.48,0.0,0.0,88806
06/12/2019,40.2,41.07,39.98,41.12,0.0,0.0,121901
06/11/2019,41.78,40.43,40.15,41.78,0.0,0.0,92798
06/10/2019,42.16,41.67,39,43.02,0.0,0.0,133060
06/07/2019,36.79,36.62,35.72,37.05,0.0,0.0,132021
06/06/2019,37.13,36.54,35.5972,37.47,0.0,0.0,75285
06/05/2019,37.97,37.32,36.95,37.97,0.0,0.0,87195
06/04/2019,36.5,37.76,36.06,37.94,0.0,0.0,154233
06/03/2019,37.93,36.56,35.96,38.97,0.0,0.0,200631
05/31/2019,41.01,39.39,39.01,41.06,0.0,0.0,181611
05/30/2019,41.16,41.66,40.87,42.01,0.0,0.0,121881
05/29/2019,41.91,40.99,40.3101,41.99,0.0,0.0,136108
05/28/2019,41.44,42.3,41.44,43.35,0.0,0.0,87403
05/24/2019,41.91,41.48,41.26,42.13,0.0,0.0,205601
05/23/2019,41.97,41.57,40.7,42,0.0,0.0,51516
05/22/2019,42.45,42.38,41.735,42.83,0.0,0.0,235862
05/21/2019,42.14,42.62,42.14,42.8,0.0,0.0,244076
05/20/2019,41.77,42,41.5097,42.55,0.0,0.0,57866
05/17/2019,43.24,42.15,42.1,43.94,0.0,0.0,49894
05/16/2019,43.56,43.66,43.215,44,0.0,0.0,189707
05/15/2019,42.5,43.54,42.5,43.74,0.0,0.0,52657
05/14/2019,42.46,42.86,41.8601,43.17,0.0,0.0,141441
05/13/2019,42.5,42.24,42.05,42.82,0.0,0.0,125787
05/10/2019,43.72,43.37,42.54,43.72,0.0,0.0,166734
05/09/2019,43.96,43.82,42.94,44.12,0.0,0.0,74244
05/08/2019,44.29,44.16,43.8701,44.99,0.0,0.0,182152
05/07/2019,44.72,44.32,44.23,45.7,0.0,0.0,121121
05/06/2019,42.6,45.33,42.15,45.82,0.0,0.0,206091
05/03/2019,44.25,43.41,42.47,47.21,0.0,0.0,594178
05/02/2019,38.89,38.95,38.015,40.56,0.0,0.0,162793
05/01/2019,38.18,38.98,37.92,39.11,0.0,0.0,262450
04/30/2019,38.38,38.05,38.05,38.85,0.0,0.0,85409
04/29/2019,37.17,38.47,37.17,38.9,0.0,0.0,108784
04/26/2019,36.76,37.29,36.63,37.41,0.0,0.0,95959
04/25/2019,37.12,36.81,36.39,37.12,0.0,0.0,73825
04/24/2019,37.21,37.22,36.55,37.7558,0.0,0.0,95406
04/23/2019,36.83,37.44,36.83,37.83,0.0,0.0,180430
04/22/2019,37.46,36.72,36.3772,37.46,0.0,0.0,50523
04/18/2019,37.84,37.69,37.13,38.01,0.0,0.0,102059
04/17/2019,38.76,37.92,37.585,38.76,0.0,0.0,134021
04/16/2019,38.86,38.74,38.17,39.125,0.0,0.0,89604
