Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,40.63,40.8,40.53,41.27,0.0,0.0,32333
07/15/2019,40.38,40.51,40.2,40.7,0.0,0.0,20672
07/12/2019,40.24,40.49,40.1127,40.74,0.0,0.0,13252
07/11/2019,40.41,40.12,40.12,40.5,0.0,0.0,12497
07/10/2019,40.13,40.25,39.88,40.6262,0.0,0.0,14598
07/09/2019,40.64,40.15,40.12,41.16,0.0,0.0,16325
07/08/2019,41.42,40.69,40.54,41.61,0.0,0.0,21100
07/05/2019,41.11,41.83,40.82,41.83,0.0,0.0,10717
07/03/2019,40.81,41.25,40.7,41.37,0.0,0.0,11181
07/02/2019,41.34,40.7,40.5578,41.34,0.0,0.0,16515
07/01/2019,41.5,41.27,40.91,41.9388,0.0,0.0,23153
06/28/2019,40.76,41.61,40.38,42.05,0.0,0.0,97239
06/27/2019,40.08,40.63,39.2625,41.31,0.0,0.0,38067
06/26/2019,41.53,40.04,39.34,41.8,0.0,0.0,25138
06/25/2019,41.55,41.42,41.17,42.225,0.0,0.0,16434
06/24/2019,41.78,41.29,40.95,41.89,0.0,0.0,38044
06/21/2019,40.99,41.99,40.45,42.87,0.0,0.0,239004
06/20/2019,40.44,41.15,40.125,41.15,0.0,0.0,24807
06/19/2019,39.39,39.98,39.22,40.25,0.0,0.0,43823
06/18/2019,39.77,39.45,39.31,40.59,0.0,0.0,42945
06/17/2019,40.01,39.39,39.31,40.86,0.0,0.0,25603
06/14/2019,40.47,40.1,39.53,40.49,0.0,0.0,27844
06/13/2019,40.15,40.19,40.1,40.78,0.0,0.0,56398
06/12/2019,40,39.9,39.69,41.18,0.0,0.0,31436
06/11/2019,39.76,40.15,39.23,40.18,0.0,0.0,54509
06/10/2019,39.34,39.79,39.34,40,0.0,0.0,55166
06/07/2019,38.33,39.31,38.33,39.54,0.0,0.0,30279
06/06/2019,38.69,37.9,37.41,39.03,0.0,0.0,37224
06/05/2019,38.04,38.61,37.805,38.96,0.0,0.0,25555
06/04/2019,37.88,38.1,37.121,38.86,0.0,0.0,43473
06/03/2019,36.93,37.77,36.55,37.77,0.0,0.0,23193
05/31/2019,35.88,36.92,34.0457,37.59,0.0,0.0,32856
05/30/2019,37.0438,36.09,35.77,37.0438,0.0,0.0,14568
05/29/2019,36.72,36.41,36.2202,36.8299,0.0,0.0,15556
05/28/2019,37.38,36.93,36.55,37.78,0.0,0.0,37015
05/24/2019,37.93,37.29,36.27,37.93,0.0,0.0,28311
05/23/2019,38.2,38,37.62,38.205,0.0,0.0,9696
05/22/2019,38.5,38.3,37.82,38.83,0.0,0.0,13869
05/21/2019,38.14,38.48,38.08,38.83,0.0,0.0,22145
05/20/2019,38.27,38.18,38,38.5308,0.0,0.0,24610
05/17/2019,38.37,38.51,38.25,38.75,0.0,0.0,28055
05/16/2019,38.6,38.59,38.255,38.75,0.0,0.0,8011
05/15/2019,38.19,38.52,38,38.65,0.0,0.0,8172
05/14/2019,37.88,38.33,37.4743,38.35,0.0,0.0,19946
05/13/2019,37.12,37.8,36.6,38.01,0.0,0.0,22589
05/10/2019,37.07,37.38,36.95,37.5,0.0,0.0,10467
05/09/2019,36.92,37.24,36.465,37.42,0.0,0.0,11595
05/08/2019,36.88,37.1,36.5149,37.44,0.0,0.0,5765
05/07/2019,35.83,37,35.18,37.18,0.0,0.0,21273
05/06/2019,36.35,36.09,35.91,36.75,0.0,0.0,14930
05/03/2019,35.44,36.76,34.14,36.87,0.0,0.0,12514
05/02/2019,36.37,35.25,35.07,36.38,0.0,0.0,8224
05/01/2019,36.57,36.38,35.783,36.8,0.0,0.0,13741
04/30/2019,36.38,36.4,35.4788,36.8,0.0,0.0,14842
04/29/2019,36.17,36.4,35.855,36.99,0.0,0.0,11306
04/26/2019,35.77,36.16,35,36.17,0.0,0.0,4825
04/25/2019,36.47,35.86,35.78,36.47,0.0,0.0,12102
04/24/2019,36.59,36.48,36.15,36.75,0.0,0.0,19850
04/23/2019,36.67,36.5,35.75,36.67,0.0,0.0,17395
04/22/2019,36.59,36.5,35.9376,36.98,0.0,0.0,11184
04/18/2019,37.09,36.81,36.14,37.13,0.0,0.0,13985
04/17/2019,37.25,37.16,37,37.49,0.0,0.0,15445
04/16/2019,36.2,37.16,35.5813,37.2,0.0,0.0,17218
