Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,2.28,2.63,2.17,2.75,0.0,0.0,1328544
07/15/2019,2.27,2.28,2.21,2.39,0.0,0.0,80622
07/12/2019,2.34,2.27,2.24,2.34,0.0,0.0,30484
07/11/2019,2.41,2.35,2.265,2.53,0.0,0.0,73296
07/10/2019,2.52,2.4,2.32,2.76,0.0,0.0,101179
07/09/2019,2.48,2.5,2.399,2.59,0.0,0.0,157248
07/08/2019,2.54,2.48,2.41,2.84,0.0,0.0,145092
07/05/2019,2.2,2.4,2.13,2.45,0.0,0.0,100573
07/03/2019,2.13,2.23,1.8801,2.47,0.0,0.0,183273
07/02/2019,2.41,2.19,2.16,2.41,0.0,0.0,162623
07/01/2019,2.78,2.41,2.39,2.78,0.0,0.0,286780
06/28/2019,2.19,2.62,2.19,3.31,0.0,0.0,4133715
06/27/2019,2.24,2.19,2.16,2.28,0.0,0.0,147016
06/26/2019,2.32,2.24,2.1,2.32,0.0,0.0,122214
06/25/2019,2.43,2.32,2.28,2.43,0.0,0.0,142703
06/24/2019,2.45,2.44,2.29,2.51,0.0,0.0,89160
06/21/2019,2.42,2.39,2.33,2.52,0.0,0.0,114770
06/20/2019,2.57,2.45,2.35,2.63,0.0,0.0,122984
06/19/2019,2.74,2.53,2.46,2.74,0.0,0.0,142705
06/18/2019,2.59,2.7,2.52,2.75,0.0,0.0,65738
06/17/2019,2.45,2.59,2.43,2.65,0.0,0.0,116487
06/14/2019,2.74,2.43,2.41,2.8,0.0,0.0,75166
06/13/2019,2.74,2.83,2.55,2.89,0.0,0.0,47721
06/12/2019,2.8,2.71,2.6,2.81,0.0,0.0,91243
06/11/2019,3.14,2.74,2.73,3.1781,0.0,0.0,126774
06/10/2019,2.86,3.11,2.86,3.2,0.0,0.0,84647
06/07/2019,3.34,2.92,2.91,3.3444,0.0,0.0,130936
06/06/2019,3.22,3.32,3.11,3.49,0.0,0.0,174678
06/05/2019,3.42,3.29,3.17,3.5,0.0,0.0,64341
06/04/2019,3.51,3.4,3.28,3.65,0.0,0.0,203602
06/03/2019,3.08,3.48,3.08,3.5,0.0,0.0,70049
05/31/2019,3.33,3.12,3.04,3.5,0.0,0.0,63759
05/30/2019,3.38,3.42,3.23,3.55,0.0,0.0,257041
05/29/2019,3.23,3.34,3.11,3.44,0.0,0.0,83044
05/28/2019,3.4,3.27,3.215,3.4,0.0,0.0,56915
05/24/2019,3.31,3.29,3.22,3.58,0.0,0.0,44755
05/23/2019,3.48,3.31,3.14,3.48,0.0,0.0,60510
05/22/2019,3.43,3.48,3.35,3.58,0.0,0.0,76829
05/21/2019,3.44,3.43,3.395,3.62,0.0,0.0,116439
05/20/2019,3.37,3.46,3.32,3.58,0.0,0.0,114906
05/17/2019,3.4,3.38,3.15,3.41,0.0,0.0,92718
05/16/2019,3.31,3.45,3.19,3.68,0.0,0.0,100109
05/15/2019,3.15,3.26,3.04,3.32,0.0,0.0,63198
05/14/2019,3.09,3.16,3.09,3.21,0.0,0.0,52144
05/13/2019,3.3,3.21,3.03,3.46,0.0,0.0,95385
05/10/2019,3.31,3.43,3.25,3.4592,0.0,0.0,74819
05/09/2019,3.32,3.37,3.25,3.39,0.0,0.0,24977
05/08/2019,3.23,3.31,3.18,3.53,0.0,0.0,85071
05/07/2019,3.45,3.25,3.22,3.46,0.0,0.0,47053
05/06/2019,3.37,3.42,3.34,3.5,0.0,0.0,47927
05/03/2019,3.33,3.35,3.2105,3.35,0.0,0.0,22836
05/02/2019,3.26,3.28,3.225,3.3307,0.0,0.0,31365
05/01/2019,3.23,3.26,3.2227,3.38,0.0,0.0,35666
04/30/2019,3.6,3.24,3.1521,3.6163,0.0,0.0,81944
04/29/2019,3.57,3.61,3.48,3.65,0.0,0.0,49394
04/26/2019,3.48,3.56,3.46,3.58,0.0,0.0,62378
04/25/2019,3.51,3.51,3.45,3.61,0.0,0.0,31283
04/24/2019,3.67,3.52,3.48,3.67,0.0,0.0,42005
04/23/2019,3.62,3.62,3.52,3.66,0.0,0.0,53759
04/22/2019,3.52,3.58,3.445,3.63,0.0,0.0,45003
04/18/2019,3.52,3.6,3.495,3.67,0.0,0.0,63569
04/17/2019,3.78,3.56,3.3,3.78,0.0,0.0,82055
04/16/2019,3.86,3.77,3.71,3.94,0.0,0.0,49844
