Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,9.54,8.72,8.55,9.58,0.0,0.0,62842
07/15/2019,9.57,9.56,9.05,9.57,0.0,0.0,10921
07/12/2019,9.44,9.15,8.9,9.71,0.0,0.0,9722
07/11/2019,9.25,9.37,9.01,9.57,0.0,0.0,13343
07/10/2019,8.96,9.25,8.67,9.25,0.0,0.0,36133
07/09/2019,7.8,8.78,7.8,9.26,0.0,0.0,52439
07/08/2019,7.9,7.8,7.06,7.95,0.0,0.0,18395
07/05/2019,7.77,7.9,7.75,7.98,0.0,0.0,10357
07/03/2019,7.96,7.73,7.7,8.03,0.0,0.0,18873
07/02/2019,7.99,7.99,7.6,7.99,0.0,0.0,42137
07/01/2019,7.95,7.83,7.68,8.33,0.0,0.0,25646
06/28/2019,7.81,7.91,7.75,8.165,0.0,0.0,38915
06/27/2019,7.93,7.76,7.75,8.055,0.0,0.0,30692
06/26/2019,8.05,7.8,7.71,8.0708,0.0,0.0,19067
06/25/2019,8.2,7.99,7.86,8.2,0.0,0.0,88467
06/24/2019,8.41,7.99,7.92,8.41,0.0,0.0,41612
06/21/2019,8.1,8.24,7.7,8.36,0.0,0.0,159241
06/20/2019,8.25,8,7.7,8.5,0.0,0.0,97321
06/19/2019,8.08,8.19,7.8849,8.31,0.0,0.0,52760
06/18/2019,8.15,7.98,7.92,8.29,0.0,0.0,56427
06/17/2019,7.99,8.15,7.99,8.7,0.0,0.0,122592
06/14/2019,7.9,8.03,7.5651,8.11,0.0,0.0,53927
06/13/2019,8,7.55,7.5,8.424,0.0,0.0,505508
06/12/2019,8.83,8.04,7.94,8.9,0.0,0.0,125019
06/11/2019,8.75,8.8,8.35,8.95,0.0,0.0,86982
06/10/2019,8,8.51,7.86,8.68,0.0,0.0,150041
06/07/2019,7.6374,7.89,7.6374,8.1368,0.0,0.0,99256
06/06/2019,8.08,7.6,7.6,8.6107,0.0,0.0,75699
06/05/2019,7.75,7.94,7.413,8.3335,0.0,0.0,121043
06/04/2019,7.55,7.65,7.2252,7.73,0.0,0.0,52700
06/03/2019,7.74,7.48,7.32,7.82,0.0,0.0,20467
05/31/2019,7.7,7.7,7.345,7.84,0.0,0.0,18833
05/30/2019,7.94,7.7,7.6,9.03,0.0,0.0,71789
05/29/2019,7.5,7.5,7.32,7.69,0.0,0.0,15677
05/28/2019,7.67,7.31,7.31,7.7,0.0,0.0,14737
05/24/2019,7.664,7.62,7.62,7.75,0.0,0.0,8161
05/23/2019,7.638,7.6,7.6,8.08,0.0,0.0,11581
05/22/2019,8.43,7.64,7.5,8.4362,0.0,0.0,39728
05/21/2019,8.26,8.33,8.17,8.72,0.0,0.0,55460
05/20/2019,7.543,8.3,7.2,8.5,0.0,0.0,128424
05/17/2019,6.76,7.39,6.76,7.8507,0.0,0.0,84165
05/16/2019,6.77,6.75,6.45,7.02,0.0,0.0,25147
05/15/2019,6.89,6.71,6.63,7.0989,0.0,0.0,54764
05/14/2019,7.55,6.9,6.782,7.77,0.0,0.0,97869
05/13/2019,7.73,7.12,6.75,8.336,0.0,0.0,111166
05/10/2019,7.5396,7.71,7.5396,8.05,0.0,0.0,35249
05/09/2019,8.2,7.87,7.69,8.2717,0.0,0.0,29662
05/08/2019,8.16,8.32,8.01,8.32,0.0,0.0,5519
05/07/2019,8.19,8.2,8,8.24,0.0,0.0,13502
05/06/2019,8.09,8.25,8.09,10,0.0,0.0,21099
05/03/2019,8,8.04,8,8.5,0.0,0.0,4998
05/02/2019,7.89,8,7.89,8.45,0.0,0.0,17424
05/01/2019,7.47,7.99,7.4632,8.48,0.0,0.0,21075
04/30/2019,7.8,7.5,7.35,8.48,0.0,0.0,38441
04/29/2019,8.12,7.82,7.535,8.6763,0.0,0.0,27107
04/26/2019,8.5,8.05,7.895,8.5,0.0,0.0,26391
04/25/2019,8.3,8.35,8.0986,8.7,0.0,0.0,101704
04/24/2019,8.6,8.25,7.88,8.62,0.0,0.0,126487
04/23/2019,8.75,8.6,7.9519,8.75,0.0,0.0,7444
04/22/2019,8.14,8.23,7.76,8.4,0.0,0.0,19125
04/18/2019,8.34,8.05,8.0101,9.16,0.0,0.0,52487
04/17/2019,8.78,8.34,7.55,8.865,0.0,0.0,43720
04/16/2019,9.34,8.75,8.65,9.34,0.0,0.0,26643
