Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.02,1.03,0.99,1.05,0.0,0.0,69207
07/15/2019,1.06,1.02,1,1.06,0.0,0.0,97346
07/12/2019,1.09,1.05,1.04,1.09,0.0,0.0,74925
07/11/2019,1.1,1.08,1.04,1.1,0.0,0.0,90336
07/10/2019,1,1.07,0.99,1.08,0.0,0.0,68291
07/09/2019,1,1,0.9801,1,0.0,0.0,73061
07/08/2019,0.955,1,0.95,1.03,0.0,0.0,200385
07/05/2019,1.02,1.0069,0.98,1.02,0.0,0.0,160741
07/03/2019,1.04,1.05,1.0343,1.05,0.0,0.0,25018
07/02/2019,1.03,1.04,1.018,1.05,0.0,0.0,67062
07/01/2019,1.03,1.02,1.01,1.04,0.0,0.0,42722
06/28/2019,1.04,1.03,1.011,1.04,0.0,0.0,35681
06/27/2019,1.03,1.02,1.0121,1.05,0.0,0.0,55895
06/26/2019,1.03,1.04,1.01,1.07,0.0,0.0,142829
06/25/2019,1.06,1.04,1.04,1.08,0.0,0.0,80862
06/24/2019,1.03,1.05,1.03,1.08,0.0,0.0,147145
06/21/2019,1.07,1.06,1.0332,1.12,0.0,0.0,150117
06/20/2019,1.16,1.04,1.0103,1.16,0.0,0.0,316635
06/19/2019,1.14,1.14,1.1296,1.17,0.0,0.0,61675
06/18/2019,1.14,1.14,1.1251,1.17,0.0,0.0,23772
06/17/2019,1.13,1.14,1.13,1.1636,0.0,0.0,33748
06/14/2019,1.17,1.12,1.1121,1.18,0.0,0.0,21430
06/13/2019,1.12,1.143,1.0638,1.16,0.0,0.0,105790
06/12/2019,1.12,1.11,1.07,1.1414,0.0,0.0,34024
06/11/2019,1.13,1.12,1.04,1.16,0.0,0.0,80173
06/10/2019,1.11,1.17,1.0707,1.17,0.0,0.0,55353
06/07/2019,1.1,1.13,1.0916,1.14,0.0,0.0,69735
06/06/2019,1,1.11,1,1.14,0.0,0.0,219093
06/05/2019,1.2,1.01,1.01,1.2,0.0,0.0,356994
06/04/2019,1.32,1.2,1.14,1.32,0.0,0.0,160426
06/03/2019,1.35,1.2801,1.22,1.35,0.0,0.0,122285
05/31/2019,1.34,1.33,1.28,1.3591,0.0,0.0,72314
05/30/2019,1.36,1.32,1.27,1.38,0.0,0.0,66875
05/29/2019,1.38,1.36,1.35,1.39,0.0,0.0,42459
05/28/2019,1.4,1.38,1.35,1.4,0.0,0.0,105052
05/24/2019,1.39,1.39,1.35,1.39,0.0,0.0,52907
05/23/2019,1.4,1.38,1.34,1.4,0.0,0.0,68417
05/22/2019,1.39,1.36,1.341,1.39,0.0,0.0,74321
05/21/2019,1.53,1.41,1.34,1.53,0.0,0.0,225245
05/20/2019,1.41,1.41,1.3996,1.47,0.0,0.0,231636
05/17/2019,1.4,1.33,1.25,1.4,0.0,0.0,104493
05/16/2019,1.34,1.35,1.2812,1.36,0.0,0.0,83510
05/15/2019,1.36,1.2637,1.22,1.36,0.0,0.0,134154
05/14/2019,1.27,1.3234,1.266,1.49,0.0,0.0,436061
05/13/2019,1.2,1.26,1.19,1.27,0.0,0.0,180197
05/10/2019,1.18,1.1932,1.1402,1.2,0.0,0.0,88023
05/09/2019,1.18,1.17,1.15,1.2,0.0,0.0,31933
05/08/2019,1.17,1.18,1.13,1.2,0.0,0.0,73148
05/07/2019,1.15,1.17,1.13,1.17,0.0,0.0,19639
05/06/2019,1.15,1.14,1.1,1.18,0.0,0.0,50451
05/03/2019,1.1,1.13,1.0917,1.16,0.0,0.0,66720
05/02/2019,1.19,1.12,1.06,1.19,0.0,0.0,207020
05/01/2019,1.14,1.17,1.14,1.18,0.0,0.0,87620
04/30/2019,1.18,1.17,1.12,1.2,0.0,0.0,191142
04/29/2019,1.09,1.16,1.08,1.18,0.0,0.0,205598
04/26/2019,1.11,1.08,1.07,1.12,0.0,0.0,67348
04/25/2019,1.11,1.11,1.03,1.11,0.0,0.0,109176
04/24/2019,1.07,1.1,1.0681,1.13,0.0,0.0,122052
04/23/2019,1,1.07,1,1.07,0.0,0.0,119906
04/22/2019,1.05,1.06,1.02,1.07,0.0,0.0,115908
04/18/2019,1.02,1.0299,0.99,1.05,0.0,0.0,98591
04/17/2019,1.05,1.02,0.97,1.07,0.0,0.0,105059
04/16/2019,1.03,1.05,1.0027,1.0727,0.0,0.0,384866
