Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,25.91,25.9,25.88,26.13,0.0,0.0,86222
07/15/2019,26.18,25.89,25.81,26.31,0.0,0.0,135233
07/12/2019,26.12,26.33,25.96,26.42,0.0,0.0,62183
07/11/2019,25.81,26.06,25.81,26.11,0.0,0.0,67438
07/10/2019,26.18,25.87,25.79,26.18,0.0,0.0,55413
07/09/2019,25.87,26.16,25.7529,26.16,0.0,0.0,55563
07/08/2019,26.29,26.01,25.99,26.38,0.0,0.0,43094
07/05/2019,26.24,26.42,26.16,26.43,0.0,0.0,38814
07/03/2019,26.14,26.17,25.965,26.19,0.0,0.0,32594
07/02/2019,25.98,26.01,25.73,26.11,0.0,0.0,95379
07/01/2019,26.68,26.14,26.01,26.68,0.0,0.0,95467
06/28/2019,25.75,26.26,25.75,26.51,0.0,0.0,224536
06/27/2019,25.47,25.7,25.33,25.7,0.0,0.0,75961
06/26/2019,25.36,25.3,25.28,25.55,0.0,0.0,86100
06/25/2019,25.3,25.25,25.23,25.44,0.0,0.0,91752
06/24/2019,25.48,25.27,25.09,25.6,0.0,0.0,114929
06/21/2019,25.42,25.49,25.32,25.71,0.0,0.0,174442
06/20/2019,25.76,25.6,25.32,25.76,0.0,0.0,68075
06/19/2019,25.65,25.54,25.5,25.88,0.0,0.0,107416
06/18/2019,25.11,25.61,25.11,25.66,0.0,0.0,91299
06/17/2019,25.11,25.18,24.92,25.285,0.0,0.0,49956
06/14/2019,25.25,25.11,24.99,25.35,0.0,0.0,71830
06/13/2019,25.3,25.38,25.21,25.5,0.0,0.0,44818
06/12/2019,25.06,25.19,25,25.34,0.0,0.0,62367
06/11/2019,24.95,25.12,24.95,25.13,0.0,0.0,82920
06/10/2019,24.57,24.86,24.57,24.895,0.0,0.0,49297
06/07/2019,24.63,24.42,24.29,24.7,0.0,0.0,120072
06/06/2019,24.67,24.7,24.45,24.94,0.0,0.0,65925
06/05/2019,24.79,24.74,24.46,24.86,0.0,0.0,59717
06/04/2019,24.34,24.85,24.3,24.89,0.0,0.0,84236
06/03/2019,23.76,24.04,23.53,24.11,0.0,0.0,98380
05/31/2019,23.94,23.88,23.79,24.06,0.0,0.0,98942
05/30/2019,24.89,24.28,24.09,24.95,0.0,0.0,45832
05/29/2019,24.69,24.87,24.56,24.97,0.0,0.0,43460
05/28/2019,24.92,24.79,24.78,25,0.0,0.0,71992
05/24/2019,24.85,25.06,24.85,25.11,0.0,0.0,32149
05/23/2019,25.07,24.66,24.51,25.07,0.0,0.0,104924
05/22/2019,25.42,25.28,25.17,25.6,0.0,0.0,58697
05/21/2019,25.34,25.48,25.33,25.565,0.0,0.0,107461
05/20/2019,24.94,25.34,24.94,25.45,0.0,0.0,45522
05/17/2019,25.19,25.03,24.98,25.49,0.0,0.0,55949
05/16/2019,25.34,25.33,25.17,25.38,0.0,0.0,40954
05/15/2019,24.91,25,24.75,25,0.0,0.0,77064
05/14/2019,24.85,25.15,24.82,25.24,0.0,0.0,56292
05/13/2019,25.01,24.57,24.52,25.28,0.0,0.0,70479
05/10/2019,25.15,25.34,24.97,25.35,0.0,0.0,49004
05/09/2019,25.03,25.28,25,25.32,0.0,0.0,45754
05/08/2019,25.4,25.25,25.23,25.53,0.0,0.0,38876
05/07/2019,25.63,25.46,25.29,25.73,0.0,0.0,58274
05/06/2019,25.43,25.88,25.3,25.98,0.0,0.0,49162
05/03/2019,25.39,25.78,25.39,25.81,0.0,0.0,64566
05/02/2019,25.13,25.35,25.12,25.46,0.0,0.0,66022
05/01/2019,25.23,25.13,24.94,25.39,0.0,0.0,66619
04/30/2019,25.72,25.22,25.22,25.72,0.0,0.0,91871
04/29/2019,24.79,25.77,24.79,25.86,0.0,0.0,127100
04/26/2019,24.24,24.66,24.24,24.69,0.0,0.0,282253
04/25/2019,24.01,24.37,24.01,25.3212,0.0,0.0,87200
04/24/2019,24.7,24.81,24.51,24.99,0.0,0.0,213230
04/23/2019,24.26,24.69,24.24,24.84,0.0,0.0,86783
04/22/2019,24.8,24.36,24.21,24.8925,0.0,0.0,64857
04/18/2019,24.96,24.73,24.66,25.09,0.0,0.0,86147
04/17/2019,25.38,25.03,24.86,25.38,0.0,0.0,134627
04/16/2019,25.14,25.27,24.95,25.36,0.0,0.0,100227
