Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,25.76,25.95,25.63,26.15,0.0,0.0,214939
07/15/2019,26.13,25.76,25.465,26.13,0.0,0.0,230477
07/12/2019,25.67,26,25.52,26.18,0.0,0.0,258997
07/11/2019,25.49,25.61,25.235,25.68,0.0,0.0,192809
07/10/2019,25.88,25.5,25.39,26.01,0.0,0.0,149696
07/09/2019,25.56,25.84,25.3725,25.86,0.0,0.0,129581
07/08/2019,26.26,25.63,25.6,26.31,0.0,0.0,196112
07/05/2019,25.92,26.39,25.92,26.5,0.0,0.0,156089
07/03/2019,25.53,25.77,25.51,25.9,0.0,0.0,93908
07/02/2019,25.9,25.54,25.34,26.015,0.0,0.0,168225
07/01/2019,26.16,25.92,25.79,26.34,0.0,0.0,326806
06/28/2019,25.81,25.95,25.74,26.2,0.0,0.0,1521886
06/27/2019,25.42,25.67,25.42,25.8,0.0,0.0,191613
06/26/2019,25.4,25.42,25.08,25.69,0.0,0.0,201108
06/25/2019,25.05,25.48,24.75,25.6,0.0,0.0,290828
06/24/2019,25.59,25,24.96,25.85,0.0,0.0,227750
06/21/2019,25.6,25.69,25.29,25.9,0.0,0.0,334654
06/20/2019,26.28,25.72,25.41,26.28,0.0,0.0,339027
06/19/2019,26.09,26.04,26,26.535,0.0,0.0,361484
06/18/2019,26,26.2,26,26.62,0.0,0.0,306901
06/17/2019,26.2,25.99,25.93,26.6,0.0,0.0,271741
06/14/2019,25.99,26.19,25.84,26.36,0.0,0.0,139072
06/13/2019,26.06,25.98,25.81,26.24,0.0,0.0,120123
06/12/2019,26.21,25.93,25.9,26.24,0.0,0.0,139708
06/11/2019,26.31,26.25,26.05,26.52,0.0,0.0,238959
06/10/2019,25.9,26.08,25.9,26.39,0.0,0.0,154711
06/07/2019,25.62,25.88,25.47,25.99,0.0,0.0,138544
06/06/2019,25.93,25.73,25.355,26.19,0.0,0.0,220228
06/05/2019,26.21,25.96,25.82,26.315,0.0,0.0,187690
06/04/2019,25.9,26.28,25.62,26.32,0.0,0.0,174882
06/03/2019,25.24,25.63,25.24,25.8,0.0,0.0,407617
05/31/2019,25.53,25.43,25.27,25.695,0.0,0.0,221893
05/30/2019,26.16,25.83,25.61,26.32,0.0,0.0,236750
05/29/2019,25.72,26.15,25.63,26.215,0.0,0.0,250821
05/28/2019,26.09,25.95,25.88,26.35,0.0,0.0,302012
05/24/2019,25.73,26.24,25.72,26.3,0.0,0.0,232673
05/23/2019,25.99,25.56,25.3475,26.09,0.0,0.0,294330
05/22/2019,26.27,26.32,26.11,26.39,0.0,0.0,140370
05/21/2019,26.36,26.39,26.2,26.53,0.0,0.0,199233
05/20/2019,25.92,26.24,25.9,26.47,0.0,0.0,190074
05/17/2019,26.01,26.09,25.91,26.39,0.0,0.0,274372
05/16/2019,25.96,26.23,25.82,26.51,0.0,0.0,319854
05/15/2019,25.85,25.94,25.56,25.99,0.0,0.0,223146
05/14/2019,25.65,26.12,25.46,26.22,0.0,0.0,181551
05/13/2019,25.89,25.47,25.39,25.985,0.0,0.0,326872
05/10/2019,25.89,26.26,25.64,26.3,0.0,0.0,191251
05/09/2019,25.71,26.01,25.522,26.11,0.0,0.0,177721
05/08/2019,26.08,25.98,25.94,26.3,0.0,0.0,180274
05/07/2019,26.43,26.31,26.2,26.57,0.0,0.0,386509
05/06/2019,26.33,26.72,26.29,26.887,0.0,0.0,183120
05/03/2019,26.28,26.75,26.28,26.76,0.0,0.0,321184
05/02/2019,26.21,26.27,26.19,26.63,0.0,0.0,134419
05/01/2019,26.49,26.18,25.99,26.79,0.0,0.0,469449
04/30/2019,26.87,26.51,26.41,26.88,0.0,0.0,238452
04/29/2019,26.96,26.78,26.78,27.28,0.0,0.0,236146
04/26/2019,26.51,26.76,26.33,26.84,0.0,0.0,302607
04/25/2019,25.94,26.33,25.63,26.64,0.0,0.0,359356
04/24/2019,25.6,25.95,24.8,25.98,0.0,0.0,549513
04/23/2019,26.34,25.94,24.71,26.34,0.0,0.0,490439
04/22/2019,26.31,25.91,25.72,26.47,0.0,0.0,202271
04/18/2019,26.38,26.22,26.1,26.64,0.0,0.0,229379
04/17/2019,26.34,26.56,26.04,26.58,0.0,0.0,221248
04/16/2019,25.74,26.24,25.57,26.26,0.0,0.0,175596
