Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,19.71,19.45,19.33,19.73,0.0,0.0,249706
07/15/2019,19.95,19.6,19.3605,19.95,0.0,0.0,329680
07/12/2019,19.57,19.83,19.37,19.89,0.0,0.0,364596
07/11/2019,19.63,19.58,19.3,19.84,0.0,0.0,469231
07/10/2019,19.65,19.49,19.33,19.9,0.0,0.0,528510
07/09/2019,19.05,19.65,19.03,19.71,0.0,0.0,566095
07/08/2019,18.95,19.18,18.68,19.2,0.0,0.0,368181
07/05/2019,19.11,18.96,18.91,19.29,0.0,0.0,263853
07/03/2019,18.91,19.24,18.69,19.24,0.0,0.0,242878
07/02/2019,18.63,18.83,18.49,18.88,0.0,0.0,300371
07/01/2019,19.03,18.63,18.47,19.105,0.0,0.0,431719
06/28/2019,18.5,18.89,18.28,19,0.0,0.0,798571
06/27/2019,18.38,18.51,18.23,18.8,0.0,0.0,449516
06/26/2019,17.66,18.38,17.6,18.68,0.0,0.0,685462
06/25/2019,17.65,17.6,17.3,17.78,0.0,0.0,458568
06/24/2019,18.34,17.45,17.41,18.72,0.0,0.0,598388
06/21/2019,17.83,18.34,17.431,18.38,0.0,0.0,1112160
06/20/2019,17.72,17.87,17.5301,18.165,0.0,0.0,543576
06/19/2019,16.95,17.44,16.75,17.69,0.0,0.0,561698
06/18/2019,16.61,16.81,16.58,17.08,0.0,0.0,571473
06/17/2019,16.23,16.51,16.1214,16.77,0.0,0.0,468722
06/14/2019,16.5,16.04,16.01,16.69,0.0,0.0,498343
06/13/2019,15.91,16.53,15.72,16.59,0.0,0.0,647028
06/12/2019,15.04,15.84,15.04,16,0.0,0.0,442149
06/11/2019,15.33,15.01,14.91,15.52,0.0,0.0,490135
06/10/2019,15.85,15.26,15.18,15.94,0.0,0.0,540769
06/07/2019,15.44,15.8,15.25,15.89,0.0,0.0,348740
06/06/2019,16.47,15.3,15.24,16.57,0.0,0.0,554418
06/05/2019,16.71,16.48,16.27,16.97,0.0,0.0,559912
06/04/2019,16.15,16.58,16.1041,16.62,0.0,0.0,596378
06/03/2019,15.7,16.04,15.7,16.07,0.0,0.0,727800
05/31/2019,15.16,15.65,15.15,15.8,0.0,0.0,450891
05/30/2019,15.92,15.59,15.46,16.1,0.0,0.0,530588
05/29/2019,16.15,15.92,15.65,16.18,0.0,0.0,627650
05/28/2019,15.75,16.3,15.665,16.37,0.0,0.0,523420
05/24/2019,15.53,15.77,15.33,15.86,0.0,0.0,344600
05/23/2019,15.55,15.48,15.13,15.8,0.0,0.0,827223
05/22/2019,15.78,15.71,15.5,15.99,0.0,0.0,450757
05/21/2019,15.86,15.78,15.56,16.23,0.0,0.0,795286
05/20/2019,16.15,15.96,15.87,16.315,0.0,0.0,965935
05/17/2019,16.73,16.36,16.35,16.97,0.0,0.0,365713
05/16/2019,17.12,16.86,16.82,17.65,0.0,0.0,413782
05/15/2019,16.68,17.04,16.58,17.1,0.0,0.0,303576
05/14/2019,16.92,16.85,16.78,17.12,0.0,0.0,437884
05/13/2019,17.33,16.7,16.56,17.33,0.0,0.0,725641
05/10/2019,17.79,17.74,17.28,18.23,0.0,0.0,548572
05/09/2019,17.79,17.93,17.52,18.01,0.0,0.0,430872
05/08/2019,17.2,17.94,17.11,18.14,0.0,0.0,578131
05/07/2019,17.22,17.3,16.56,18.05,0.0,0.0,1933582
05/06/2019,17.25,18.4,17,18.41,0.0,0.0,1089491
05/03/2019,16.79,17.65,16.77,17.67,0.0,0.0,506020
05/02/2019,16.65,16.78,16.26,17.055,0.0,0.0,517627
05/01/2019,17.06,16.62,16.6,17.22,0.0,0.0,595743
04/30/2019,17.84,16.99,16.84,18.02,0.0,0.0,760284
04/29/2019,17.92,17.98,17.85,18.11,0.0,0.0,345981
04/26/2019,17.6,17.82,17.35,17.83,0.0,0.0,307698
04/25/2019,17.75,17.6,17.27,17.8,0.0,0.0,374236
04/24/2019,17.88,17.61,17.61,18.1,0.0,0.0,494245
04/23/2019,16.8,17.81,16.78,17.87,0.0,0.0,624217
04/22/2019,16.63,16.76,16.46,17.21,0.0,0.0,457827
04/18/2019,16.23,16.63,16.1501,16.98,0.0,0.0,570240
04/17/2019,18.55,16.26,16.2,18.55,0.0,0.0,1258823
04/16/2019,18.59,18.52,18.32,18.7,0.0,0.0,392379
