Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,7.96,8.06,7.8353,8.15,0.0,0.0,222220
07/15/2019,8.12,8.01,7.75,8.17,0.0,0.0,457436
07/12/2019,7.87,8.12,7.65,8.145,0.0,0.0,371016
07/11/2019,7.64,7.94,7.5,7.98,0.0,0.0,232739
07/10/2019,7.65,7.72,7.575,7.89,0.0,0.0,282778
07/09/2019,7.7,7.62,7.43,7.73,0.0,0.0,303138
07/08/2019,8.1,7.7,7.66,8.16,0.0,0.0,356664
07/05/2019,8.28,8.17,8.05,8.33,0.0,0.0,159384
07/03/2019,8.41,8.23,8.165,8.41,0.0,0.0,126220
07/02/2019,8.38,8.4,8.16,8.4003,0.0,0.0,196837
07/01/2019,8.51,8.36,8.29,8.72,0.0,0.0,337074
06/28/2019,8.09,8.36,7.7565,8.79,0.0,0.0,1417455
06/27/2019,8.15,7.98,7.905,8.21,0.0,0.0,258001
06/26/2019,8.09,8.04,7.9484,8.44,0.0,0.0,341444
06/25/2019,8.33,7.91,7.89,8.4286,0.0,0.0,230935
06/24/2019,8.7,8.34,8.27,8.7,0.0,0.0,274039
06/21/2019,8.33,8.66,8.13,8.79,0.0,0.0,442584
06/20/2019,8.63,8.34,8.21,8.75,0.0,0.0,274726
06/19/2019,8.18,8.46,8.0121,8.94,0.0,0.0,412030
06/18/2019,8.37,8.23,7.9,8.45,0.0,0.0,535333
06/17/2019,7.48,8.13,7.37,8.43,0.0,0.0,688048
06/14/2019,7.58,7.49,7.37,7.69,0.0,0.0,440953
06/13/2019,8.16,7.68,7.55,8.169,0.0,0.0,522899
06/12/2019,8.42,8.15,7.8,8.42,0.0,0.0,402482
06/11/2019,8.34,8.57,8.1,8.59,0.0,0.0,283020
06/10/2019,8.73,8.27,8.09,8.89,0.0,0.0,379936
06/07/2019,8.32,8.6,8.26,8.79,0.0,0.0,318837
06/06/2019,8.77,8.32,7.72,8.85,0.0,0.0,593019
06/05/2019,9.29,8.78,8.58,9.35,0.0,0.0,507604
06/04/2019,8.94,9.26,8.5,9.34,0.0,0.0,534771
06/03/2019,8.97,8.81,8.56,9.07,0.0,0.0,497938
05/31/2019,9.64,8.84,8.7,9.7,0.0,0.0,915473
05/30/2019,8.7,9.88,8.61,9.98,0.0,0.0,908957
05/29/2019,8.47,8.57,8.2,8.68,0.0,0.0,439673
05/28/2019,8.74,8.64,8.3,8.83,0.0,0.0,359589
05/24/2019,9.04,8.78,8.61,9.09,0.0,0.0,315057
05/23/2019,9.3,8.78,8.56,9.314,0.0,0.0,649283
05/22/2019,8.63,9.56,8.63,9.68,0.0,0.0,1270659
05/21/2019,8.15,8.61,7.815,8.72,0.0,0.0,557463
05/20/2019,8.13,7.97,7.6,8.23,0.0,0.0,491368
05/17/2019,7.99,8.2,7.9406,8.8,0.0,0.0,593053
05/16/2019,8.3,8.04,7.9,9.16,0.0,0.0,991757
05/15/2019,7.06,8.47,7.03,8.64,0.0,0.0,1384767
05/14/2019,6.95,7.07,6.8,7.2899,0.0,0.0,356273
05/13/2019,6.9,6.9,6.64,7.04,0.0,0.0,420558
05/10/2019,7.18,7.33,6.9481,7.55,0.0,0.0,759660
05/09/2019,6.35,7.15,6.15,7.3,0.0,0.0,1070662
05/08/2019,6.09,6.19,5.93,6.26,0.0,0.0,221304
05/07/2019,6.38,6.11,5.81,6.41,0.0,0.0,268069
05/06/2019,6.1,6.41,5.91,6.43,0.0,0.0,186116
05/03/2019,5.97,6.16,5.97,6.36,0.0,0.0,293738
05/02/2019,6.07,5.97,5.89,6.18,0.0,0.0,210565
05/01/2019,6.17,6.11,5.92,6.17,0.0,0.0,124332
04/30/2019,6.2,6.19,5.9739,6.2511,0.0,0.0,148290
04/29/2019,6.27,6.2,6.05,6.366,0.0,0.0,122104
04/26/2019,5.91,6.27,5.9,6.3,0.0,0.0,184855
04/25/2019,6.5,5.99,5.9,6.5135,0.0,0.0,402739
04/24/2019,5.7,6.3,5.6601,6.37,0.0,0.0,441484
04/23/2019,5.7,5.71,5.5,5.8,0.0,0.0,320880
04/22/2019,5.9,5.69,5.65,5.9,0.0,0.0,229449
04/18/2019,5.98,5.91,5.81,6.1,0.0,0.0,199420
04/17/2019,6.5,6.03,5.91,6.5377,0.0,0.0,461343
04/16/2019,6.27,6.41,6.17,6.41,0.0,0.0,175505
