Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,8.87,8.87,8.81,9.01,0.0,0.0,22348
07/15/2019,9,8.95,8.91,9.3249,0.0,0.0,33433
07/12/2019,8.71,8.99,8.51,9.06,0.0,0.0,47276
07/11/2019,8.87,8.61,8.5,8.87,0.0,0.0,54547
07/10/2019,9.16,8.79,8.5,9.22,0.0,0.0,79649
07/09/2019,9,9.06,8.7005,9.27,0.0,0.0,168709
07/08/2019,9.01,9.05,8.88,9.17,0.0,0.0,149396
07/05/2019,8.93,9.03,8.8676,9.22,0.0,0.0,70852
07/03/2019,8.92,8.98,8.84,9.5,0.0,0.0,189329
07/02/2019,8.54,8.8,8.54,9,0.0,0.0,74967
07/01/2019,8.32,8.62,8.28,8.7,0.0,0.0,115412
06/28/2019,8.07,8.11,7.96,8.28,0.0,0.0,58368
06/27/2019,7.94,8,7.91,8.19,0.0,0.0,50599
06/26/2019,8.24,7.89,7.52,8.38,0.0,0.0,267170
06/25/2019,8.43,8.17,8.09,8.55,0.0,0.0,143340
06/24/2019,8.85,8.49,8.35,8.85,0.0,0.0,114556
06/21/2019,8.91,8.78,8.5355,8.92,0.0,0.0,61887
06/20/2019,8.61,8.82,8.43,9,0.0,0.0,210250
06/19/2019,8.5,8.45,8.4,8.62,0.0,0.0,108732
06/18/2019,8.35,8.47,8.3,8.52,0.0,0.0,148027
06/17/2019,8.41,8.28,8.12,8.52,0.0,0.0,98071
06/14/2019,8.51,8.45,8.4,8.73,0.0,0.0,161479
06/13/2019,8.38,8.57,8.12,8.64,0.0,0.0,71231
06/12/2019,8.7,8.36,8.05,8.7,0.0,0.0,68715
06/11/2019,8.94,8.64,8.1,9.1,0.0,0.0,215424
06/10/2019,8.92,8.7,8.49,9,0.0,0.0,194682
06/07/2019,8.72,8.88,8.25,8.95,0.0,0.0,156693
06/06/2019,9.05,8.7,8.3913,9.12,0.0,0.0,71446
06/05/2019,8.66,8.99,8.66,9.27,0.0,0.0,428216
06/04/2019,8.5,8.7,8.2972,8.79,0.0,0.0,89117
06/03/2019,8.56,8.47,8.32,8.59,0.0,0.0,68823
05/31/2019,8.46,8.45,8.27,8.56,0.0,0.0,61785
05/30/2019,8.58,8.57,8.17,8.96,0.0,0.0,82252
05/29/2019,8.54,8.59,8.16,8.88,0.0,0.0,61115
05/28/2019,8.66,8.52,8.4335,8.75,0.0,0.0,108304
05/24/2019,7.98,8.58,7.98,8.7545,0.0,0.0,187298
05/23/2019,8.4,7.93,7.6481,8.51,0.0,0.0,680788
05/22/2019,8.92,8.48,8.2812,8.99,0.0,0.0,81939
05/21/2019,8.77,8.89,8.74,9.08,0.0,0.0,100009
05/20/2019,8.62,8.79,8.51,8.95,0.0,0.0,58307
05/17/2019,9.15,8.71,8.44,9.23,0.0,0.0,214763
05/16/2019,9.97,9.24,9.15,9.97,0.0,0.0,114207
05/15/2019,9.38,9.61,9.38,9.7964,0.0,0.0,177468
05/14/2019,9.32,9.38,9.1,9.75,0.0,0.0,159793
05/13/2019,9.56,9.18,9.01,9.6138,0.0,0.0,131749
05/10/2019,10.06,9.65,9.61,10.25,0.0,0.0,216442
05/09/2019,10.23,10.01,9.6,10.29,0.0,0.0,236993
05/08/2019,10.16,10.5,10.06,10.7,0.0,0.0,188210
05/07/2019,11.64,10.09,10,11.64,0.0,0.0,361983
05/06/2019,11,11.66,10.77,11.95,0.0,0.0,186688
05/03/2019,13.76,12,11.26,14.028,0.0,0.0,485268
05/02/2019,14.22,13.74,13.6,14.44,0.0,0.0,121782
05/01/2019,13.88,14.36,13.6,14.75,0.0,0.0,195192
04/30/2019,14.5,13.77,13.6,14.73,0.0,0.0,606994
04/29/2019,14.92,14.5,14.25,15.09,0.0,0.0,342115
04/26/2019,13.55,14.74,13.23,14.84,0.0,0.0,978665
04/25/2019,13.5,13.51,13.45,13.74,0.0,0.0,158669
04/24/2019,13.71,13.59,13.37,14.056,0.0,0.0,112760
04/23/2019,14.31,13.6,13.5,14.51,0.0,0.0,724529
04/22/2019,15.1,15,14.241,15.15,0.0,0.0,194270
04/18/2019,13.24,15.25,13.24,15.84,0.0,0.0,562482
04/17/2019,13.55,13.22,12.57,13.8055,0.0,0.0,376826
04/16/2019,12,13.49,11.6801,13.84,0.0,0.0,1158262
