Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.46,1.39,1.31,1.46,0.0,0.0,2338819
07/15/2019,1.68,1.46,1.42,1.68,0.0,0.0,3146754
07/12/2019,1.77,1.61,1.6,1.77,0.0,0.0,2507521
07/11/2019,3.43,1.8,1.76,3.44,0.0,0.0,8907792
07/10/2019,6.58,4.1,4,8,0.0,0.0,36612210
07/09/2019,1.57,1.65,1.57,1.67,0.0,0.0,58480
07/08/2019,1.63,1.59,1.55,1.6481,0.0,0.0,45439
07/05/2019,1.56,1.6,1.55,1.67,0.0,0.0,36841
07/03/2019,1.58,1.565,1.53,1.6,0.0,0.0,15036
07/02/2019,1.66,1.6,1.53,1.6866,0.0,0.0,61860
07/01/2019,1.662,1.67,1.61,1.76,0.0,0.0,72527
06/28/2019,1.65,1.6,1.56,1.679,0.0,0.0,28000
06/27/2019,1.59,1.62,1.55,1.65,0.0,0.0,24773
06/26/2019,1.68,1.61,1.53,1.7,0.0,0.0,155968
06/25/2019,1.49,1.71,1.44,2.32,0.0,0.0,2523736
06/24/2019,1.58,1.48,1.48,1.69,0.0,0.0,83026
06/21/2019,1.58,1.64,1.52,1.64,0.0,0.0,83142
06/20/2019,1.65,1.63,1.56,1.7,0.0,0.0,65928
06/19/2019,1.82,1.67,1.58,1.83,0.0,0.0,133814
06/18/2019,1.91,1.79,1.62,1.94,0.0,0.0,556958
06/17/2019,1.4739,2.15,1.4739,3.57,0.0,0.0,6894628
06/14/2019,1.55,1.53,1.41,1.63,0.0,0.0,9259
06/13/2019,1.53,1.55,1.53,1.69,0.0,0.0,10150
06/12/2019,1.62,1.6,1.57,1.6744,0.0,0.0,20509
06/11/2019,1.64,1.6,1.6,1.8,0.0,0.0,26433
06/10/2019,1.73,1.67,1.56,1.76,0.0,0.0,32025
06/07/2019,1.81,1.74,1.74,2.0203,0.0,0.0,16027
06/06/2019,2.32,1.81,1.806,2.32,0.0,0.0,58348
06/05/2019,2.3,2.25,2.1005,2.3,0.0,0.0,47892
06/04/2019,2.39,2.32,2.05,2.55,0.0,0.0,396290
06/03/2019,1.62,2.97,1.3803,3.74,0.0,0.0,1146599
05/31/2019,1.55,1.65,1.34,1.65,0.0,0.0,55848
05/30/2019,1.66,1.56,1.56,1.66,0.0,0.0,6342
05/29/2019,1.6165,1.5501,1.54,1.6873,0.0,0.0,30196
05/28/2019,1.726,1.65,1.65,1.86,0.0,0.0,167715
05/24/2019,1.54,1.65,1.5023,1.86,0.0,0.0,101252
05/23/2019,1.54,1.57,1.4925,1.68,0.0,0.0,26570
05/22/2019,1.42,1.5212,1.35,1.5969,0.0,0.0,48746
05/21/2019,1.79,1.4,1.4,1.79,0.0,0.0,51062
05/20/2019,1.66,1.49,1.26,1.66,0.0,0.0,109785
05/17/2019,1.56,1.62,1.56,1.91,0.0,0.0,57061
05/16/2019,2.09,1.66,1.45,2.1699,0.0,0.0,140099
05/15/2019,2.3,2.28,2.28,2.3299,0.0,0.0,10411
05/14/2019,2.75,2.36,2.1494,2.75,0.0,0.0,39990
05/13/2019,2.44,2.75,2.3003,3.1845,0.0,0.0,30850
05/10/2019,2.798,2.435,2.22,2.798,0.0,0.0,22802
05/09/2019,2.75,2.7873,2.675,2.8,0.0,0.0,5343
05/08/2019,2.8,2.751,2.751,2.8,0.0,0.0,6506
05/07/2019,3,2.9,2.875,3,0.0,0.0,6826
05/06/2019,3.1,3.055,3.055,3.1,0.0,0.0,2556
05/03/2019,3.1,3.083,3.05,3.18,0.0,0.0,1332
05/02/2019,3.2,3.028,3,3.285,0.0,0.0,5212
05/01/2019,3.1975,3.2025,3.15,3.29,0.0,0.0,1138
04/30/2019,3.3,3.151,3.1,3.4,0.0,0.0,6765
04/29/2019,3.385,3.2729,3.1,3.5,0.0,0.0,5316
04/26/2019,3.22,3.385,3.2,3.385,0.0,0.0,1046
04/25/2019,3.4,3.2867,3.18,3.75,0.0,0.0,26219
04/24/2019,3.328,3.2,3.2,3.399,0.0,0.0,1702
04/23/2019,3.3,3.228,3.2,3.3,0.0,0.0,3470
04/22/2019,3.2,3.25,3.101,3.4,0.0,0.0,7630
04/18/2019,3.3,3.3,3.1,3.3,0.0,0.0,4944
04/17/2019,3.218,3.2,3.15,3.3,0.0,0.0,3998
04/16/2019,3.2,3.218,3.2,3.299,0.0,0.0,2460
