Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.72,10.78,10.62,10.83,0.0,0.0,1316879
07/15/2019,10.9,10.69,10.645,10.96,0.0,0.0,1184607
07/12/2019,10.79,10.89,10.63,10.925,0.0,0.0,1218711
07/11/2019,10.74,10.73,10.62,10.8,0.0,0.0,1622556
07/10/2019,10.84,10.69,10.67,10.88,0.0,0.0,1335351
07/09/2019,10.7,10.81,10.64,10.81,0.0,0.0,1212989
07/08/2019,10.82,10.73,10.63,10.85,0.0,0.0,1316875
07/05/2019,10.89,10.9,10.79,10.94,0.0,0.0,910170
07/03/2019,10.85,10.8,10.74,10.89,0.0,0.0,1779631
07/02/2019,10.79,10.72,10.625,10.84,0.0,0.0,1975254
07/01/2019,10.91,10.83,10.79,11.03,0.0,0.0,3151525
06/28/2019,10.56,10.78,10.47,10.86,0.0,0.0,5038696
06/27/2019,10.17,10.49,10.12,10.53,0.0,0.0,4893060
06/26/2019,10.15,10.12,9.96,10.23,0.0,0.0,10695420
06/25/2019,10.22,10.18,10.08,10.22,0.0,0.0,1445800
06/24/2019,10.33,10.19,10.19,10.395,0.0,0.0,965721
06/21/2019,10.28,10.33,10.22,10.42,0.0,0.0,3573288
06/20/2019,10.47,10.34,10.18,10.47,0.0,0.0,1563425
06/19/2019,10.44,10.39,10.37,10.58,0.0,0.0,2086336
06/18/2019,10.17,10.4,10.1,10.43,0.0,0.0,1750118
06/17/2019,10.38,10.15,10.1,10.38,0.0,0.0,1683222
06/14/2019,10.36,10.37,10.23,10.42,0.0,0.0,1488480
06/13/2019,10.42,10.35,10.28,10.45,0.0,0.0,1245082
06/12/2019,10.42,10.46,10.34,10.52,0.0,0.0,2369025
06/11/2019,10.41,10.43,10.35,10.53,0.0,0.0,2196289
06/10/2019,10.31,10.33,10.29,10.43,0.0,0.0,988377
06/07/2019,10.21,10.21,10.11,10.25,0.0,0.0,851814
06/06/2019,10.18,10.23,10.08,10.27,0.0,0.0,807406
06/05/2019,10.27,10.22,10.09,10.29,0.0,0.0,894891
06/04/2019,10.08,10.28,10.02,10.28,0.0,0.0,1165930
06/03/2019,9.82,9.91,9.79,9.99,0.0,0.0,1121562
05/31/2019,9.89,9.82,9.77,9.93,0.0,0.0,1684914
05/30/2019,10.3,10,9.94,10.36,0.0,0.0,1333345
05/29/2019,10.07,10.28,10.01,10.3,0.0,0.0,1628075
05/28/2019,10.19,10.12,10.1,10.24,0.0,0.0,1350405
05/24/2019,10.07,10.19,10.05,10.2,0.0,0.0,957082
05/23/2019,10.06,9.99,9.905,10.08,0.0,0.0,1648468
05/22/2019,10.23,10.18,10.12,10.27,0.0,0.0,625874
05/21/2019,10.25,10.28,10.22,10.33,0.0,0.0,696606
05/20/2019,10.21,10.19,10.13,10.3,0.0,0.0,772423
05/17/2019,10.2,10.24,10.17,10.38,0.0,0.0,1072139
05/16/2019,10.28,10.29,10.205,10.38,0.0,0.0,1572307
05/15/2019,10.21,10.19,10.06,10.25,0.0,0.0,1648670
05/14/2019,10.2,10.28,10.09,10.365,0.0,0.0,1294533
05/13/2019,10.29,10.14,10.07,10.335,0.0,0.0,1441770
05/10/2019,10.37,10.47,10.28,10.5,0.0,0.0,1333242
05/09/2019,10.31,10.38,9.76,10.43,0.0,0.0,1198334
05/08/2019,10.5,10.41,10.4,10.58,0.0,0.0,1060469
05/07/2019,10.55,10.5,10.42,10.62,0.0,0.0,1122148
05/06/2019,10.48,10.66,10.43,10.68,0.0,0.0,1771985
05/03/2019,10.51,10.65,10.4571,10.67,0.0,0.0,1301083
05/02/2019,10.31,10.44,10.26,10.45,0.0,0.0,1254936
05/01/2019,10.5,10.27,10.2,10.55,0.0,0.0,1506372
04/30/2019,10.49,10.48,10.39,10.56,0.0,0.0,1956696
04/29/2019,10.36,10.47,10.35,10.57,0.0,0.0,1490752
04/26/2019,10,10.38,10,10.43,0.0,0.0,3256101
04/25/2019,10.33,9.96,9.77,10.335,0.0,0.0,3872189
04/24/2019,10.3,10.35,10.215,10.4,0.0,0.0,1566327
04/23/2019,10.1,10.37,10.08,10.37,0.0,0.0,1393820
04/22/2019,10.28,10.08,10.05,10.29,0.0,0.0,934934
04/18/2019,10.39,10.26,10.245,10.45,0.0,0.0,1765115
04/17/2019,10.45,10.43,10.33,10.46,0.0,0.0,812570
04/16/2019,10.19,10.39,10.15,10.4,0.0,0.0,1415066
