Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,55.35,55.22,54.86,55.62,0.0,0.0,282919
07/15/2019,55.04,55.53,54.76,55.55,0.0,0.0,314082
07/12/2019,54.76,55.09,54.5,55.21,0.0,0.0,243171
07/11/2019,54.68,54.48,54.01,55,0.0,0.0,332349
07/10/2019,54.59,54.68,54.37,55.255,0.0,0.0,289755
07/09/2019,54.1,54.25,53.7815,54.825,0.0,0.0,492116
07/08/2019,55.04,54.36,53.7,55.291,0.0,0.0,367870
07/05/2019,55.1,55.34,54.32,55.4264,0.0,0.0,255591
07/03/2019,55,55.41,54.86,55.58,0.0,0.0,299686
07/02/2019,54.28,54.69,53.93,54.785,0.0,0.0,388681
07/01/2019,54.4,54.26,53.675,54.94,0.0,0.0,368243
06/28/2019,53.34,53.78,53.12,53.88,0.0,0.0,2724423
06/27/2019,53.13,53.35,52.7753,53.59,0.0,0.0,872496
06/26/2019,54.8,52.9,52.86,54.91,0.0,0.0,474508
06/25/2019,54.43,54.51,54.13,55.06,0.0,0.0,660582
06/24/2019,54.99,54.35,54.24,55.385,0.0,0.0,415844
06/21/2019,54.91,55.36,54.4936,55.64,0.0,0.0,839372
06/20/2019,55.49,55.11,54.93,55.93,0.0,0.0,441095
06/19/2019,54.52,55.26,54.22,55.38,0.0,0.0,562672
06/18/2019,54.92,54.57,54.49,55.96,0.0,0.0,524715
06/17/2019,55.91,54.8,54.74,56.11,0.0,0.0,525965
06/14/2019,56.28,56.01,55.44,56.33,0.0,0.0,448536
06/13/2019,56.37,56.55,55.8088,57.02,0.0,0.0,1023073
06/12/2019,56.66,56.22,55.95,56.97,0.0,0.0,421864
06/11/2019,57.5,56.87,56.44,57.5,0.0,0.0,509416
06/10/2019,56.99,56.94,56.65,57.4,0.0,0.0,540119
06/07/2019,56.96,56.63,56.39,57.37,0.0,0.0,465674
06/06/2019,56.9,56.79,56.33,57.09,0.0,0.0,335669
06/05/2019,57.32,57.09,56.45,58,0.0,0.0,433946
06/04/2019,56.87,56.96,56.08,56.98,0.0,0.0,786332
06/03/2019,56.22,56.1,55.56,57.56,0.0,0.0,654563
05/31/2019,56.44,56.75,55.6845,57.04,0.0,0.0,832033
05/30/2019,59.46,57.02,55.93,59.98,0.0,0.0,1441321
05/29/2019,57.36,57.46,56.73,57.89,0.0,0.0,1004188
05/28/2019,56.43,57.64,56.43,58.26,0.0,0.0,800806
05/24/2019,55.57,56.19,54.99,56.2928,0.0,0.0,764344
05/23/2019,57.5,55.49,54.56,58.025,0.0,0.0,4295283
05/22/2019,61.23,61.17,61.05,61.85,0.0,0.0,772240
05/21/2019,62.84,61.33,60.98,62.84,0.0,0.0,1179829
05/20/2019,60.93,60.83,59.97,61.22,0.0,0.0,476884
05/17/2019,61.61,61.26,60.89,62.12,0.0,0.0,262834
05/16/2019,60.96,62.24,60.79,62.59,0.0,0.0,516452
05/15/2019,60.65,60.57,60.22,61.03,0.0,0.0,422926
05/14/2019,60.23,61.16,60.23,61.54,0.0,0.0,388186
05/13/2019,60.32,59.88,59.7,60.665,0.0,0.0,421386
05/10/2019,61.02,61.61,60.2,61.79,0.0,0.0,220669
05/09/2019,61.46,61.32,60.4347,62,0.0,0.0,451375
05/08/2019,62,62.27,61.62,62.535,0.0,0.0,343774
05/07/2019,61.75,62.1,61,62.18,0.0,0.0,489696
05/06/2019,60.37,62.42,60.035,62.48,0.0,0.0,545210
05/03/2019,60.59,61.28,60.35,61.295,0.0,0.0,328986
05/02/2019,60.02,60.24,59.525,60.68,0.0,0.0,308876
05/01/2019,60.56,60.1,59.8447,60.7978,0.0,0.0,345782
04/30/2019,60.7,60.39,59.98,60.8326,0.0,0.0,469929
04/29/2019,60.95,60.81,60.77,61.4194,0.0,0.0,338181
04/26/2019,60.75,60.87,60.2602,61.2,0.0,0.0,453547
04/25/2019,61.34,60.75,60.16,61.59,0.0,0.0,1039256
04/24/2019,61.83,61.32,60.861,62.38,0.0,0.0,662185
04/23/2019,61.75,61.62,61.585,62.67,0.0,0.0,601805
04/22/2019,60.55,61.59,60.3,61.63,0.0,0.0,638961
04/18/2019,60.14,60.59,59.83,60.81,0.0,0.0,669570
04/17/2019,61.92,60.21,59.28,61.92,0.0,0.0,1237075
04/16/2019,62.01,61.7,61.1301,62.29,0.0,0.0,662040
