Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,58.07,61.49,58.07,62.4,0.0,0.0,9447
07/15/2019,63.45,58.39,58.18,63.45,0.0,0.0,17183
07/12/2019,63.19,63.2,63.0495,63.5,0.0,0.0,9791
07/11/2019,62.54,63.13,62.15,64,0.0,0.0,8450
07/10/2019,59.95,61.15,59.54,61.23,0.0,0.0,9978
07/09/2019,58.99,59.85,58.99,59.95,0.0,0.0,8350
07/08/2019,57.72,58.99,57.39,59,0.0,0.0,9091
07/05/2019,58.05,58.33,58.01,58.3725,0.0,0.0,5956
07/03/2019,58.17,58.07,58,58.455,0.0,0.0,5883
07/02/2019,58.2,58.5,58.05,59.04,0.0,0.0,4410
07/01/2019,58.88,58.95,57.9,59.09,0.0,0.0,15049
06/28/2019,58.23,58.32,57.61,59.06,0.0,0.0,31736
06/27/2019,54.7,55.48,54.4925,55.95,0.0,0.0,19022
06/26/2019,57.1,54.85,54.37,57.7,0.0,0.0,11918
06/25/2019,56.57,57.1,56.19,57.1,0.0,0.0,12752
06/24/2019,55.78,56.58,55.4662,56.59,0.0,0.0,14104
06/21/2019,55.08,55.85,54.9922,55.92,0.0,0.0,14304
06/20/2019,55.36,55.31,55.01,55.9,0.0,0.0,5704
06/19/2019,54.57,55.4,54.57,55.83,0.0,0.0,12776
06/18/2019,54.72,54.9,54.15,54.9849,0.0,0.0,6062
06/17/2019,54.1,54.49,53.2707,55.2,0.0,0.0,11711
06/14/2019,54.13,53.83,53.7,54.18,0.0,0.0,8599
06/13/2019,54.49,53.79,53.51,54.49,0.0,0.0,17004
06/12/2019,52.74,53.46,52.04,53.57,0.0,0.0,11203
06/11/2019,52.86,52.44,52.02,53.464,0.0,0.0,12064
06/10/2019,50.12,52.98,50.0678,53.45,0.0,0.0,14062
06/07/2019,50.24,49.9,49.75,50.9399,0.0,0.0,11463
06/06/2019,50.69,50.72,50.13,51.95,0.0,0.0,11027
06/05/2019,52.86,50.74,50.26,52.87,0.0,0.0,12507
06/04/2019,50.84,52.87,50.34,53.38,0.0,0.0,6491
06/03/2019,50.02,50.94,50.01,50.94,0.0,0.0,7344
05/31/2019,50.49,49.8,48.9949,50.54,0.0,0.0,11684
05/30/2019,51.29,51.01,51.01,51.5643,0.0,0.0,7599
05/29/2019,51.78,51.11,50.76,52.065,0.0,0.0,18658
05/28/2019,52.87,52.29,52.02,52.87,0.0,0.0,5517
05/24/2019,52.65,52.66,52.38,53.3,0.0,0.0,5262
05/23/2019,52.99,52.52,52.01,52.99,0.0,0.0,10164
05/22/2019,52.73,53.5,52.69,53.66,0.0,0.0,13090
05/21/2019,56.61,52.73,52.19,56.61,0.0,0.0,31320
05/20/2019,56.32,56.5,55.616,56.93,0.0,0.0,8525
05/17/2019,57.08,56.29,56.22,57.59,0.0,0.0,8731
05/16/2019,56.69,57.28,56.65,58,0.0,0.0,10715
05/15/2019,54.81,56.6,54.81,57.17,0.0,0.0,11816
05/14/2019,54.89,55.49,54.5,55.85,0.0,0.0,12352
05/13/2019,54.3,54.79,53.595,55.1283,0.0,0.0,13450
05/10/2019,55.01,54.63,54.4679,55.3675,0.0,0.0,25584
05/09/2019,51,54.73,51,55.49,0.0,0.0,21562
05/08/2019,50.31,51.65,50.2,52,0.0,0.0,3813
05/07/2019,49.15,50.04,49.15,50.4,0.0,0.0,8018
05/06/2019,51.33,49.7,49.5691,51.33,0.0,0.0,11273
05/03/2019,49.3,49.92,49.3,49.92,0.0,0.0,3611
05/02/2019,49.45,49.3,48.85,49.5481,0.0,0.0,4505
05/01/2019,48.901,49.6,48.901,49.83,0.0,0.0,4688
04/30/2019,49.74,49.72,49.1,49.84,0.0,0.0,9034
04/29/2019,49.37,49.74,48.8,49.74,0.0,0.0,9759
04/26/2019,48.02,49.33,47.96,49.33,0.0,0.0,7240
04/25/2019,48.26,48,47.79,48.55,0.0,0.0,5750
04/24/2019,48.27,48.49,48.2,48.6999,0.0,0.0,12389
04/23/2019,46.28,48.27,46.28,48.39,0.0,0.0,20580
04/22/2019,45.89,46.05,45.89,46.29,0.0,0.0,7150
04/18/2019,45.37,45.9,45.37,45.93,0.0,0.0,8820
04/17/2019,46.04,45.83,43.7038,46.29,0.0,0.0,17191
04/16/2019,45.2,45.45,44.73,45.95,0.0,0.0,14384
