Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,26.71,26.33,26.24,26.91,0.0,0.0,1379010
07/15/2019,26.71,26.68,26.455,27.26,0.0,0.0,1692793
07/12/2019,26.59,26.69,26.08,26.77,0.0,0.0,1461377
07/11/2019,27.08,26.55,26.3225,27.64,0.0,0.0,1389208
07/10/2019,26.71,26.91,26.71,27.42,0.0,0.0,2256845
07/09/2019,26.62,26.67,26.18,26.81,0.0,0.0,4000800
07/08/2019,26.54,26.71,26.2,27.06,0.0,0.0,3055971
07/05/2019,26.85,26.68,26.485,27.1,0.0,0.0,1852656
07/03/2019,27.5,26.94,26.16,27.5,0.0,0.0,3441712
07/02/2019,29.77,27.34,27.24,29.795,0.0,0.0,7499853
07/01/2019,30.03,29.94,29.52,30.06,0.0,0.0,901713
06/28/2019,29.25,29.82,29.18,30,0.0,0.0,2831849
06/27/2019,29,29.27,28.75,29.41,0.0,0.0,1783496
06/26/2019,29.5,28.99,28.86,29.57,0.0,0.0,1189979
06/25/2019,30,29.45,29.27,30,0.0,0.0,1211649
06/24/2019,30.15,29.94,29.895,30.48,0.0,0.0,1091513
06/21/2019,30.34,30.09,29.84,30.34,0.0,0.0,1860885
06/20/2019,32.11,30.48,29.05,32.24,0.0,0.0,4466097
06/19/2019,31.6,31.88,31.444,32,0.0,0.0,2128714
06/18/2019,31.56,31.69,31.2148,31.8,0.0,0.0,641935
06/17/2019,31.29,31.31,31.11,31.66,0.0,0.0,637787
06/14/2019,31.83,31.28,31.17,31.98,0.0,0.0,881893
06/13/2019,31.99,31.79,31.77,32.21,0.0,0.0,973699
06/12/2019,31.48,32,31.48,32.03,0.0,0.0,613869
06/11/2019,32.56,31.6,31.29,32.83,0.0,0.0,819344
06/10/2019,31.96,32.5,31.96,32.7062,0.0,0.0,999263
06/07/2019,31.76,31.88,31.59,32.09,0.0,0.0,831651
06/06/2019,31.39,31.79,31.39,31.99,0.0,0.0,582338
06/05/2019,31.22,31.63,31.06,31.79,0.0,0.0,736190
06/04/2019,30.62,30.94,30.38,31,0.0,0.0,940792
06/03/2019,30.75,30.35,30.06,30.94,0.0,0.0,1085996
05/31/2019,30.65,30.72,30.24,30.79,0.0,0.0,609808
05/30/2019,30.49,30.86,30.435,30.96,0.0,0.0,1337146
05/29/2019,30.5,30.48,30.27,30.745,0.0,0.0,1252846
05/28/2019,30.94,30.84,30.72,31.1593,0.0,0.0,697630
05/24/2019,30.51,31,30.46,31.015,0.0,0.0,705733
05/23/2019,30.86,30.32,30.06,31.05,0.0,0.0,1017420
05/22/2019,31.22,31.23,30.97,31.3,0.0,0.0,646616
05/21/2019,31.51,31.26,31.18,31.82,0.0,0.0,801763
05/20/2019,31.63,31.41,31.37,31.91,0.0,0.0,1009179
05/17/2019,32.33,31.83,31.76,32.68,0.0,0.0,1497271
05/16/2019,32.31,32.49,32.2,32.69,0.0,0.0,1263996
05/15/2019,31.53,32.34,31.53,32.63,0.0,0.0,1787362
05/14/2019,31,31.8,30.93,31.85,0.0,0.0,1280261
05/13/2019,31.41,30.93,30.87,31.66,0.0,0.0,1118632
05/10/2019,31.52,31.99,31.05,32.055,0.0,0.0,1346673
05/09/2019,31.09,31.65,30.855,31.82,0.0,0.0,1364110
05/08/2019,29.54,31.23,29.54,31.56,0.0,0.0,2770635
05/07/2019,29.96,29.38,28.98,30.32,0.0,0.0,2431723
05/06/2019,29.6,30.14,29.38,30.21,0.0,0.0,907041
05/03/2019,29.78,29.93,29.58,30.13,0.0,0.0,769086
05/02/2019,29.25,29.64,29.19,29.65,0.0,0.0,641171
05/01/2019,29.66,29.26,29.05,29.74,0.0,0.0,971366
04/30/2019,29.3,29.57,29.22,29.69,0.0,0.0,1112507
04/29/2019,29.38,29.3,29.13,29.46,0.0,0.0,792639
04/26/2019,28.85,29.33,28.73,29.501,0.0,0.0,1044770
04/25/2019,28.97,28.85,28.625,29.16,0.0,0.0,1046879
04/24/2019,28.78,29.05,28.66,29.3,0.0,0.0,1174932
04/23/2019,28.3,28.81,28.23,29.015,0.0,0.0,1358925
04/22/2019,27.77,28.25,27.68,28.45,0.0,0.0,974790
04/18/2019,27.91,27.8,27.28,28.29,0.0,0.0,1394613
04/17/2019,29.01,27.96,27.515,29.23,0.0,0.0,2263119
04/16/2019,30.06,29.01,28.9,30.095,0.0,0.0,1209954
