Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.41,10.38,10.38,10.41,0.0,0.0,1571
07/15/2019,10.36,10.36,10.36,10.36,0.0,0.0,00
07/12/2019,10.36,10.36,10.36,10.36,0.0,0.0,00
07/11/2019,10.36,10.36,10.36,10.36,0.0,0.0,00
07/10/2019,10.36,10.36,10.36,10.36,0.0,0.0,600
07/09/2019,10.36,10.3,10.3,10.36,0.0,0.0,1400
07/08/2019,10.48,10.45,10.425,10.48,0.0,0.0,7036
07/05/2019,10.38,10.38,10.38,10.38,0.0,0.0,00
07/03/2019,10.38,10.38,10.38,10.38,0.0,0.0,242
07/02/2019,10.435,10.435,10.435,10.435,0.0,0.0,00
07/01/2019,10.435,10.435,10.435,10.47,0.0,0.0,2115
06/28/2019,10.38,10.38,10.38,10.38,0.0,0.0,4121
06/27/2019,10.39,10.39,10.39,10.39,0.0,0.0,00
06/26/2019,10.39,10.39,10.39,10.39,0.0,0.0,5372
06/25/2019,10.37,10.36,10.36,10.37,0.0,0.0,350
06/24/2019,10.4365,10.36,10.36,10.4365,0.0,0.0,26290
06/21/2019,10.7,10.7,10.7,10.7,0.0,0.0,3700
06/20/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/19/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/18/2019,10.55,10.5,10.5,10.555,0.0,0.0,7961
06/17/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/14/2019,10.422,10.5,10.37,10.9,0.0,0.0,6590
06/13/2019,10.36,10.36,10.36,10.36,0.0,0.0,00
06/12/2019,10.36,10.36,10.36,10.36,0.0,0.0,00
06/11/2019,10.36,10.36,10.36,10.36,0.0,0.0,100
06/10/2019,10.39,10.36,10.36,10.39,0.0,0.0,661
06/07/2019,10.4,10.4,10.4,10.4,0.0,0.0,904
06/06/2019,10.36,10.36,10.36,10.36,0.0,0.0,00
06/05/2019,10.36,10.36,10.36,10.36,0.0,0.0,00
06/04/2019,10.38,10.36,10.36,10.38,0.0,0.0,423
06/03/2019,10.36,10.36,10.36,10.38,0.0,0.0,13986
05/31/2019,10.34,10.34,10.34,10.34,0.0,0.0,00
05/30/2019,10.36,10.34,10.34,10.36,0.0,0.0,2964
05/29/2019,10.3493,10.3493,10.3493,10.3493,0.0,0.0,00
05/28/2019,10.3493,10.3493,10.3493,10.3493,0.0,0.0,00
05/24/2019,10.3493,10.3493,10.3493,10.3493,0.0,0.0,267
05/23/2019,10.3411,10.37,10.3411,10.38,0.0,0.0,1129
05/22/2019,10.34,10.38,10.34,10.38,0.0,0.0,4851
05/21/2019,10.34,10.34,10.34,10.34,0.0,0.0,1525626
05/20/2019,10.32,10.3212,10.32,10.3212,0.0,0.0,804
05/17/2019,10.32,10.32,10.32,10.32,0.0,0.0,00
05/16/2019,10.32,10.32,10.32,10.32,0.0,0.0,201
05/15/2019,10.32,10.32,10.32,10.32,0.0,0.0,00
05/14/2019,10.35,10.32,10.32,10.3868,0.0,0.0,11102
05/13/2019,10.3421,10.33,10.33,10.3421,0.0,0.0,26702
05/10/2019,10.335,10.3351,10.335,10.3351,0.0,0.0,303
05/09/2019,10.34,10.32,10.32,10.36,0.0,0.0,71781
05/08/2019,10.32,10.32,10.32,10.32,0.0,0.0,00
05/07/2019,10.32,10.32,10.32,10.32,0.0,0.0,00
05/06/2019,10.32,10.32,10.32,10.32,0.0,0.0,00
05/03/2019,10.35,10.32,10.32,10.35,0.0,0.0,26938
05/02/2019,10.35,10.34,10.34,10.35,0.0,0.0,15426
05/01/2019,10.36,10.34,10.34,10.36,0.0,0.0,12347
04/30/2019,10.33,10.38,10.32,10.38,0.0,0.0,257530
04/29/2019,10.34,10.32,10.32,10.3799,0.0,0.0,321461
04/26/2019,10.31,10.33,10.305,10.33,0.0,0.0,8562
04/25/2019,10.324,10.33,10.32,10.33,0.0,0.0,800512
04/24/2019,10.33,10.33,10.32,10.33,0.0,0.0,204057
04/23/2019,10.32,10.32,10.32,10.3327,0.0,0.0,7698
04/22/2019,10.28,10.28,10.28,10.2801,0.0,0.0,624
04/18/2019,10.29,10.29,10.28,10.29,0.0,0.0,1019
04/17/2019,10.285,10.285,10.285,10.285,0.0,0.0,404
04/16/2019,10.285,10.27,10.27,10.285,0.0,0.0,245
