Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1.41,1.33,1.3,1.41,0.0,0.0,199377
07/15/2019,1.5,1.44,1.4,1.505,0.0,0.0,149718
07/12/2019,1.55,1.5,1.46,1.5623,0.0,0.0,140917
07/11/2019,1.57,1.57,1.52,1.61,0.0,0.0,180347
07/10/2019,1.55,1.58,1.52,1.65,0.0,0.0,364166
07/09/2019,1.64,1.57,1.55,1.68,0.0,0.0,415797
07/08/2019,1.88,1.67,1.6,2.04,0.0,0.0,1664755
07/05/2019,1.65,1.54,1.45,1.65,0.0,0.0,305480
07/03/2019,1.95,1.66,1.57,2.02,0.0,0.0,1602586
07/02/2019,1.87,1.74,1.7,1.87,0.0,0.0,319050
07/01/2019,1.94,1.8147,1.71,1.94,0.0,0.0,249837
06/28/2019,2.03,1.94,1.76,2.03,0.0,0.0,279211
06/27/2019,2.35,2.05,1.8238,2.418,0.0,0.0,1725598
06/26/2019,1.9095,4.71,1.9018,5.45,0.0,0.0,16113160
06/25/2019,1.89,1.82,1.76,1.89,0.0,0.0,9537
06/24/2019,1.96,1.84,1.78,2,0.0,0.0,12767
06/21/2019,1.7805,1.9608,1.7805,1.97,0.0,0.0,3275
06/20/2019,1.9228,1.9499,1.7805,1.99,0.0,0.0,6962
06/19/2019,1.83,1.8,1.77,1.95,0.0,0.0,17361
06/18/2019,1.7,1.8586,1.66,2.1,0.0,0.0,81130
06/17/2019,1.6099,1.6999,1.51,1.7,0.0,0.0,28260
06/14/2019,1.5101,1.5303,1.51,1.6,0.0,0.0,12056
06/13/2019,1.65,1.58,1.51,1.65,0.0,0.0,13395
06/12/2019,1.68,1.54,1.51,1.68,0.0,0.0,9276
06/11/2019,1.5652,1.62,1.5652,1.6953,0.0,0.0,6286
06/10/2019,1.64,1.52,1.52,1.68,0.0,0.0,13932
06/07/2019,1.62,1.6399,1.5,1.649,0.0,0.0,14831
06/06/2019,1.69,1.6568,1.6,1.7399,0.0,0.0,14008
06/05/2019,2,1.702,1.61,2,0.0,0.0,38942
06/04/2019,1.96,1.92,1.84,2.0403,0.0,0.0,23639
06/03/2019,1.9325,1.88,1.84,1.97,0.0,0.0,6637
05/31/2019,1.95,1.8878,1.85,2.1,0.0,0.0,16635
05/30/2019,1.9706,1.98,1.8837,2.08,0.0,0.0,11896
05/29/2019,1.95,1.885,1.861,2.02,0.0,0.0,7528
05/28/2019,2.06,1.97,1.95,2.12,0.0,0.0,5847
05/24/2019,1.94,2.14,1.811,2.15,0.0,0.0,35030
05/23/2019,2.01,1.9477,1.86,2.04,0.0,0.0,14687
05/22/2019,2.2787,2.01,1.83,2.3688,0.0,0.0,56387
05/21/2019,2.39,2.2,2.2,2.47,0.0,0.0,31608
05/20/2019,2.46,2.32,2.32,2.6673,0.0,0.0,29009
05/17/2019,2.72,2.5,2.5,2.7899,0.0,0.0,25694
05/16/2019,2.5612,2.645,2.53,2.8363,0.0,0.0,60869
05/15/2019,2.59,2.75,2.43,2.96,0.0,0.0,131101
05/14/2019,2.635,2.55,2.52,2.89,0.0,0.0,41030
05/13/2019,2.56,2.7,2.515,2.93,0.0,0.0,128470
05/10/2019,2.4674,2.6316,2.4467,2.74,0.0,0.0,99388
05/09/2019,2.73,2.61,2.4401,2.92,0.0,0.0,48335
05/08/2019,2.3533,2.8465,2.31,3.3,0.0,0.0,396343
05/07/2019,2.4,2.4,2.295,2.48,0.0,0.0,13588
05/06/2019,2.38,2.41,2.38,2.8,0.0,0.0,95979
05/03/2019,2.38,2.49,2.34,2.56,0.0,0.0,24773
05/02/2019,2.26,2.4,2.2,2.58,0.0,0.0,14649
05/01/2019,2.2,2.29,2.2,2.34,0.0,0.0,11423
04/30/2019,2.28,2.22,2.2,2.34,0.0,0.0,11266
04/29/2019,2.28,2.34,2.24,2.38,0.0,0.0,12703
04/26/2019,2.37,2.31,2.22,2.4555,0.0,0.0,14498
04/25/2019,2.53,2.39,2.27,2.58,0.0,0.0,34573
04/24/2019,2.62,2.56,2.44,2.6716,0.0,0.0,26795
04/23/2019,2.41,2.64,2.41,2.69,0.0,0.0,94844
04/22/2019,2.41,2.44,2.3523,2.44,0.0,0.0,20381
04/18/2019,2.63,2.44,2.403,2.63,0.0,0.0,43956
04/17/2019,2.25,2.56,2.25,2.7,0.0,0.0,95287
04/16/2019,2.26,2.25,2.211,2.31,0.0,0.0,45217
