Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,31.2144,31.2144,31.2144,31.2144,0.0,0.0,185
07/15/2019,31.2062,31.2062,31.2062,31.2062,0.0,0.0,00
07/12/2019,31.21,31.2062,31.2,31.21,0.0,0.0,4986
07/11/2019,31.1393,31.1393,31.1393,31.1393,0.0,0.0,00
07/10/2019,31.1393,31.1393,31.1393,31.1393,0.0,0.0,188
07/09/2019,30.98,31.04,30.9539,31.04,0.0,0.0,1013
07/08/2019,31.0103,30.9861,30.9861,31.0103,0.0,0.0,388
07/05/2019,30.97,31.11,30.97,31.11,0.0,0.0,410
07/03/2019,30.745,30.745,30.745,30.745,0.0,0.0,00
07/02/2019,30.745,30.745,30.745,30.745,0.0,0.0,00
07/01/2019,30.745,30.745,30.745,30.745,0.0,0.0,212
06/28/2019,30.61,30.62,30.61,30.62,0.0,0.0,202
06/27/2019,30.49,30.49,30.49,30.49,0.0,0.0,1679
06/26/2019,30.53,30.4551,30.4551,30.53,0.0,0.0,672
06/25/2019,31.02,31.02,31.02,31.02,0.0,0.0,00
06/24/2019,31.02,31.02,31.02,31.02,0.0,0.0,00
06/21/2019,31.02,31.02,31.02,31.02,0.0,0.0,1713
06/20/2019,30.91,31.06,30.91,31.06,0.0,0.0,1070
06/19/2019,30.6601,30.76,30.6601,30.76,0.0,0.0,800
06/18/2019,30.49,30.49,30.49,30.49,0.0,0.0,00
06/17/2019,30.6,30.49,30.49,30.6,0.0,0.0,1229
06/14/2019,30.6087,30.6545,30.6087,30.6545,0.0,0.0,1080
06/13/2019,30.3954,30.3954,30.3954,30.3954,0.0,0.0,00
06/12/2019,30.3954,30.3954,30.3954,30.3954,0.0,0.0,00
06/11/2019,30.3954,30.3954,30.3954,30.3954,0.0,0.0,437
06/10/2019,30.14,30.14,30.14,30.14,0.0,0.0,00
06/07/2019,30.14,30.14,30.14,30.14,0.0,0.0,00
06/06/2019,30.14,30.14,30.14,30.14,0.0,0.0,638
06/05/2019,29.235,29.235,29.235,29.235,0.0,0.0,00
06/04/2019,29.235,29.235,29.235,29.235,0.0,0.0,00
06/03/2019,29.35,29.235,29.235,29.35,0.0,0.0,461
05/31/2019,29.09,29.12,29.09,29.12,0.0,0.0,1200
05/30/2019,29.33,29.33,29.33,29.33,0.0,0.0,400
05/29/2019,29.35,29.35,29.35,29.35,0.0,0.0,279
05/28/2019,29.5971,29.5971,29.5971,29.5971,0.0,0.0,00
05/24/2019,29.5971,29.5971,29.5971,29.5971,0.0,0.0,00
05/23/2019,29.5971,29.5971,29.5971,29.5971,0.0,0.0,613
05/22/2019,29.8956,29.8956,29.8956,29.8956,0.0,0.0,398
05/21/2019,29.95,29.98,29.95,29.98,0.0,0.0,1025
05/20/2019,29.85,29.85,29.85,29.85,0.0,0.0,239
05/17/2019,29.86,29.86,29.86,29.86,0.0,0.0,00
05/16/2019,29.86,29.86,29.86,29.86,0.0,0.0,00
05/15/2019,29.82,29.86,29.82,29.86,0.0,0.0,2010
05/14/2019,29.6264,29.6264,29.6264,29.6264,0.0,0.0,00
05/13/2019,29.6,29.6264,29.6,29.6264,0.0,0.0,425
05/10/2019,29.7829,29.7829,29.7829,29.7829,0.0,0.0,00
05/09/2019,29.7829,29.7829,29.7829,29.7829,0.0,0.0,222
05/08/2019,29.8117,29.8117,29.8117,29.8117,0.0,0.0,121
05/07/2019,29.9301,29.75,29.75,29.9301,0.0,0.0,1471
05/06/2019,30.4,30.4,30.4,30.4,0.0,0.0,00
05/03/2019,30.4,30.4,30.4,30.4,0.0,0.0,00
05/02/2019,30.4,30.4,30.4,30.4,0.0,0.0,00
05/01/2019,30.4,30.4,30.4,30.4,0.0,0.0,179
04/30/2019,30.3768,30.3768,30.3768,30.3768,0.0,0.0,197
04/29/2019,30.12,30.12,30.12,30.12,0.0,0.0,00
04/26/2019,30.12,30.12,30.12,30.12,0.0,0.0,00
04/25/2019,30.12,30.12,30.12,30.12,0.0,0.0,105
04/24/2019,30.26,30.26,30.26,30.26,0.0,0.0,166
04/23/2019,30.0557,30.0557,30.0557,30.0557,0.0,0.0,700
04/22/2019,30,30,30,30,0.0,0.0,1218
04/18/2019,30.078,30.078,30.078,30.078,0.0,0.0,650
04/17/2019,29.9401,29.9548,29.94,29.9548,0.0,0.0,470
04/16/2019,29.9579,29.9579,29.9579,29.9579,0.0,0.0,00
