Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.425,0.385,0.33,0.44,0.0,0.0,651069
07/15/2019,0.47,0.48,0.38,0.49,0.0,0.0,1727281
07/12/2019,0.659,0.65,0.6451,0.68,0.0,0.0,45451
07/11/2019,0.64,0.66,0.6,0.667,0.0,0.0,91952
07/10/2019,0.64,0.6235,0.6,0.641,0.0,0.0,43515
07/09/2019,0.6,0.61,0.6,0.641,0.0,0.0,19603
07/08/2019,0.6583,0.6232,0.6,0.6583,0.0,0.0,52022
07/05/2019,0.57,0.627,0.57,0.627,0.0,0.0,34053
07/03/2019,0.69,0.61,0.56,0.69,0.0,0.0,28549
07/02/2019,0.65,0.6101,0.6101,0.6577,0.0,0.0,21193
07/01/2019,0.63,0.62,0.61,0.6569,0.0,0.0,36662
06/28/2019,0.693,0.6,0.6,0.6963,0.0,0.0,67847
06/27/2019,0.7182,0.66,0.66,0.7199,0.0,0.0,28332
06/26/2019,0.72,0.68,0.68,0.7239,0.0,0.0,39300
06/25/2019,0.7,0.7251,0.7,0.75,0.0,0.0,20844
06/24/2019,0.719,0.73,0.719,0.7463,0.0,0.0,23831
06/21/2019,0.735,0.72,0.72,0.75,0.0,0.0,17410
06/20/2019,0.7,0.725,0.7,0.75,0.0,0.0,69747
06/19/2019,0.7254,0.714,0.6705,0.749,0.0,0.0,16768
06/18/2019,0.7463,0.72,0.69,0.75,0.0,0.0,26940
06/17/2019,0.71,0.6978,0.6968,0.75,0.0,0.0,22522
06/14/2019,0.6928,0.704,0.64,0.728,0.0,0.0,41795
06/13/2019,0.75,0.6599,0.6311,0.75,0.0,0.0,88885
06/12/2019,0.79,0.756,0.7141,0.79,0.0,0.0,52509
06/11/2019,0.74,0.7501,0.74,0.7744,0.0,0.0,16934
06/10/2019,0.787,0.7766,0.722,0.7898,0.0,0.0,23050
06/07/2019,0.7101,0.7638,0.71,0.8018,0.0,0.0,57007
06/06/2019,0.72,0.71,0.71,0.777,0.0,0.0,21503
06/05/2019,0.79,0.73,0.7,0.8295,0.0,0.0,94612
06/04/2019,0.8204,0.79,0.79,0.8257,0.0,0.0,73529
06/03/2019,0.85,0.818,0.757,1,0.0,0.0,1021158
05/31/2019,0.66,0.7767,0.63,0.78,0.0,0.0,383734
05/30/2019,0.6309,0.6482,0.63,0.6667,0.0,0.0,33918
05/29/2019,0.67,0.6309,0.63,0.6961,0.0,0.0,40438
05/28/2019,0.6333,0.6743,0.6,0.6999,0.0,0.0,98494
05/24/2019,0.638,0.6476,0.6001,0.67,0.0,0.0,109614
05/23/2019,0.74,0.65,0.6255,0.74,0.0,0.0,193543
05/22/2019,0.58,0.6256,0.5511,0.6651,0.0,0.0,253132
05/21/2019,0.62,0.5964,0.5838,0.647,0.0,0.0,89660
05/20/2019,0.71,0.645,0.6,0.73,0.0,0.0,127472
05/17/2019,0.8505,0.72,0.7001,0.8505,0.0,0.0,112103
05/16/2019,0.9,0.8223,0.8,0.9076,0.0,0.0,267604
05/15/2019,0.975,0.91,0.8947,1.23,0.0,0.0,1193416
05/14/2019,0.89,0.7622,0.752,0.945,0.0,0.0,53694
05/13/2019,0.98,0.9,0.9,0.98,0.0,0.0,22546
05/10/2019,0.966,0.9365,0.9064,0.966,0.0,0.0,11079
05/09/2019,0.95,0.92,0.92,0.9975,0.0,0.0,10397
05/08/2019,0.97,0.9246,0.9105,0.97,0.0,0.0,21881
05/07/2019,0.9923,0.9853,0.97,1,0.0,0.0,4413
05/06/2019,1.1,0.99,0.962,1.1,0.0,0.0,43083
05/03/2019,1.1,1.07,1.01,1.12,0.0,0.0,149386
05/02/2019,0.94,1.02,0.89,1.05,0.0,0.0,276942
05/01/2019,0.894,0.9098,0.894,0.939,0.0,0.0,14082
04/30/2019,0.905,0.9,0.894,0.9126,0.0,0.0,32723
04/29/2019,0.94,0.93,0.9086,0.9492,0.0,0.0,3068
04/26/2019,0.88,0.8956,0.88,0.9492,0.0,0.0,35641
04/25/2019,0.9246,0.8882,0.8882,0.9491,0.0,0.0,36075
04/24/2019,0.945,0.9446,0.94,0.9737,0.0,0.0,18250
04/23/2019,0.97,0.9432,0.9432,0.9898,0.0,0.0,26683
04/22/2019,0.97,0.9899,0.97,1,0.0,0.0,25293
04/18/2019,0.95,0.98,0.95,1,0.0,0.0,32341
04/17/2019,1.03,0.985,0.92,1.03,0.0,0.0,46962
04/16/2019,0.9559,0.9953,0.9425,1.03,0.0,0.0,21985
