Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,76.33,75.2681,75.2053,76.33,0.0,0.0,31290
07/15/2019,76.3,76.64,75.75,76.64,0.0,0.0,14553
07/12/2019,76.4,76.35,76.04,76.65,0.0,0.0,19785
07/11/2019,75.86,76.34,75.46,76.34,0.0,0.0,16926
07/10/2019,75.69,75.6,75.38,76.04,0.0,0.0,16669
07/09/2019,74.9,75.06,74.82,75.435,0.0,0.0,12815
07/08/2019,75.63,75.12,75.12,76.31,0.0,0.0,65962
07/05/2019,75.51,76.7,74.86,76.7,0.0,0.0,51819
07/03/2019,76.2,76.3,75.795,76.41,0.0,0.0,33914
07/02/2019,74.8,75.96,74.8,76,0.0,0.0,37466
07/01/2019,74.7,75.29,74.7,75.4116,0.0,0.0,35689
06/28/2019,72.74,73.26,72.74,73.5,0.0,0.0,14869
06/27/2019,72.13,72.61,71.92,72.67,0.0,0.0,15586
06/26/2019,72.25,72.18,71.84,72.42,0.0,0.0,8109
06/25/2019,73.109,71.8408,71.61,73.109,0.0,0.0,25973
06/24/2019,72.73,72.88,72.73,73.62,0.0,0.0,27765
06/21/2019,74.17,72.71,72.5,74.22,0.0,0.0,33754
06/20/2019,73.98,74.5,72.74,74.55,0.0,0.0,46460
06/19/2019,73.68,73.28,73.09,73.99,0.0,0.0,17157
06/18/2019,73.87,73.35,73.07,74.3,0.0,0.0,39792
06/17/2019,72.85,73.3,72.74,73.36,0.0,0.0,52899
06/14/2019,72.29,72.84,71.96,72.87,0.0,0.0,17470
06/13/2019,72.71,72.48,72.04,72.77,0.0,0.0,19195
06/12/2019,72.45,72.33,71.9,72.46,0.0,0.0,77199
06/11/2019,73.67,72.39,72.2,73.67,0.0,0.0,128456
06/10/2019,73.21,73,72.4901,73.21,0.0,0.0,16477
06/07/2019,72.73,72.21,72.2,73.2,0.0,0.0,68153
06/06/2019,72.64,72.77,71.88,72.9,0.0,0.0,30088
06/05/2019,71.88,72.22,71.18,72.43,0.0,0.0,118956
06/04/2019,70.5,71.41,70.15,71.49,0.0,0.0,35703
06/03/2019,69.49,69.4,68.54,70.31,0.0,0.0,47442
05/31/2019,70,69.59,69.35,70.11,0.0,0.0,57155
05/30/2019,70.71,70.82,70.22,71.19,0.0,0.0,25380
05/29/2019,70.44,70.4,70.0521,71.04,0.0,0.0,45806
05/28/2019,72.2,71.2,71.11,72.49,0.0,0.0,46476
05/24/2019,72.23,71.26,71.24,72.81,0.0,0.0,55524
05/23/2019,72.07,71.65,71.17,72.2527,0.0,0.0,63843
05/22/2019,73.4,73.51,73.04,73.8,0.0,0.0,23645
05/21/2019,73.47,73.55,73.15,73.65,0.0,0.0,49358
05/20/2019,72.12,72.51,71.64,73.24,0.0,0.0,120764
05/17/2019,71.99,73.07,71.99,73.74,0.0,0.0,38567
05/16/2019,72.32,73.61,72.32,74,0.0,0.0,111654
05/15/2019,70.5,72.67,70.24,72.87,0.0,0.0,50789
05/14/2019,70.17,71.34,70.17,71.5676,0.0,0.0,47806
05/13/2019,70.36,69.24,68.98,71.1,0.0,0.0,210147
05/10/2019,71.17,73.43,70.2,73.73,0.0,0.0,121146
05/09/2019,70.15,71.22,69.62,71.65,0.0,0.0,55076
05/08/2019,70.39,71.53,70.39,72.48,0.0,0.0,153070
05/07/2019,72.82,70.03,69.84,73.65,0.0,0.0,273804
05/06/2019,73,74.68,72.54,74.9357,0.0,0.0,120200
05/03/2019,74.8,75.75,74.8,75.78,0.0,0.0,49060
05/02/2019,74.36,73.53,73.1646,74.8113,0.0,0.0,64965
05/01/2019,75.67,74.03,74.03,76.2822,0.0,0.0,77164
04/30/2019,75.96,75.45,74.76,75.96,0.0,0.0,23674
04/29/2019,75.61,75.7,75.37,76.2996,0.0,0.0,24720
04/26/2019,75.52,75.9,75.5,76.34,0.0,0.0,33586
04/25/2019,75.75,75.5,75.14,76.7,0.0,0.0,53597
04/24/2019,76.27,76.01,75.69,76.4,0.0,0.0,189145
04/23/2019,76.41,76.4,76.4,76.88,0.0,0.0,55164
04/22/2019,75,76.25,74.97,76.52,0.0,0.0,53984
04/18/2019,75.96,76.04,75.22,76.055,0.0,0.0,68382
04/17/2019,75.827,75.7,75,75.95,0.0,0.0,47594
04/16/2019,76.27,75.82,75.48,76.32,0.0,0.0,71435
